task,seed,condition,fold_i,fold_j,fc_alpha_i,fc_alpha_j,sc_alpha_i,sc_alpha_j,prediction_correlation
working_memory,5,R0,1,3,100.0,100.0,100.0,100.0,-0.07682763574623698
working_memory,5,R0,1,4,100.0,100.0,100.0,100.0,0.01479087080027427
working_memory,5,R0,2,3,100.0,100.0,100.0,100.0,-0.021908773304600518
working_memory,5,R0,2,4,100.0,100.0,100.0,100.0,0.022148213450005987
working_memory,5,R0,3,4,100.0,100.0,100.0,100.0,-0.05934850513163766
working_memory,5,R1,0,1,100.0,100.0,0.001,100.0,0.02758070609965996
working_memory,5,R1,0,2,100.0,100.0,0.001,100.0,0.03496914487217161
working_memory,5,R1,0,3,100.0,100.0,0.001,100.0,-0.03159521555054908
working_memory,5,R1,0,4,100.0,100.0,0.001,100.0,-0.026066324920277315
working_memory,5,R1,1,2,100.0,100.0,100.0,100.0,0.02600102306243946
working_memory,5,R1,1,3,100.0,100.0,100.0,100.0,-0.07706707589164245
working_memory,5,R1,1,4,100.0,100.0,100.0,100.0,-0.000642134935405579
working_memory,5,R1,2,3,100.0,100.0,100.0,100.0,0.011242803191084118
working_memory,5,R1,2,4,100.0,100.0,100.0,100.0,0.18061405513653528
working_memory,5,R1,3,4,100.0,100.0,100.0,100.0,-0.08048453978515689
working_memory,5,R2,0,1,100.0,100.0,0.001,100.0,0.03427647873724864
working_memory,5,R2,0,2,100.0,100.0,0.001,100.0,-0.011939356341354578
working_memory,5,R2,0,3,100.0,100.0,0.001,100.0,-0.07920026991434574
working_memory,5,R2,0,4,100.0,100.0,0.001,100.0,0.056235783241366556
working_memory,5,R2,1,2,100.0,100.0,100.0,100.0,0.023846061753790233
working_memory,5,R2,1,3,100.0,100.0,100.0,100.0,-0.04674524656893156
working_memory,5,R2,1,4,100.0,100.0,100.0,100.0,0.015683329524058296
working_memory,5,R2,2,3,100.0,100.0,100.0,100.0,-0.019862648425681046
working_memory,5,R2,2,4,100.0,100.0,100.0,100.0,0.0007727386510812899
working_memory,5,R2,3,4,100.0,100.0,100.0,100.0,-0.056235783241366556
working_memory,5,R3,0,1,100.0,100.0,0.001,100.0,-0.027160908442130892
working_memory,5,R3,0,2,100.0,100.0,0.001,100.0,0.054472633079744454
working_memory,5,R3,0,3,100.0,100.0,0.001,100.0,-0.03708057160892894
working_memory,5,R3,0,4,100.0,100.0,0.001,100.0,0.03388078057487402
working_memory,5,R3,1,2,100.0,100.0,100.0,100.0,0.005474472415406885
working_memory,5,R3,1,3,100.0,100.0,100.0,100.0,-0.08962679988245667
working_memory,5,R3,1,4,100.0,100.0,100.0,100.0,-0.051316376617581434
working_memory,5,R3,2,3,100.0,100.0,100.0,100.0,0.003928995113244305
working_memory,5,R3,2,4,100.0,100.0,100.0,100.0,0.11502922258138244
working_memory,5,R3,3,4,100.0,100.0,100.0,100.0,-0.06368019503488209
working_memory,6,R0,0,1,100.0,100.0,100.0,100.0,0.05260064648839259
working_memory,6,R0,0,2,100.0,100.0,100.0,100.0,0.14456742961003907
working_memory,6,R0,0,3,100.0,100.0,100.0,100.0,0.13481568550625267
working_memory,6,R0,0,4,100.0,100.0,100.0,100.0,0.1795692254111296
working_memory,6,R0,1,2,100.0,100.0,100.0,100.0,0.12066694964138397
working_memory,6,R0,1,3,100.0,100.0,100.0,100.0,0.12708829899543975
working_memory,6,R0,1,4,100.0,100.0,100.0,100.0,0.21158890303762476
working_memory,6,R0,2,3,100.0,100.0,100.0,100.0,-0.0005550657916217716
working_memory,6,R0,2,4,100.0,100.0,100.0,100.0,0.14687476192031
working_memory,6,R0,3,4,100.0,100.0,100.0,100.0,0.32225378478684386
working_memory,6,R1,0,1,100.0,100.0,100.0,100.0,0.1025775576172285
working_memory,6,R1,0,2,100.0,100.0,100.0,100.0,0.13699241410084786
working_memory,6,R1,0,3,100.0,100.0,100.0,100.0,0.1288296818711159
working_memory,6,R1,0,4,100.0,100.0,100.0,100.0,0.08605696498732056
working_memory,6,R1,1,2,100.0,100.0,100.0,100.0,0.08161643865434638
working_memory,6,R1,1,3,100.0,100.0,100.0,100.0,0.11918677419705924
working_memory,6,R1,1,4,100.0,100.0,100.0,100.0,0.16278664794680076
working_memory,6,R1,2,3,100.0,100.0,100.0,100.0,-0.040454500930551474
working_memory,6,R1,2,4,100.0,100.0,100.0,100.0,0.14145470771976798
working_memory,6,R1,3,4,100.0,100.0,100.0,100.0,0.29376040748359294
working_memory,6,R2,0,1,100.0,100.0,100.0,100.0,0.03221947021535619
working_memory,6,R2,0,2,100.0,100.0,100.0,100.0,0.12898205287273756
working_memory,6,R2,0,3,100.0,100.0,100.0,100.0,0.14815903179112114
working_memory,6,R2,0,4,100.0,100.0,100.0,100.0,0.19143239625167335
working_memory,6,R2,1,2,100.0,100.0,100.0,100.0,0.07190822912245187
working_memory,6,R2,1,3,100.0,100.0,100.0,100.0,0.12515101054625005
working_memory,6,R2,1,4,100.0,100.0,100.0,100.0,0.20823674100194817
working_memory,6,R2,2,3,100.0,100.0,100.0,100.0,0.029462021527845803
working_memory,6,R2,2,4,100.0,100.0,100.0,100.0,0.18115823728518413
working_memory,6,R2,3,4,100.0,100.0,100.0,100.0,0.3189886918949511
