task,seed,outer_fold,condition,condition_name,alignment_matched,alignment_cross_task,alignment_shuffled,alignment_random
fluid_intelligence,5,2,R3,Full PALF,,,,
fluid_intelligence,5,3,R3,Full PALF,,,,
fluid_intelligence,5,4,R3,Full PALF,,,,
fluid_intelligence,6,0,R3,Full PALF,,,,
fluid_intelligence,6,1,R3,Full PALF,,,,
fluid_intelligence,6,2,R3,Full PALF,,,,
fluid_intelligence,6,3,R3,Full PALF,,,,
fluid_intelligence,6,4,R3,Full PALF,,,,
fluid_intelligence,7,0,R3,Full PALF,,,,
fluid_intelligence,7,1,R3,Full PALF,,,,
fluid_intelligence,7,2,R3,Full PALF,,,,
fluid_intelligence,7,3,R3,Full PALF,,,,
fluid_intelligence,7,4,R3,Full PALF,,,,
fluid_intelligence,8,0,R3,Full PALF,,,,
fluid_intelligence,8,1,R3,Full PALF,,,,
fluid_intelligence,8,2,R3,Full PALF,,,,
fluid_intelligence,8,3,R3,Full PALF,,,,
fluid_intelligence,8,4,R3,Full PALF,,,,
fluid_intelligence,9,0,R3,Full PALF,,,,
fluid_intelligence,9,1,R3,Full PALF,,,,
fluid_intelligence,9,2,R3,Full PALF,,,,
fluid_intelligence,9,3,R3,Full PALF,,,,
fluid_intelligence,9,4,R3,Full PALF,,,,
