task,seed,fold,model,pearson,rmse,mae,eta,expert_pearson,expert_rmse,expert_mae,selected_top_k,selected_alpha,selected_ratio,prior_type
WM,3333,0,A6,0.24744371399812712,11.514712372949724,9.258773517215564,0.0,-0.17297044674400738,11.891718721672527,9.38515969974132,25.0,1000.0,1.0,A6
WM,3333,1,A0,0.3793851171468438,10.236489731030966,8.187877091787843,,,,,,,,matched
WM,3333,1,A1,0.3793851171468438,10.236489731030966,8.187877091787843,0.0,0.040387904989328545,11.726079378979371,9.713698287143435,,,,matched
WM,3333,1,A2,0.3793851171468438,10.236489731030966,8.187877091787843,0.0,-0.11503856100095035,10.766641728541693,8.687139131731787,10.0,,,matched
WM,3333,1,A3,0.3793851171468438,10.236489731030966,8.187877091787843,0.0,-0.16912843469598682,10.771056157067838,8.700674709485577,10.0,1000.0,1.0,A3
WM,3333,1,A4,0.3793851171468438,10.236489731030966,8.187877091787843,0.0,-0.16912843469598682,10.771056157067838,8.700674709485577,10.0,1000.0,1.0,A4
WM,3333,1,A5,0.3793851171468438,10.236489731030966,8.187877091787843,0.0,0.02501025405010099,11.292187725820925,9.284845101223803,25.0,0.001,0.0,A5
WM,3333,1,A6,0.3793851171468438,10.236489731030966,8.187877091787843,0.0,-0.07551776885842762,10.7509795152504,8.697151425146027,10.0,1000.0,1.0,A6
WM,3333,2,A0,0.2995978342164295,11.712340063912979,9.817652337766592,,,,,,,,matched
WM,3333,2,A1,0.2995978342164295,11.712340063912979,9.817652337766592,0.0,-0.19703864891824088,12.366618658378545,10.279329007198095,,,,matched
WM,3333,2,A2,0.2995978342164295,11.712340063912979,9.817652337766592,0.0,-0.1892981291239128,13.137710902046182,10.876694678631086,15.0,,,matched
WM,3333,2,A3,0.2995978342164295,11.712340063912979,9.817652337766592,0.0,-0.1892981291239128,13.137710902046182,10.876694678631086,15.0,0.001,0.0,A3
WM,3333,2,A4,0.2995978342164295,11.712340063912979,9.817652337766592,0.0,-0.1892981291239128,13.137710902046182,10.876694678631086,15.0,0.001,0.0,A4
WM,3333,2,A5,0.2995978342164295,11.712340063912979,9.817652337766592,0.0,-0.04787243733267847,12.256941134559105,10.17550030932424,25.0,1000.0,0.1,A5
WM,3333,2,A6,0.2995978342164295,11.712340063912979,9.817652337766592,0.0,-0.17003384521232318,12.281796948825221,10.232168536548158,25.0,1000.0,1.0,A6
WM,3333,3,A0,0.21574829362558495,11.478650249426005,9.445762072989185,,,,,,,,matched
WM,3333,3,A1,0.21574829362558495,11.478650249426005,9.445762072989185,0.0,-0.24147663904845915,13.661607153353847,10.573525328028241,,,,matched
WM,3333,3,A2,0.18212798988877732,11.456615802016643,9.38530417956445,0.25,-0.12860506176624079,12.342227069458998,9.851987095587155,10.0,,,matched
WM,3333,3,A3,0.1908266096349918,11.447876828006612,9.390655895393811,0.2,-0.12860506176624079,12.342227069458998,9.851987095587155,10.0,0.001,0.0,A3
WM,3333,3,A4,0.1908266096349918,11.447876828006612,9.390655895393811,0.2,-0.12860506176624079,12.342227069458998,9.851987095587155,10.0,0.001,0.0,A4
WM,3333,3,A5,0.21574829362558495,11.478650249426005,9.445762072989185,0.0,-0.07618628521114658,11.637304392408758,9.49109764482709,10.0,1000.0,1.0,A5
WM,3333,3,A6,0.21574829362558495,11.478650249426005,9.445762072989185,0.0,-0.3258710225651164,11.706663873440979,9.537880447466595,5.0,1000.0,1.0,A6
WM,3333,4,A0,0.2770336053625556,10.584146686063011,8.567169021736623,,,,,,,,matched
WM,3333,4,A1,0.2770336053625556,10.584146686063011,8.567169021736623,0.0,-0.10213739726243767,11.0272350992989,8.989041309529565,,,,matched
WM,3333,4,A2,0.2770336053625556,10.584146686063011,8.567169021736623,0.0,-0.032219740549607,11.005154394667045,8.822675795951824,5.0,,,matched
WM,3333,4,A3,0.2770336053625556,10.584146686063011,8.567169021736623,0.0,-0.032219740549607,11.005154394667045,8.822675795951824,5.0,0.001,0.0,A3
WM,3333,4,A4,0.2770336053625556,10.584146686063011,8.567169021736623,0.0,-0.032219740549607,11.005154394667045,8.822675795951824,5.0,0.001,0.0,A4
WM,3333,4,A5,0.2770336053625556,10.584146686063011,8.567169021736623,0.0,-0.03037877694739721,11.048529157099965,9.070439176947938,5.0,0.001,0.0,A5
WM,3333,4,A6,0.2770336053625556,10.584146686063011,8.567169021736623,0.0,-0.05555334802464698,11.1439727559812,9.025312089402629,10.0,0.001,0.0,A6
WM,3434,0,A0,0.291128257427854,10.519360121973397,8.421985923614363,,,,,,,,matched
WM,3434,0,A1,0.291128257427854,10.519360121973397,8.421985923614363,0.0,-0.007813200388261984,10.839160614756679,8.997980691949103,,,,matched
WM,3434,0,A2,0.291128257427854,10.519360121973397,8.421985923614363,0.0,0.09105628430830479,10.872694594189912,8.841798501193614,10.0,,,matched
WM,3434,0,A3,0.291128257427854,10.519360121973397,8.421985923614363,0.0,0.09105628430830479,10.872694594189912,8.841798501193614,10.0,0.001,0.0,A3
WM,3434,0,A4,0.291128257427854,10.519360121973397,8.421985923614363,0.0,0.09105628430830479,10.872694594189912,8.841798501193614,10.0,0.001,0.0,A4
WM,3434,0,A5,0.291128257427854,10.519360121973397,8.421985923614363,0.0,-0.05378084050228871,10.846253702120915,8.987638196466882,15.0,1000.0,1.0,A5
WM,3434,0,A6,0.291128257427854,10.519360121973397,8.421985923614363,0.0,0.01808661081655307,10.81434823305843,9.012814871206444,25.0,1000.0,1.0,A6
WM,3434,1,A0,0.3240034867361525,10.44834231008019,8.540560591230854,,,,,,,,matched
WM,3434,1,A1,0.3240034867361525,10.44834231008019,8.540560591230854,0.0,0.06555985475991322,11.45803922561754,9.501381934113772,,,,matched
WM,3434,1,A2,0.3240034867361525,10.44834231008019,8.540560591230854,0.0,0.02543964490807768,11.110072349602074,9.224336507868276,15.0,,,matched
WM,3434,1,A3,0.3240034867361525,10.44834231008019,8.540560591230854,0.0,-0.05085820690000525,10.94149950566051,9.03310114265731,5.0,1000.0,1.0,A3
WM,3434,1,A4,0.3240034867361525,10.44834231008019,8.540560591230854,0.0,-0.05085820690000525,10.94149950566051,9.03310114265731,5.0,1000.0,1.0,A4
WM,3434,1,A5,0.3240034867361525,10.44834231008019,8.540560591230854,0.0,0.0778958828379431,11.01758644737575,9.093528358747738,15.0,0.001,0.0,A5
WM,3434,1,A6,0.3240034867361525,10.44834231008019,8.540560591230854,0.0,0.029087054271165223,11.00622886617349,8.934717535530211,10.0,0.001,0.0,A6
WM,3434,2,A0,0.05203610062911386,12.52932077830327,10.336444011713096,,,,,,,,matched
WM,3434,2,A1,0.05203610062911386,12.52932077830327,10.336444011713096,0.0,0.028503043602875165,12.549736397450724,10.030266545118662,,,,matched
WM,3434,2,A2,0.05203610062911386,12.52932077830327,10.336444011713096,0.0,0.055873660067169546,11.778426433970244,9.114308048305219,10.0,,,matched
WM,3434,2,A3,0.05203610062911386,12.52932077830327,10.336444011713096,0.0,0.055873660067169546,11.778426433970244,9.114308048305219,10.0,0.001,0.0,A3
WM,3434,2,A4,0.05203610062911386,12.52932077830327,10.336444011713096,0.0,0.055873660067169546,11.778426433970244,9.114308048305219,10.0,0.001,0.0,A4
WM,3434,2,A5,0.05203610062911386,12.52932077830327,10.336444011713096,0.0,0.024831868942690846,12.088380791086843,9.45807836769121,25.0,0.001,0.0,A5
WM,3434,2,A6,0.05203610062911386,12.52932077830327,10.336444011713096,0.0,-0.00019986991441987845,11.871580905599659,9.086027215818229,15.0,0.001,0.0,A6
WM,3434,3,A0,0.21153401806621402,10.875411793063611,8.963392244467205,,,,,,,,matched
WM,3434,3,A1,0.21153401806621402,10.875411793063611,8.963392244467205,0.0,0.10788082567947653,11.42069673348164,9.34382201496611,,,,matched
WM,3434,3,A2,0.21153401806621402,10.875411793063611,8.963392244467205,0.0,0.09763413850171637,10.706956268090208,8.82067287322661,25.0,,,matched
WM,3434,3,A3,0.21153401806621402,10.875411793063611,8.963392244467205,0.0,0.09763413850171637,10.706956268090208,8.82067287322661,25.0,0.001,0.0,A3
WM,3434,3,A4,0.21153401806621402,10.875411793063611,8.963392244467205,0.0,0.09763413850171637,10.706956268090208,8.82067287322661,25.0,0.001,0.0,A4
WM,3434,3,A5,0.21153401806621402,10.875411793063611,8.963392244467205,0.0,0.12408630915031739,10.886774346927025,9.150842661059738,25.0,0.001,0.0,A5
WM,3434,3,A6,0.21153401806621402,10.875411793063611,8.963392244467205,0.0,0.0007722543610847177,10.578897906545787,8.83464233060791,10.0,1000.0,1.0,A6
WM,3434,4,A0,0.0856235510718649,13.261111396792746,11.056567363190663,,,,,,,,matched
WM,3434,4,A1,0.07072698105004628,13.289643626824898,11.073278550131633,0.05,-0.15591929931517584,15.08108108171321,12.112167545888804,,,,matched
WM,3434,4,A2,-0.03182927073085408,13.427968869732267,11.029549771001442,0.35000000000000003,-0.19995617166177931,14.286379175981436,11.348411278083312,10.0,,,matched
WM,3434,4,A3,-0.015217748963910233,13.427151886194677,11.077634680897376,0.25,-0.28066661712354135,14.497930525973782,11.4674336673757,15.0,10.0,1.0,A3
WM,3434,4,A4,-0.015217748963910233,13.427151886194677,11.077634680897376,0.25,-0.28066661712354135,14.497930525973782,11.4674336673757,15.0,10.0,1.0,A4
WM,3434,4,A5,0.06172876079915371,13.22655591946379,10.923401804194272,0.25,-0.17132475540461617,13.421606057288097,10.782471446384383,5.0,10.0,1.0,A5
WM,3434,4,A6,0.032541651831545816,13.28284757967788,10.949497500629134,0.30000000000000004,-0.2549246916436612,13.610272694908877,10.89281446626707,25.0,100.0,1.0,A6
FI,3131,0,A0,0.33985347041080016,4.456860721046536,3.7556146270559556,,,,,,,,matched
FI,3131,0,A1,0.3422790625175955,4.45483767376255,3.758879741901368,0.05,0.10327515900835887,4.922871195400624,4.0297108242495,,,,matched
FI,3131,0,A2,0.3365524151569108,4.4662171673216715,3.780450052887171,0.1,0.03395715889993196,5.069976865402198,4.3013559587293235,25.0,,,matched
FI,3131,0,A3,0.3365524151569108,4.4662171673216715,3.780450052887171,0.1,0.03395715889993196,5.069976865402198,4.3013559587293235,25.0,0.001,0.0,A3
FI,3131,0,A4,0.3365524151569108,4.4662171673216715,3.780450052887171,0.1,0.03395715889993196,5.069976865402198,4.3013559587293235,25.0,0.001,0.0,A4
FI,3131,0,A5,0.33985347041080016,4.456860721046536,3.7556146270559556,0.0,0.12888885743801498,4.834955519693216,3.992484453060632,25.0,0.001,0.0,A5
FI,3131,0,A6,0.34673652150406004,4.4524085870325285,3.76104403878656,0.15000000000000002,0.1375540293515003,4.794439466744259,3.976275838700925,25.0,0.001,0.0,A6
FI,3131,1,A0,0.40864880068234083,4.268395322647324,3.7038123968807404,,,,,,,,matched
FI,3131,1,A1,0.3979029511615277,4.290592029400547,3.7211630779141527,0.05,-0.15330884337737014,5.496968224898182,4.372992081148002,,,,matched
FI,3131,1,A2,0.40864880068234083,4.268395322647324,3.7038123968807404,0.0,-0.0388146933319799,4.826056466723705,3.996000496119578,25.0,,,matched
FI,3131,1,A3,0.40864880068234083,4.268395322647324,3.7038123968807404,0.0,-0.036042785230908925,4.784123132145913,3.9926120123005946,25.0,100.0,1.0,A3
FI,3131,1,A4,0.40864880068234083,4.268395322647324,3.7038123968807404,0.0,-0.036042785230908925,4.784123132145913,3.9926120123005946,25.0,100.0,1.0,A4
FI,3131,1,A5,0.3785356221168661,4.326881109346925,3.732872982300853,0.15000000000000002,-0.15123476476197467,5.281279191536834,4.333615525691812,25.0,10.0,1.0,A5
FI,3131,1,A6,0.3658726430901742,4.354638962051142,3.7418543828553856,0.25,-0.09075435691235818,5.1932567784888,4.331907304731363,25.0,0.1,0.0,A6
FI,3131,2,A0,0.31648281122899125,4.967750173245055,4.141547454902615,,,,,,,,matched
FI,3131,2,A1,0.31648281122899125,4.967750173245055,4.141547454902615,0.0,-0.09739973550496872,5.5264302765799185,4.62092456762502,,,,matched
FI,3131,2,A2,0.31648281122899125,4.967750173245055,4.141547454902615,0.0,-0.02022409663760616,5.378376124865543,4.501087044834433,15.0,,,matched
FI,3131,2,A3,0.31648281122899125,4.967750173245055,4.141547454902615,0.0,0.09740290347049235,5.184329465346928,4.400637625586681,10.0,10.0,1.0,A3
FI,3131,2,A4,0.31648281122899125,4.967750173245055,4.141547454902615,0.0,0.09740290347049235,5.184329465346928,4.400637625586681,10.0,10.0,1.0,A4
FI,3131,2,A5,0.31648281122899125,4.967750173245055,4.141547454902615,0.0,0.23530551153597928,5.072047940754832,4.264349641399148,10.0,10.0,1.0,A5
FI,3131,2,A6,0.31648281122899125,4.967750173245055,4.141547454902615,0.0,-0.08163572822237776,5.382291596267456,4.551188964111721,25.0,100.0,0.0,A6
FI,3131,3,A0,0.33778592923601125,4.653320120225274,3.8199899714790777,,,,,,,,matched
FI,3131,3,A1,0.33778592923601125,4.653320120225274,3.8199899714790777,0.0,0.004435461987788901,4.8474545457251,4.243121792088669,,,,matched
FI,3131,3,A2,0.33778592923601125,4.653320120225274,3.8199899714790777,0.0,-0.07405282993422985,4.85237106735729,4.249160501288068,5.0,,,matched
FI,3131,3,A3,0.33778592923601125,4.653320120225274,3.8199899714790777,0.0,-0.10998519983825672,4.855017333021563,4.249301556141415,5.0,1000.0,1.0,A3
