task,seed,outer_fold,n_train,n_test,w_fp,w_s,prediction_max_abs_error,prediction_mean_abs_error,prediction_rmse_difference,prediction_pearson,stored_lf1_pearson,reconstructed_lf1_pearson,pearson_abs_error,stored_lf1_rmse,reconstructed_lf1_rmse,rmse_abs_error,stored_lf1_mae,reconstructed_lf1_mae,mae_abs_error,coefficient_length,coefficient_finite,status
fluid_intelligence,6,3,330,82,0.35,0.65,0.0,0.0,0.0,1.0,0.4415659076916765,0.4415659076916765,0.0,4.1875973840066925,4.1875973840066925,0.0,3.567674787150261,3.567674787150261,0.0,6670,True,PASS
fluid_intelligence,6,4,330,82,0.35,0.65,0.0,0.0,0.0,1.0,0.3951743676527695,0.3951743676527695,0.0,5.268620023162855,5.268620023162855,0.0,4.292409728713274,4.292409728713274,0.0,6670,True,PASS
fluid_intelligence,7,0,329,83,0.45,0.55,0.0,0.0,0.0,1.0,0.34656406444486754,0.34656406444486754,0.0,4.372547966023328,4.372547966023328,0.0,3.7043011426617753,3.7043011426617753,0.0,6670,True,PASS
fluid_intelligence,7,1,329,83,0.25,0.75,0.0,0.0,0.0,1.0,0.45610266889908413,0.45610266889908413,0.0,4.555264000359026,4.555264000359026,0.0,3.624101827069526,3.624101827069526,0.0,6670,True,PASS
fluid_intelligence,7,2,330,82,0.4,0.6,0.0,0.0,0.0,0.9999999999999997,0.33091641657229187,0.33091641657229187,0.0,4.644278002356463,4.644278002356463,0.0,3.9295954534938042,3.9295954534938042,0.0,6670,True,PASS
fluid_intelligence,7,3,330,82,0.3,0.7,0.0,0.0,0.0,1.0,0.35012760572639273,0.35012760572639273,0.0,4.844653529514324,4.844653529514324,0.0,3.9564590688491177,3.9564590688491177,0.0,6670,True,PASS
fluid_intelligence,7,4,330,82,0.55,0.45,0.0,0.0,0.0,1.0,0.3005061160732944,0.3005061160732944,0.0,4.472239325910734,4.472239325910734,0.0,3.7586613534324527,3.7586613534324527,0.0,6670,True,PASS
fluid_intelligence,8,0,329,83,0.35,0.65,0.0,0.0,0.0,1.0,0.3828090983158329,0.3828090983158329,0.0,4.5171471133279075,4.5171471133279075,0.0,3.8119895582715912,3.8119895582715912,0.0,6670,True,PASS
fluid_intelligence,8,1,329,83,0.3,0.7,0.0,0.0,0.0,0.9999999999999998,0.3758504161078512,0.3758504161078512,0.0,4.760812633264077,4.760812633264077,0.0,3.7166601773702133,3.7166601773702133,0.0,6670,True,PASS
fluid_intelligence,8,2,330,82,0.55,0.45,0.0,0.0,0.0,1.0,0.41056994429167837,0.41056994429167837,0.0,4.479076853838751,4.479076853838751,0.0,3.6721384210294827,3.6721384210294827,0.0,6670,True,PASS
fluid_intelligence,8,3,330,82,0.45,0.55,0.0,0.0,0.0,0.9999999999999997,0.22578786453589966,0.22578786453589966,0.0,4.490077424051292,4.490077424051292,0.0,3.8370866574828275,3.8370866574828275,0.0,6670,True,PASS
fluid_intelligence,8,4,330,82,0.2,0.8,0.0,0.0,0.0,0.9999999999999999,0.3948087807735807,0.3948087807735807,0.0,4.770553171682712,4.770553171682712,0.0,3.9543382565903706,3.9543382565903706,0.0,6670,True,PASS
fluid_intelligence,9,0,329,83,0.4,0.6,0.0,0.0,0.0,1.0,0.4886739594954921,0.4886739594954921,0.0,4.4334657069281995,4.4334657069281995,0.0,3.717305056542622,3.717305056542622,0.0,6670,True,PASS
fluid_intelligence,9,1,329,83,0.35,0.65,0.0,0.0,0.0,1.0,0.3313281752080611,0.3313281752080611,0.0,4.846463303194615,4.846463303194615,0.0,4.1229704811197605,4.1229704811197605,0.0,6670,True,PASS
fluid_intelligence,9,2,330,82,0.25,0.75,0.0,0.0,0.0,1.0,0.5025293825572554,0.5025293825572554,0.0,4.07668442684347,4.07668442684347,0.0,3.349952957677401,3.349952957677401,0.0,6670,True,PASS
fluid_intelligence,9,3,330,82,0.3,0.7,0.0,0.0,0.0,1.0,0.43524619475792126,0.43524619475792126,0.0,4.490686692720666,4.490686692720666,0.0,3.592580282046513,3.592580282046513,0.0,6670,True,PASS
fluid_intelligence,9,4,330,82,0.35,0.65,0.0,0.0,0.0,0.9999999999999996,0.32871326816570456,0.32871326816570456,0.0,4.599706643739817,4.599706643739817,0.0,3.8092811383201926,3.8092811383201926,0.0,6670,True,PASS
