seed,fold,model,task,pearson,rmse,mae,w
4949,1,P0_linear,FI,0.4414878432091763,4.508649972953695,3.6529507234087326,0.4
4949,1,R0,WM,0.24649782039091084,10.49709029913693,9.008723708416994,0.0
4949,1,R0,FI,0.42453144552208383,4.563189605424412,3.715161852715518,0.0
4949,2,P1_rbf,WM,0.21689207733510055,11.90901563339859,9.59373949181296,1.0
4949,2,P1_rbf,FI,0.4674142055760271,4.687844528839329,3.941923073211254,0.6
4949,2,P0_linear,WM,0.1823764378723796,12.666921773666536,10.393872992035519,1.0
4949,2,P0_linear,FI,0.43583506378775827,4.644793405291875,3.837400234804874,0.5
4949,2,R0,WM,0.3042657489977999,11.637248586290898,9.592556456981141,0.0
4949,2,R0,FI,0.42789401265836285,4.674151849691837,3.8632413946962862,0.0
4949,3,P1_rbf,WM,0.2609201922240055,11.384693248129699,9.469694362878304,0.8
4949,3,P1_rbf,FI,0.272942159131395,4.805941265841913,4.140694809765331,0.6
4949,3,P0_linear,WM,0.3060177699829438,11.275011970563558,9.06135166042542,0.0
4949,3,P0_linear,FI,0.2840439660325977,4.887509398394251,4.129080469167469,0.5
4949,3,R0,WM,0.3060177699829438,11.275011970563558,9.06135166042542,0.0
4949,3,R0,FI,0.260319206777715,4.875183061733003,4.183845402307161,0.0
4949,4,P1_rbf,WM,0.35338925560186146,11.07356148684026,8.926007689744726,1.0
4949,4,P1_rbf,FI,0.2913054421847165,4.589963148755059,3.777559220807901,0.3
4949,4,P0_linear,WM,0.38672942662433724,10.930808089580493,8.865832576695258,1.0
4949,4,P0_linear,FI,0.26844086485553187,4.760710764325233,3.8659670852122385,0.1
4949,4,R0,WM,0.46636276695209733,10.327645978490322,8.539000096120972,0.0
4949,4,R0,FI,0.24640505501940607,4.829484011996414,3.9084287958348587,0.0
5050,0,P1_rbf,WM,0.22201673142332864,10.299230422410673,8.332332529064688,1.0
5050,0,P1_rbf,FI,0.31127249959154574,4.592335549812397,3.8206468386911325,0.0
5050,0,P0_linear,WM,0.2540295181499781,10.363093971474974,8.364405870945669,0.6
5050,0,P0_linear,FI,0.31127249959154574,4.592335549812397,3.8206468386911325,0.0
5050,0,R0,WM,0.25564343663617634,10.154397819904712,8.25668888755764,0.0
5050,0,R0,FI,0.31127249959154574,4.592335549812397,3.8206468386911325,0.0
5050,1,P1_rbf,WM,0.23576775884705098,11.669044350907331,9.480069385792776,0.9
5050,1,P1_rbf,FI,0.43062850665450386,4.646368198308611,3.859881233390052,0.8
5050,1,P0_linear,WM,0.21872409958680858,12.277032332687012,9.989381325829763,0.9
5050,1,P0_linear,FI,0.4548400110634121,4.50315231217836,3.583728527208431,0.7
5050,1,R0,WM,0.3050034690247908,11.982027532312538,9.687372583697451,0.0
5050,1,R0,FI,0.4282117459923224,4.569999670168618,3.579692170125146,0.0
5050,2,P1_rbf,WM,0.2635029847714833,11.622506074079261,9.633732406975886,0.6
5050,2,P1_rbf,FI,0.3291713815196376,4.302512916037027,3.690560491456767,0.3
5050,2,P0_linear,WM,0.27883024010548463,11.676305760165336,9.796690356750604,0.2
5050,2,P0_linear,FI,0.33163596153375763,4.385287507419744,3.688287407773803,0.4
5050,2,R0,WM,0.28312174042556076,11.634969308175345,9.807125038198082,0.0
5050,2,R0,FI,0.35240372762290006,4.293995258145941,3.5910371663136034,0.0
5050,3,P1_rbf,WM,0.3389859284489945,10.543062461169999,8.645599725856966,0.8
5050,3,P1_rbf,FI,0.5267276825656569,4.560457546652391,3.7052793625231693,0.3
5050,3,P0_linear,WM,0.33328743537915756,10.738606696203426,8.326958233921118,0.7
5050,3,P0_linear,FI,0.527416669081166,4.5407713312001645,3.629023246354863,0.4
5050,3,R0,WM,0.35665550680418334,10.459729435091834,8.166272044059067,0.0
5050,3,R0,FI,0.5460886197157925,4.502716132891614,3.6531508220153963,0.0
5050,4,P1_rbf,WM,0.27679070651624815,11.026617493031281,9.053965995444276,0.7
5050,4,P1_rbf,FI,0.3672000747551206,4.586576004537441,4.0185707058690445,0.7
5050,4,P0_linear,WM,0.23214152742881833,11.435441435763405,9.332946232342907,0.4
5050,4,P0_linear,FI,0.3666145366468163,4.582189939405085,3.9819009820403943,0.4
5050,4,R0,WM,0.24485745730771905,11.26339552810867,9.218275044272145,0.0
5050,4,R0,FI,0.36284334277693797,4.576724833555715,3.982979760516761,0.0
