seed,fold,model,lambda_amp,lambda_prior,alpha_WM,alpha_FI,eligible,selected,fisher,WM_pearson,WM_rmse,WM_mae,FI_pearson,FI_rmse,FI_mae
3939,0,C1,0.1,0.01,1.0,1.0,True,True,-0.010677570744909937,-0.017629246401321987,12.343819092623342,9.878135529873074,-0.00372405119888135,5.385067034446147,4.429178997620127
3939,0,C1,0.1,0.1,0.0,0.0,True,False,-0.037318946871407854,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C1,0.1,0.1,0.0,0.25,False,False,-0.03921725414493381,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.051657231291691,5.233323233113313,4.335490968614555
3939,0,C1,0.1,0.1,0.0,0.5,False,False,-0.04064709433898117,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.05450885168605849,5.284282859309051,4.365419361208547
3939,0,C1,0.1,0.1,0.0,0.75,False,False,-0.04166362763529871,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.056535650198355915,5.346434028066483,4.404664295936518
3939,0,C1,0.1,0.1,0.0,1.0,False,False,-0.04234254779542218,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.057889045754042384,5.419391709415627,4.455010935314529
3939,0,C1,0.1,0.1,0.25,0.0,True,False,-0.03703940193452054,-0.0261661906480534,12.205544672870946,9.789068576147665,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C1,0.1,0.1,0.25,0.25,False,False,-0.0389377092080465,-0.0261661906480534,12.205544672870946,9.789068576147665,-0.051657231291691,5.233323233113313,4.335490968614555
3939,0,C1,0.1,0.1,0.25,0.5,False,False,-0.04036754940209386,-0.0261661906480534,12.205544672870946,9.789068576147665,-0.05450885168605849,5.284282859309051,4.365419361208547
3939,0,C1,0.1,0.1,0.25,0.75,False,False,-0.0413840826984114,-0.0261661906480534,12.205544672870946,9.789068576147665,-0.056535650198355915,5.346434028066483,4.404664295936518
3939,0,C1,0.1,0.1,0.25,1.0,False,False,-0.04206300285853487,-0.0261661906480534,12.205544672870946,9.789068576147665,-0.057889045754042384,5.419391709415627,4.455010935314529
3939,0,C1,0.1,0.1,0.5,0.0,True,False,-0.03673480212337295,-0.025557398497080865,12.23979340871003,9.840283804276256,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C1,0.1,0.1,0.5,0.25,False,False,-0.03863310939689891,-0.025557398497080865,12.23979340871003,9.840283804276256,-0.051657231291691,5.233323233113313,4.335490968614555
3939,0,C1,0.1,0.1,0.5,0.5,False,False,-0.04006294959094627,-0.025557398497080865,12.23979340871003,9.840283804276256,-0.05450885168605849,5.284282859309051,4.365419361208547
3939,0,C1,0.1,0.1,0.5,0.75,False,False,-0.04107948288726381,-0.025557398497080865,12.23979340871003,9.840283804276256,-0.056535650198355915,5.346434028066483,4.404664295936518
3939,0,C1,0.1,0.1,0.5,1.0,False,False,-0.04175840304738728,-0.025557398497080865,12.23979340871003,9.840283804276256,-0.057889045754042384,5.419391709415627,4.455010935314529
3939,0,C1,0.1,0.1,0.75,0.0,True,False,-0.03641034166190437,-0.024908890772415742,12.279599414408715,9.897426116620968,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C1,0.1,0.1,0.75,0.25,False,False,-0.03830864893543033,-0.024908890772415742,12.279599414408715,9.897426116620968,-0.051657231291691,5.233323233113313,4.335490968614555
3939,0,C1,0.1,0.1,0.75,0.5,False,False,-0.039738489129477694,-0.024908890772415742,12.279599414408715,9.897426116620968,-0.05450885168605849,5.284282859309051,4.365419361208547
3939,0,C1,0.1,0.1,0.75,0.75,False,False,-0.040755022425795234,-0.024908890772415742,12.279599414408715,9.897426116620968,-0.056535650198355915,5.346434028066483,4.404664295936518
3939,0,C1,0.1,0.1,0.75,1.0,False,False,-0.041433942585918704,-0.024908890772415742,12.279599414408715,9.897426116620968,-0.057889045754042384,5.419391709415627,4.455010935314529
3939,0,C1,0.1,0.1,1.0,0.0,True,False,-0.03607106720062897,-0.024230751499706084,12.324908844806295,9.959890362225405,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C1,0.1,0.1,1.0,0.25,False,False,-0.03796937447415494,-0.024230751499706084,12.324908844806295,9.959890362225405,-0.051657231291691,5.233323233113313,4.335490968614555
3939,0,C1,0.1,0.1,1.0,0.5,False,False,-0.039399214668202294,-0.024230751499706084,12.324908844806295,9.959890362225405,-0.05450885168605849,5.284282859309051,4.365419361208547
3939,0,C1,0.1,0.1,1.0,0.75,False,False,-0.04041574796451984,-0.024230751499706084,12.324908844806295,9.959890362225405,-0.056535650198355915,5.346434028066483,4.404664295936518
3939,0,C1,0.1,0.1,1.0,1.0,False,False,-0.04109466812464331,-0.024230751499706084,12.324908844806295,9.959890362225405,-0.057889045754042384,5.419391709415627,4.455010935314529
3939,0,C1,0.1,1.0,0.0,0.0,True,False,-0.037318946871407854,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C1,0.1,1.0,0.0,0.25,True,False,-0.03583690037652191,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.044912311668533725,5.207374547579627,4.316340944354448
3939,0,C1,0.1,1.0,0.0,0.5,True,False,-0.034249575331806115,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.04174362406661273,5.228093588518776,4.328654369569478
3939,0,C1,0.1,1.0,0.0,0.75,True,False,-0.03261636209936579,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.03848245637841397,5.255956208553173,4.34587733241083
3939,0,C1,0.1,1.0,0.0,1.0,True,False,-0.03098806977435754,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.03523029833463064,5.290849550547874,4.37014814468317
3939,0,C1,0.1,1.0,0.25,0.0,True,False,-0.03693492264223918,-0.025957373992370015,12.194577148176515,9.750673142612039,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C1,0.1,1.0,0.25,0.25,True,False,-0.035452876147353235,-0.025957373992370015,12.194577148176515,9.750673142612039,-0.044912311668533725,5.207374547579627,4.316340944354448
3939,0,C1,0.1,1.0,0.25,0.5,True,False,-0.03386555110263745,-0.025957373992370015,12.194577148176515,9.750673142612039,-0.04174362406661273,5.228093588518776,4.328654369569478
3939,0,C1,0.1,1.0,0.25,0.75,True,False,-0.032232337870197116,-0.025957373992370015,12.194577148176515,9.750673142612039,-0.03848245637841397,5.255956208553173,4.34587733241083
3939,0,C1,0.1,1.0,0.25,1.0,True,False,-0.03060404554518887,-0.025957373992370015,12.194577148176515,9.750673142612039,-0.03523029833463064,5.290849550547874,4.37014814468317
3939,0,C1,0.1,1.0,0.5,0.0,True,False,-0.03654105646678852,-0.025170156470146473,12.215203762433669,9.760207102050632,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C1,0.1,1.0,0.5,0.25,True,False,-0.035059009971902574,-0.025170156470146473,12.215203762433669,9.760207102050632,-0.044912311668533725,5.207374547579627,4.316340944354448
3939,0,C1,0.1,1.0,0.5,0.5,True,False,-0.03347168492718679,-0.025170156470146473,12.215203762433669,9.760207102050632,-0.04174362406661273,5.228093588518776,4.328654369569478
3939,0,C1,0.1,1.0,0.5,0.75,True,False,-0.031838471694746455,-0.025170156470146473,12.215203762433669,9.760207102050632,-0.03848245637841397,5.255956208553173,4.34587733241083
