target,model,regime,seed,fold,abstained,top10,top5,bottom10,bottom5,random10_mean,random5_mean,top10_minus_random10
WM,B0,B,7171,4,0,0.02891477083121785,0.24856120196527876,-0.36742091482763684,-0.0030596414150174667,-0.13564637834864537,-0.0745915736549181,0.16456114917986323
WM,B0,B,7272,0,0,-0.022878210009396938,-0.18430004505205666,-0.25646999817150196,0.040194574390231,-0.04161210199335956,-0.021860368422764846,0.018733891983962622
WM,B0,B,7272,1,0,0.16945157715598036,0.04609610380131457,0.26372410730629703,0.15806832743398758,0.004122246080552578,0.011599518784650691,0.16532933107542777
WM,B0,B,7272,2,0,0.20433598905850658,0.2282881936969634,0.18753431596616288,0.059934700793853324,0.08952730121930051,0.054287506451731214,0.11480868783920607
WM,B0,B,7272,3,0,0.34354494769639565,0.33132832376195154,-0.047535441336572504,-0.021094931427136032,0.12980344333384472,0.07250806481115685,0.21374150436255093
WM,B0,B,7272,4,0,0.18372181125728915,0.29756596663463597,0.0009494039146868971,0.02853341180146174,0.06647560425293453,0.028409484543724942,0.11724620700435462
WM,B0,B,7373,0,0,0.1075861930199089,0.09965938338509872,0.1265630681796459,0.05834721698218459,0.1576018516522123,0.0822374882570537,-0.050015658632303395
WM,B0,B,7373,1,1,,,,,,,
WM,B0,B,7373,2,1,,,,,,,
WM,B0,B,7373,3,0,-0.08564112154604508,0.38275042347835964,-0.1873929196732469,0.02798773056718673,-0.006316065017465195,-0.030380413614484833,-0.0793250565285799
WM,B0,B,7373,4,0,-0.1110482813946927,0.29751842442615484,0.3529862890965809,0.3246478818764462,0.037434379906893016,0.030308203426973945,-0.14848266130158572
WM,B0,B,7474,0,0,0.47529384471218883,0.20821060076406006,0.13752769265353315,0.053652959479533635,0.09754332567001155,0.06651283734113823,0.37775051904217727
WM,B0,B,7474,1,0,0.32098559682993333,0.12113851264958342,0.04005604948766894,0.08637226333983428,0.181571907537581,0.10006723348425334,0.13941368929235232
WM,B0,B,7474,2,0,0.18172766606564572,0.13331084064015641,0.010288526885256388,0.0018957401579768884,0.09328289567174855,0.052272044518315505,0.08844477039389717
WM,B0,B,7474,3,0,0.015609471298892785,-0.1139240137212969,-0.1220217386353557,-0.13623732033028269,-0.03742857606356075,0.0010591563087495892,0.05303804736245354
WM,B0,B,7474,4,0,-0.061211755940524526,0.07596432874633585,-0.18696369280157654,-0.06687123281753138,-0.008556706234458372,-0.01987167022018605,-0.05265504970606615
WM,B0,B,7575,0,0,0.6148377857175511,0.4755433186723881,-0.11947927886570575,0.1613891071563689,0.1935560145563943,0.08943123075472532,0.42128177116115684
WM,B0,B,7575,1,0,0.055264314935664416,-0.09413781628385998,0.04657253648937676,0.05219677307391457,0.015843183620401026,0.02859922739667063,0.03942113131526339
WM,B0,B,7575,2,0,0.12230767529843511,0.2781155627216698,-0.10335063263749866,-0.06815558789849163,0.047042816823307125,0.022107826179525957,0.07526485847512798
WM,B0,B,7575,3,0,0.23588103869262333,0.23698866257155693,-0.09591807631310267,-0.006854355870261841,0.13783053564393405,0.03831825701887965,0.09805050304868929
WM,B0,B,7575,4,0,-0.07354383968593403,-0.42178152692175175,-0.07304236464091751,-0.003373919743037135,0.04568265861458272,0.06656276286230961,-0.11922649830051675
WM,B1,A,7171,0,0,0.6237691811483099,0.48099885256806196,0.19850359237036486,0.18945857878924066,0.23802871997551683,0.12881937515277353,0.3857404611727931
WM,B1,A,7171,1,0,-0.5307990844581632,0.026445694688673527,0.1277222873351036,0.19177648264009406,-0.05926569500492711,0.0001900883600950287,-0.47153338945323603
WM,B1,A,7171,2,0,0.1659559155336794,0.1531811682656521,0.08674955794974082,0.11166994538976027,0.09906421650391387,0.05033584438406271,0.06689169902976552
WM,B1,A,7171,3,0,-2.240994333458291,-2.1786020628784026,0.19923972342766127,0.100534327564894,0.1684018691690089,0.15318042654298644,-2.4093962026273
WM,B1,A,7171,4,0,-0.399022705067976,0.026181163636872284,-0.4038764859922548,-0.20605001131491818,-0.06999603405225878,-0.05040009056866751,-0.3290266710157172
WM,B1,A,7272,0,0,-0.2352505299268799,-0.5139844704775189,-0.18785243417259956,-0.1602573421705653,0.038293896985680594,0.0151773374556414,-0.2735444269125605
WM,B1,A,7272,1,0,0.09068354835829062,-0.11499803618532844,0.04842119615180707,0.027046599272077643,-0.05429566975305255,-0.009471496891840766,0.14497921811134318
WM,B1,A,7272,2,0,0.48722745763594766,-0.019628631454217782,-0.07692162686214843,-0.09022661581944469,0.028435185208899122,0.030018347999353365,0.45879227242704856
WM,B1,A,7272,3,0,0.27706523659618476,0.2752382694003508,0.023105420115703268,0.03517877553248283,0.06893573194725652,0.0519481577692806,0.20812950464892824
WM,B1,A,7272,4,0,0.3452014217712911,0.15726532505813395,-0.09404819895481609,0.048058989550012754,0.14679945966574184,0.07660206914100927,0.19840196210554925
WM,B1,A,7373,0,0,0.27752971082165523,0.027661649686526957,-0.018091618685504685,-0.17411828013445785,0.2621402617745739,0.15431791443928505,0.015389449047081338
WM,B1,A,7373,1,1,,,,,,,
WM,B1,A,7373,2,0,0.1664107597440978,0.3457024585172306,0.1233517037307088,0.05530434770285275,0.06820630825582688,0.05119298625107088,0.09820445148827092
WM,B1,A,7373,3,0,-0.2209122415193452,-0.08002796529273937,-0.23075197150343563,-0.1480207044564441,-0.03145954427978493,-0.0418671847253016,-0.18945269723956026
WM,B1,A,7373,4,0,0.5171113379309791,0.318166825253531,0.11060224048591394,0.05957981652190014,0.19744378333494395,0.10255724636336921,0.31966755459603513
WM,B1,A,7474,0,0,0.29968385342191795,0.13561638483814953,-0.05363169983259297,0.05148865068594333,0.023108600317161408,0.02011558586256715,0.27657525310475656
WM,B1,A,7474,1,0,0.0036387566688294015,0.13121023623871864,0.18802618440554042,0.12279038095721617,0.1925343459072147,0.1067917665875693,-0.1888955892383853
WM,B1,A,7474,2,1,,,,,,,
WM,B1,A,7474,3,0,-0.054795689823418314,-0.1154155144518505,-0.29123630945798595,-0.23794072967055868,-0.11267746338844496,-0.03617479286355785,0.05788177356502665
WM,B1,A,7474,4,0,0.22874699096813345,0.05652356170857331,-0.01713740198588809,-0.11603994519658656,-0.02098806393731337,-0.0026406939207355507,0.2497350549054468
WM,B1,A,7575,0,1,,,,,,,
WM,B1,A,7575,1,1,,,,,,,
WM,B1,A,7575,2,0,0.11590144458308949,0.140214158864568,0.029530259130863712,0.017419426774957003,0.06145477173518927,0.03103925174060473,0.05444667284790022
WM,B1,A,7575,3,0,0.44855468796886555,0.12404299811443842,0.06960910372045603,-6.403562324130974e-05,0.16888537282779942,0.0787961990046762,0.27966931514106613
WM,B1,A,7575,4,0,0.15702656921081726,0.4041061823522334,0.14022158201915502,-0.09535964428333088,0.06011288078195168,0.06784707512258797,0.09691368842886558
WM,B1,B,7171,0,1,,,,,,,
WM,B1,B,7171,1,0,-0.2892947435567166,0.05251751466440169,0.12342111745673456,0.11631934426014645,-0.06039187487636603,-0.023051091200494655,-0.22890286868035054
WM,B1,B,7171,2,0,0.3044140448110717,0.17120608836431472,-0.013986949463447473,-0.02439539501906829,0.1470690480575483,0.06850165134014599,0.1573449967535234
WM,B1,B,7171,3,1,,,,,,,
WM,B1,B,7171,4,0,-0.09315445144596346,0.01019449354571833,-0.016794153538670642,-0.03562136131776761,-0.11834282093202045,-0.0729138003198468,0.02518836948605699
WM,B1,B,7272,0,0,-0.037758601166425265,-0.15992445941737543,-0.06507332542031641,-0.08810331374808911,-0.019153786592195753,-0.011278230269817193,-0.018604814574229512
WM,B1,B,7272,1,1,,,,,,,
WM,B1,B,7272,2,0,0.1919772319669164,0.08146493209922667,0.17090418282588615,0.1300622808194145,0.08608460200328624,0.0520886091579362,0.10589262996363016
WM,B1,B,7272,3,0,0.465800007885683,0.4309898590068979,-0.024679557235737448,-0.011257238419323912,0.14020354553819903,0.07756578572728946,0.32559646234748396
WM,B1,B,7272,4,0,0.18372181125728915,0.29756596663463597,0.0009494039146868971,0.02853341180146174,0.06647560425293453,0.028409484543724942,0.11724620700435462
WM,B1,B,7373,0,0,0.10027211959187987,0.26772869790665865,0.13231044915161583,0.06439703077590586,0.15002806388788018,0.07620093766531158,-0.049755944296000304
WM,B1,B,7373,1,1,,,,,,,
WM,B1,B,7373,2,0,0.20172702456948777,0.26134580762001036,-0.2525910134199858,-0.0017147122073950527,0.07778718687629917,0.09250241238844702,0.1239398376931886
WM,B1,B,7373,3,0,-0.10513892263326063,-0.05235563273482313,-0.061947255335123685,0.08271663662733175,-0.0017430016070952448,-0.027452518227195827,-0.10339592102616539
WM,B1,B,7373,4,0,-0.16981998225060835,0.2745883419851154,0.38538786138971837,0.3492679606014395,0.031392343818751806,0.029920489141634813,-0.20121232606936015
WM,B1,B,7474,0,0,0.43219010150438386,0.20995625304786358,0.18690155780573647,0.08480515343983619,0.08882522144986249,0.06018952651475187,0.34336488005452137
WM,B1,B,7474,1,0,0.16150543196897615,0.05610394179221423,0.026606948634402272,0.034026324204580405,0.21654085371242068,0.1189370074262663,-0.05503542174344453
WM,B1,B,7474,2,0,0.18488941385398583,0.09916538930574781,0.016229653761188345,0.004887750715624861,0.08666271783568341,0.043907975202477106,0.09822669601830242
WM,B1,B,7474,3,0,0.0223875750484126,-0.10878810397139027,-0.12092552015276681,-0.08700829307165137,-0.03813713992580881,0.00045110737584776574,0.06052471497422141
WM,B1,B,7474,4,1,,,,,,,
WM,B1,B,7575,0,0,0.5413344555954698,0.45541253356345734,-0.1126151002507001,0.1634297119742989,0.19389329418787934,0.08911282137076683,0.3474411614075904
WM,B1,B,7575,1,0,0.11687101509847864,-0.0951178018685166,0.046520408026939464,0.05294179992758252,0.012602933387800075,0.026305970048323035,0.10426808171067856
WM,B1,B,7575,2,0,0.11231598661545128,0.25618797203816435,-0.12402978160894662,-0.08493938804700463,0.034510330331208545,0.013976855618349493,0.07780565628424274
WM,B1,B,7575,3,0,0.31340206979144547,0.35039636730135193,0.2635303885608984,0.22077249401739074,0.11278631076872486,0.031824802062809264,0.2006157590227206
WM,B1,B,7575,4,0,-0.08527860013560407,-0.3928684626833263,0.1452855624028082,0.08820868551177696,0.04872089777033242,0.06642491009455753,-0.1339994979059365
FI,B0,A,7171,0,0,0.04930677530459793,0.03799094061895136,-0.017985995788720288,-0.034079556002563294,0.03910022105864821,0.012675743409788538,0.010206554245949719
FI,B0,A,7171,1,0,0.06457264420765618,0.1640907801665099,-0.01147676520576102,0.010232767200337278,0.038384724833153895,0.04063750828428504,0.026187919374502287
FI,B0,A,7171,2,1,,,,,,,
FI,B0,A,7171,3,0,0.035108130240762314,0.14015936105272075,-0.0481667244061974,-0.0722163991634357,0.018672972130293813,0.01937783570185947,0.0164351581104685
FI,B0,A,7171,4,0,0.28758128371133296,0.016710970421765836,0.1833387508422879,0.06319825973071946,0.08629804016294917,0.05434605174751446,0.20128324354838378
FI,B0,A,7272,0,0,0.033246888496055504,0.06417681076283088,0.07602018020226708,0.013213490923604354,0.03798821729627905,0.019699093791079026,-0.004741328800223543
FI,B0,A,7272,1,0,-0.02614622238652231,-0.08697079349864456,-0.0962092129820249,-0.0318944247260502,0.01335206860545391,-0.001408199260920897,-0.03949829099197622
FI,B0,A,7272,2,1,,,,,,,
FI,B0,A,7272,3,0,0.05511839144140218,-0.025086319934749746,-0.016269320830417655,-0.06193949307333746,0.029659871905376983,0.02278329487185383,0.0254585195360252
FI,B0,A,7272,4,1,,,,,,,
FI,B0,A,7373,0,1,,,,,,,
FI,B0,A,7373,1,0,-0.07287358234696129,-0.026483253988081046,0.0300477288649601,0.058387392180714315,0.012067190582126157,0.002465951622973037,-0.08494077292908744
FI,B0,A,7373,2,0,0.0973997667362081,0.0876356138555554,0.13204646959563515,0.1020222796522372,0.04513340108384876,0.04586429447881896,0.052266365652359335
