target,model,regime,seed,pearson,rmse,mae
WM,B4,A,7373,0.27131908822512396,11.295691373397602,9.225643422937216
WM,B4,A,7474,0.271736648177256,11.248892486443422,9.091233088799747
WM,B4,A,7575,0.3144556820379692,10.936807299446667,8.909663654093293
WM,B4,B,7171,0.24742125047455257,11.217017447183474,9.014534411475921
WM,B4,B,7272,0.25127835668300436,11.164177343608845,9.058507112451203
WM,B4,B,7373,0.2147388936992205,11.670422947130428,9.407488622509188
WM,B4,B,7474,0.2782569034875187,11.031756011163736,8.965728874224515
WM,B4,B,7575,0.29101129267424936,10.997974446682015,8.94285890530991
FI,A0,A,7171,0.3568908452018352,4.583285579677163,3.7794371580145634
FI,A0,A,7272,0.3428988413406465,4.621629464699233,3.835127835568817
FI,A0,A,7373,0.36933619254078887,4.5498009540036755,3.7920061255330286
FI,A0,A,7474,0.3432218159934223,4.6140414690608775,3.830856656716491
FI,A0,A,7575,0.3680372903561988,4.557664135586611,3.8057655036465445
FI,A0,B,7171,0.34828788338619504,4.5898214020482,3.829856246473155
FI,A0,B,7272,0.32323826362285724,4.650213046185845,3.8704688617337797
FI,A0,B,7373,0.3600488071152863,4.570951568352242,3.831771768430686
FI,A0,B,7474,0.3368706008924546,4.617477403214396,3.864725750871441
FI,A0,B,7575,0.3135159792511082,4.662588608519747,3.8974683465903404
FI,A1,A,7171,0.3513947347628391,4.602113974007402,3.7788908132667514
FI,A1,A,7272,0.3475907753698749,4.618827802885588,3.8192241692366182
FI,A1,A,7373,0.37545527813186796,4.543153494243019,3.759672491869187
FI,A1,A,7474,0.3402788041364115,4.619211323263981,3.8379573898250903
FI,A1,A,7575,0.3678676561362624,4.559804590318476,3.8016758150291974
FI,A1,B,7171,0.32393221574195974,4.639308922190214,3.8814251871916334
FI,A1,B,7272,0.3240209486095703,4.662110418422264,3.8625015893198813
FI,A1,B,7373,0.34586130851246866,4.627985836097317,3.8560482507108076
FI,A1,B,7474,0.32769653816476324,4.63833711194455,3.858602965251034
FI,A1,B,7575,0.3105569486731503,4.675194953971846,3.913622706375961
FI,A2,A,7171,0.3416105170471312,4.629976642517477,3.8040906714730203
FI,A2,A,7272,0.3504231355022195,4.607247470784942,3.820815331848264
FI,A2,A,7373,0.3746203505723987,4.5399558869963075,3.8014136986177034
FI,A2,A,7474,0.34903459574006124,4.594640718061931,3.8206406169931855
FI,A2,A,7575,0.3719359449923568,4.548211600137534,3.796232486610936
FI,A2,B,7171,0.3346313732013886,4.618085403477852,3.8632872093110207
FI,A2,B,7272,0.3270642865028087,4.654509666455516,3.8544529037481348
FI,A2,B,7373,0.3593532403872116,4.571495276095892,3.812497423689144
FI,A2,B,7474,0.3263211510400496,4.633853272600445,3.8880504888934255
FI,A2,B,7575,0.32816036789707165,4.65047926449654,3.8670189619346176
FI,A3,A,7171,0.3636976457979959,4.570201649254359,3.7567271905000235
FI,A3,A,7272,0.35499308448802447,4.59350949050683,3.8112454659888564
FI,A3,A,7373,0.3747362809538956,4.539628875124287,3.7780695919557368
FI,A3,A,7474,0.3339211215738361,4.640752639851864,3.8514925391810375
FI,A3,A,7575,0.36821507582426827,4.556569014502149,3.80586797280941
FI,A3,B,7171,0.34295145647031144,4.601337200289709,3.857468356379456
FI,A3,B,7272,0.331754850172844,4.638798534013289,3.8438687531873854
FI,A3,B,7373,0.3444998148877835,4.620604661526386,3.8648522317802323
FI,A3,B,7474,0.3365844566521431,4.618000307672348,3.8654523605557505
FI,A3,B,7575,0.3166486348472253,4.655239287170729,3.8946189600104626
FI,B0,A,7171,0.35434847831514416,4.587928928059567,3.811800659101223
FI,B0,A,7272,0.35646988370047883,4.585239713308663,3.79299866564389
FI,B0,A,7373,0.34314281765811355,4.608203327681293,3.8467870692230264
FI,B0,A,7474,0.333322456581355,4.63204329894932,3.8693427406819345
FI,B0,A,7575,0.36414688112504895,4.562532418993241,3.817314735416073
FI,B0,B,7171,0.3427099477322747,4.59934633346679,3.861205726550029
FI,B0,B,7272,0.31324508543995533,4.659526405981773,3.9093843751039756
FI,B0,B,7373,0.3603936274887787,4.566733726728733,3.8441194762887285
FI,B0,B,7474,0.3269306708562555,4.6315759435495725,3.8870406322539255
FI,B0,B,7575,0.305907387995047,4.671363144789319,3.9086085696135826
FI,B1,A,7171,0.3487760469799204,4.6009256111878445,3.824280141472416
FI,B1,A,7272,0.35731657519609045,4.58016299455474,3.799560930342802
FI,B1,A,7373,0.33927913120766984,4.618709621463277,3.85506194035881
FI,B1,A,7474,0.3387464081000624,4.62124203934742,3.8631233235456355
FI,B1,A,7575,0.36378653953287776,4.562365867895896,3.8182899594651944
FI,B1,B,7171,0.348314039111438,4.591144918955133,3.861728853035052
FI,B1,B,7272,0.31964225252042733,4.644411471167478,3.903721785544595
FI,B1,B,7373,0.3593524084351398,4.568613597615494,3.8514694491852475
FI,B1,B,7474,0.32897774193431245,4.623729923439616,3.896935586041251
FI,B1,B,7575,0.3050359497896735,4.67072608048759,3.909984258327136
FI,B2,A,7171,0.3576837662331463,4.577451578877052,3.7874604824671967
FI,B2,A,7272,0.323827565399471,4.6511878264757796,3.855603146594089
FI,B2,A,7373,0.36578356885858154,4.556327087405476,3.818000604945614
FI,B2,A,7474,0.3339717711712058,4.625231641207184,3.864033777041355
FI,B2,A,7575,0.3677397276834291,4.554156206437795,3.811104933332792
FI,B2,B,7171,0.34782555942929505,4.592462572540961,3.8429913139064773
FI,B2,B,7272,0.3356148463259568,4.612752256134638,3.857973842049005
FI,B2,B,7373,0.35898703786626457,4.569276947221801,3.835281353968537
FI,B2,B,7474,0.33673748150761074,4.61140928346245,3.8825159454028912
FI,B2,B,7575,0.28729241117115323,4.711522568209906,3.9198399900294523
FI,B3,A,7171,0.3562313528680573,4.583797556345278,3.7821789768025535
FI,B3,A,7272,0.3428988413406465,4.621629464699233,3.835127835568817
FI,B3,A,7373,0.366986115915234,4.554318028176497,3.7975595876936685
FI,B3,A,7474,0.3323828791172303,4.62952349212992,3.857893073230934
FI,B3,A,7575,0.36562440142363517,4.5607864284488615,3.814082485815815
FI,B3,B,7171,0.3485177379556299,4.588786528822009,3.8377787694072873
FI,B3,B,7272,0.32237032904719753,4.645651978908578,3.8794427070120645
FI,B3,B,7373,0.35654730392835626,4.575604611287883,3.839665235252933
FI,B3,B,7474,0.32121538008703676,4.643982903921324,3.8901214818403016
FI,B3,B,7575,0.313361103992538,4.662405092937134,3.8988781748627295
FI,B4,A,7171,0.3427224806222493,4.607815237742503,3.822005452689136
FI,B4,A,7272,0.3423956916170885,4.612739315480544,3.8491864193684484
FI,B4,A,7373,0.36309170198737184,4.561603301705059,3.8301687816539722
FI,B4,A,7474,0.3546397195077974,4.579809813609289,3.8249680767890095
FI,B4,A,7575,0.3752461176925115,4.538410082412875,3.7988503138426544
FI,B4,B,7171,0.36124868243825115,4.570729049829659,3.842621706158186
FI,B4,B,7272,0.3492436109776649,4.5875862072720786,3.8543687747838655
FI,B4,B,7373,0.3940347275114151,4.515477778093747,3.817748064173895
FI,B4,B,7474,0.33667095692153487,4.611180326995162,3.8628065755118155
FI,B4,B,7575,0.31634684456245055,4.645927026620409,3.9036959294502456
