edge_index,roi_i_0based,roi_j_0based,roi_i_1based,roi_j_1based,mean_signed_coef,mean_abs_coef,median_abs_coef,rank_mean_abs,roi_i_name,roi_j_name,top10_frequency,top20_frequency,top50_frequency,sign_consistency
2559,24,100,25,101,-0.10103354502750655,0.10103354502750655,0.10197774298926887,71,Frontal_Med_Orb_L,Cerebelum_7b_L,0.0,0.0,0.02,1.0
5373,64,94,65,95,0.100940796385012,0.100940796385012,0.08166554261876277,72,Angular_L,Cerebelum_3_L,0.02,0.14,0.34,1.0
1299,11,101,12,102,-0.10081841805662972,0.10081841805662972,0.07411989200511127,73,Frontal_Inf_Oper_R,Cerebelum_7b_R,0.0,0.08,0.16,1.0
5358,64,79,65,80,0.10077008564718552,0.10077008564718552,0.11147080926212925,74,Angular_L,Heschl_R,0.0,0.0,0.06,1.0
1228,11,30,12,31,-0.09977217900761395,0.09977217900761395,0.06634283013537454,75,Frontal_Inf_Oper_R,Cingulum_Ant_L,0.0,0.06,0.18,1.0
1865,17,64,18,65,0.099232324766035,0.099232324766035,0.10845894272060486,76,Rolandic_Oper_R,Angular_L,0.0,0.0,0.02,1.0
6211,85,92,86,93,-0.09889998260431727,0.09889998260431727,0.11104546478551569,77,Temporal_Mid_R,Cerebelum_Crus2_L,0.0,0.0,0.04,1.0
1422,13,19,14,20,0.09868609046454316,0.09868609046454316,0.08752771627912943,78,Frontal_Inf_Tri_R,Supp_Motor_Area_R,0.0,0.02,0.24,1.0
6094,81,101,82,102,-0.09827806786952321,0.09827806786952321,0.07064420616927755,79,Temporal_Sup_R,Cerebelum_7b_R,0.0,0.04,0.1,1.0
6192,84,103,85,104,0.09794664095658075,0.09794664095658075,0.08634392461276368,80,Temporal_Mid_L,Cerebelum_8_R,0.0,0.02,0.06,1.0
5144,60,75,61,76,-0.09792834188823292,0.09792834188823292,0.10491841653551638,81,Parietal_Inf_L,Pallidum_R,0.0,0.0,0.18,1.0
3334,33,101,34,102,-0.09770447228221785,0.09770447228221785,0.10120828813301677,82,Cingulum_Mid_R,Cerebelum_7b_R,0.0,0.0,0.06,1.0
