task,seed,outer_fold,n_train,n_test,w_fp,w_s,prediction_max_abs_error,prediction_mean_abs_error,prediction_rmse_difference,prediction_pearson,stored_lf1_pearson,reconstructed_lf1_pearson,pearson_abs_error,stored_lf1_rmse,reconstructed_lf1_rmse,rmse_abs_error,stored_lf1_mae,reconstructed_lf1_mae,mae_abs_error,coefficient_length,coefficient_finite,status
working_memory,2,2,330,82,0.8,0.2,0.0,0.0,0.0,1.0,0.24625249676290845,0.24625249676290845,0.0,11.24074822548814,11.24074822548814,0.0,8.773054881207262,8.773054881207262,0.0,6670,True,PASS
working_memory,2,3,330,82,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.3520643347518803,0.3520643347518803,0.0,10.754400836870401,10.754400836870401,0.0,9.275357625539467,9.275357625539467,0.0,6670,True,PASS
working_memory,2,4,330,82,0.75,0.25,0.0,0.0,0.0,1.0,0.17949547759481613,0.17949547759481613,0.0,10.753710195617366,10.753710195617366,0.0,8.558731156636362,8.558731156636362,0.0,6670,True,PASS
working_memory,3,0,329,83,0.9,0.1,0.0,0.0,0.0,0.9999999999999998,0.290376184308319,0.290376184308319,0.0,9.393923396181407,9.393923396181407,0.0,8.066410734551546,8.066410734551546,0.0,6670,True,PASS
working_memory,3,1,329,83,0.9,0.1,0.0,0.0,0.0,1.0,0.2215149881494799,0.2215149881494799,0.0,12.188355392045375,12.188355392045375,0.0,10.454252274479446,10.454252274479446,0.0,6670,True,PASS
working_memory,3,2,330,82,0.55,0.45,0.0,0.0,0.0,0.9999999999999998,0.1257552571864575,0.1257552571864575,0.0,12.340275725535472,12.340275725535472,0.0,9.680044992738377,9.680044992738377,0.0,6670,True,PASS
working_memory,3,3,330,82,0.95,0.05,0.0,0.0,0.0,1.0,0.4906255242595954,0.4906255242595954,0.0,10.721336363028467,10.721336363028467,0.0,8.738033964738138,8.738033964738138,0.0,6670,True,PASS
working_memory,3,4,330,82,0.6,0.4,0.0,0.0,0.0,1.0,0.3504674649871574,0.3504674649871574,0.0,10.902179031105968,10.902179031105968,0.0,8.44510443194964,8.44510443194964,0.0,6670,True,PASS
working_memory,4,0,329,83,0.8,0.2,0.0,0.0,0.0,1.0,0.25658360185210477,0.25658360185210477,0.0,10.577485726324955,10.577485726324955,0.0,8.391494343626256,8.391494343626256,0.0,6670,True,PASS
working_memory,4,1,329,83,0.9,0.1,0.0,0.0,0.0,0.9999999999999998,0.23972245180614343,0.23972245180614343,0.0,11.804797805420938,11.804797805420938,0.0,9.350490720611079,9.350490720611079,0.0,6670,True,PASS
working_memory,4,2,330,82,0.65,0.35,0.0,0.0,0.0,1.0,0.2609280928900746,0.2609280928900746,0.0,10.689578887163782,10.689578887163782,0.0,8.99975713308576,8.99975713308576,0.0,6670,True,PASS
working_memory,4,3,330,82,0.85,0.15,0.0,0.0,0.0,0.9999999999999998,0.27265354672923514,0.27265354672923514,0.0,11.814501885524455,11.814501885524455,0.0,9.574694532990966,9.574694532990966,0.0,6670,True,PASS
working_memory,4,4,330,82,0.65,0.35,0.0,0.0,0.0,1.0,0.3610849280113556,0.3610849280113556,0.0,10.99497361202762,10.99497361202762,0.0,8.787952053313214,8.787952053313214,0.0,6670,True,PASS
working_memory,5,0,329,83,0.75,0.25,0.0,0.0,0.0,0.9999999999999997,0.21143211474942855,0.21143211474942855,0.0,12.032585065352897,12.032585065352897,0.0,9.29988201778538,9.29988201778538,0.0,6670,True,PASS
working_memory,5,1,329,83,0.75,0.25,0.0,0.0,0.0,1.0,0.2911243270441113,0.2911243270441113,0.0,12.1295925477054,12.1295925477054,0.0,9.734914105252646,9.734914105252646,0.0,6670,True,PASS
working_memory,5,2,330,82,0.85,0.15,0.0,0.0,0.0,0.9999999999999999,0.08740632417801672,0.08740632417801672,0.0,10.979780576680092,10.979780576680092,0.0,8.698441636265095,8.698441636265095,0.0,6670,True,PASS
working_memory,5,3,330,82,0.8,0.2,0.0,0.0,0.0,1.0,0.3681499842871875,0.3681499842871875,0.0,10.863711377304282,10.863711377304282,0.0,8.971662878960247,8.971662878960247,0.0,6670,True,PASS
working_memory,5,4,330,82,0.8,0.2,0.0,0.0,0.0,0.9999999999999998,0.22325960065865658,0.22325960065865658,0.0,11.283591413726572,11.283591413726572,0.0,9.367501435487526,9.367501435487526,0.0,6670,True,PASS
working_memory,6,0,329,83,0.75,0.25,0.0,0.0,0.0,1.0,0.2874546214584777,0.2874546214584777,0.0,11.363338259681845,11.363338259681845,0.0,9.19700225419599,9.19700225419599,0.0,6670,True,PASS
working_memory,6,1,329,83,0.7,0.3,0.0,0.0,0.0,0.9999999999999997,0.26126049540099283,0.26126049540099283,0.0,10.39570846535832,10.39570846535832,0.0,8.389531245252751,8.389531245252751,0.0,6670,True,PASS
working_memory,6,2,330,82,0.55,0.45,0.0,0.0,0.0,1.0,0.005870938865813916,0.005870938865813916,0.0,12.64378514233975,12.64378514233975,0.0,10.766007535873891,10.766007535873891,0.0,6670,True,PASS
working_memory,6,3,330,82,1.0,0.0,0.0,0.0,0.0,1.0,0.3526477629318102,0.3526477629318102,0.0,10.419920127217798,10.419920127217798,0.0,7.932686806661072,7.932686806661072,0.0,6670,True,PASS
working_memory,6,4,330,82,0.7,0.3,0.0,0.0,0.0,0.9999999999999994,0.45000593597145927,0.45000593597145927,0.0,11.454549199394833,11.454549199394833,0.0,9.437696604781822,9.437696604781822,0.0,6670,True,PASS
working_memory,7,0,329,83,1.0,0.0,0.0,0.0,0.0,1.0,0.24387752881112512,0.24387752881112512,0.0,11.630291144079154,11.630291144079154,0.0,8.904942491359325,8.904942491359325,0.0,6670,True,PASS
working_memory,7,1,329,83,0.5,0.5,0.0,0.0,0.0,1.0,0.20524892450632232,0.20524892450632232,0.0,10.615674111687797,10.615674111687797,0.0,8.79929293945605,8.79929293945605,0.0,6670,True,PASS
working_memory,7,2,330,82,0.55,0.45,0.0,0.0,0.0,0.9999999999999997,0.14154048887689757,0.14154048887689757,0.0,12.46613102790814,12.46613102790814,0.0,9.733335323713264,9.733335323713264,0.0,6670,True,PASS
working_memory,7,3,330,82,0.55,0.45,0.0,0.0,0.0,1.0,0.30808827870739464,0.30808827870739464,0.0,11.22115521515498,11.22115521515498,0.0,9.45729707910987,9.45729707910987,0.0,6670,True,PASS
working_memory,7,4,330,82,0.8,0.2,0.0,0.0,0.0,1.0,0.3182421995175949,0.3182421995175949,0.0,10.76725064822921,10.76725064822921,0.0,9.067512564958083,9.067512564958083,0.0,6670,True,PASS
working_memory,8,0,329,83,0.8,0.2,0.0,0.0,0.0,1.0,0.250406662428612,0.250406662428612,0.0,11.189883603164224,11.189883603164224,0.0,9.173916710680784,9.173916710680784,0.0,6670,True,PASS
working_memory,8,1,329,83,1.0,0.0,0.0,0.0,0.0,1.0,0.2648769819242903,0.2648769819242903,0.0,11.745726669846656,11.745726669846656,0.0,9.803622112748446,9.803622112748446,0.0,6670,True,PASS
working_memory,8,2,330,82,0.55,0.45,0.0,0.0,0.0,1.0,0.44804527662212645,0.44804527662212645,0.0,10.015667711281507,10.015667711281507,0.0,8.189670151633075,8.189670151633075,0.0,6670,True,PASS
working_memory,8,3,330,82,1.0,0.0,0.0,0.0,0.0,1.0,0.3116903827380412,0.3116903827380412,0.0,12.628156387252165,12.628156387252165,0.0,9.692003611023571,9.692003611023571,0.0,6670,True,PASS
working_memory,8,4,330,82,0.5,0.5,0.0,0.0,0.0,1.0,0.24900718966769886,0.24900718966769886,0.0,11.353168396172178,11.353168396172178,0.0,9.146520595801691,9.146520595801691,0.0,6670,True,PASS
working_memory,9,0,329,83,0.85,0.15,0.0,0.0,0.0,1.0,0.43089952992399866,0.43089952992399866,0.0,11.44585526567062,11.44585526567062,0.0,9.271466243197825,9.271466243197825,0.0,6670,True,PASS
working_memory,9,1,329,83,0.85,0.15,0.0,0.0,0.0,0.9999999999999998,0.2314713396711659,0.2314713396711659,0.0,11.460569158982748,11.460569158982748,0.0,8.973421328010492,8.973421328010492,0.0,6670,True,PASS
working_memory,9,2,330,82,0.9,0.1,0.0,0.0,0.0,0.9999999999999999,0.2573763951961373,0.2573763951961373,0.0,10.962912692148153,10.962912692148153,0.0,8.835957734924364,8.835957734924364,0.0,6670,True,PASS
working_memory,9,3,330,82,1.0,0.0,0.0,0.0,0.0,1.0,0.13511999569867877,0.13511999569867877,0.0,11.84742080435146,11.84742080435146,0.0,9.724986685450526,9.724986685450526,0.0,6670,True,PASS
working_memory,9,4,330,82,0.8,0.2,0.0,0.0,0.0,1.0,0.30894906124415855,0.30894906124415855,0.0,10.802387052547768,10.802387052547768,0.0,8.678438802804813,8.678438802804813,0.0,6670,True,PASS
