target,condition,condition_display,seed,fp_pearson,fp_rmse,fp_mae,sc_pearson,sc_rmse,sc_mae,fused_pearson,fused_rmse,fused_mae,equal_weight_pearson,equal_weight_rmse,equal_weight_mae
working_memory,R2,Network penalty only,4,0.23793275536178657,11.697879101337955,9.553062193401896,0.11878365017151786,12.179381386690823,9.925331959849084,0.24756742321510225,11.360075774713902,9.244160300855222,0.22716587552835707,11.305557090860098,9.24044020188891
working_memory,R2,Network penalty only,5,0.24444532668494623,12.086628128425165,9.694067005121004,0.05664177150729708,12.590692734311466,10.182680268836402,0.1956279721585703,11.753077680372034,9.490225816094707,0.20208912495999334,11.565256356824474,9.40733153138029
working_memory,R2,Network penalty only,6,0.24444870536799862,11.641955000314988,9.517295333353765,0.14471254944053175,11.986849428565568,9.685772726422934,0.2341837084896054,11.507721836872996,9.359555331210291,0.25335352875948036,11.207998043758314,9.140111692049484
working_memory,R2,Network penalty only,7,0.2765063193808697,11.522539979461754,9.386697578985217,0.08728795967208323,12.385968857526839,9.996111927014642,0.2585982837718486,11.319514418242516,9.190583952606715,0.24978533748621498,11.264719104044854,9.170157415704168
working_memory,R2,Network penalty only,8,0.2998234669308858,11.421923535627196,9.200385995849496,0.18245715244138277,11.732377737477398,9.534447066774382,0.2976018935384075,11.266897660075198,9.136987474590896,0.3129920518774264,10.86886290816797,8.874901053353295
working_memory,R2,Network penalty only,9,0.29745369745956385,11.38326843862164,9.035316259725736,0.16708868690793033,11.923376616807912,9.638328762013668,0.27547515241437465,11.143244058213929,9.039405522233704,0.305891827973816,11.014585165063115,8.908945496034274
working_memory,R3,Full PALF,0,0.2451484614108555,12.062395914494694,9.800792879271434,0.1545590367290333,11.989127433718954,9.672281473511477,0.25000675087035745,11.553311330377571,9.41356684015292,0.25381591277845894,11.384674346410215,9.28241214097245
working_memory,R3,Full PALF,1,0.26732469855210905,11.470205530571608,9.199995577815807,0.12737921740403083,12.136407817169195,9.869711657689097,0.2499177012865465,11.273126100184754,9.15361800274377,0.2506979418355655,11.20146214028181,9.132369232221887
working_memory,R3,Full PALF,2,0.32136158708342377,11.29445796592331,9.183938968408317,0.1526215476431127,11.966425473301573,9.757997439399128,0.3182067445541613,11.050381122096855,8.968189208421009,0.30766310697218496,11.009935646463424,9.043201317947647
working_memory,R3,Full PALF,3,0.29164510232653995,11.454151398102203,9.356316567385488,0.12821697770748955,12.095668314237844,9.846121181207772,0.28905969554028343,11.132660230484275,8.988817184237721,0.26659116528054166,11.153826246673692,9.068165728319524
working_memory,R3,Full PALF,4,0.25128045571341157,11.316633352826884,9.15877647069034,0.11878365017151786,12.179381386690823,9.925331959849084,0.2654620756538201,11.127503279739534,9.012953025501531,0.24055013470055386,11.203439823085635,9.126425607861112
working_memory,R3,Full PALF,5,0.23829141573864,11.95646442064012,9.540404359367452,0.05664177150729708,12.590692734311466,10.182680268836402,0.176103700829968,11.830505610936175,9.52490139305189,0.1939041029316024,11.550910502825973,9.370265519653417
working_memory,R3,Full PALF,6,0.2750715925435632,11.357022841899832,9.255737167194342,0.14471254944053175,11.986849428565568,9.685772726422934,0.24975130925268818,11.215377954783818,9.099429823370617,0.25670920862820334,11.113701103281642,9.016249428912623
working_memory,R3,Full PALF,7,0.28168680496174164,11.169958854606781,9.097846229568265,0.08728795967208323,12.385968857526839,9.996111927014642,0.2652712193972536,11.105972112814836,9.05495261295163,0.23519710363513918,11.221933465350697,9.156283541551376
working_memory,R3,Full PALF,8,0.3234484376508557,11.11059124786054,8.82825409114454,0.18245715244138277,11.732377737477398,9.534447066774382,0.30446497094894365,11.14334308648995,9.024141609565143,0.31663439974781704,10.822826543578472,8.831669466689641
working_memory,R3,Full PALF,9,0.2865541112459148,11.537664853693549,9.19841761228293,0.16708868690793033,11.923376616807912,9.638328762013668,0.2567533528795475,11.318852104087188,9.205503130509168,0.28886692900014116,11.089804122118114,8.961872044663505
fluid_intelligence,R0,Same-solver no prior,0,0.21249781783968102,4.979416064233492,4.122232648348101,0.3620121335899672,4.62154437281057,3.7770702322919605,0.37557260244286034,4.535225493491794,3.7593923678696997,0.36706548198836175,4.561788515565768,3.803865533469181
fluid_intelligence,R0,Same-solver no prior,1,0.2384731827805974,4.959095029712488,4.192746812219143,0.33607779628559686,4.695048806141758,3.852693233049821,0.34459300984927027,4.635884270636216,3.850701241775274,0.3703316151291375,4.581786699940657,3.8581735904924166
fluid_intelligence,R0,Same-solver no prior,2,0.24016840271008824,4.941610163463833,4.151290649082352,0.3784823211357158,4.5928199499156435,3.7646894666522974,0.4036322586183549,4.501720764592184,3.749406566370039,0.39469972558582944,4.530047262740467,3.8167768503806676
fluid_intelligence,R0,Same-solver no prior,3,0.20323982359210616,4.86763818425411,4.100586710193161,0.32760127202350914,4.708466792905002,3.834383491416591,0.34274501749661423,4.627873516353316,3.7976189210864044,0.3468305206460102,4.602259446296065,3.8432855527073877
fluid_intelligence,R0,Same-solver no prior,4,0.22951880640837447,4.862176991389735,4.050782879302668,0.35088912639939845,4.643919353523344,3.826758546751492,0.36746625104437325,4.569414806236046,3.7935195677345077,0.37986528314999457,4.5355864995794155,3.8158112061624494
fluid_intelligence,R0,Same-solver no prior,5,0.220348637099076,4.941852259319502,4.036434423763597,0.34703719162647617,4.662324024688283,3.8109217376321993,0.37012113748568504,4.568173582511649,3.7902465885781047,0.36766508469389886,4.569552456994954,3.8136574872222937
fluid_intelligence,R0,Same-solver no prior,6,0.20954980727089695,4.908858764494573,4.130780420940701,0.3621919414565111,4.612943940034265,3.7957606329021303,0.37781763057728973,4.529032798304348,3.7651800237992434,0.3729371070584392,4.537479062660545,3.8088419858013802
fluid_intelligence,R0,Same-solver no prior,7,0.19892213143469845,5.158179262553192,4.297067367768579,0.35389476869857084,4.6514411123257275,3.824191022591151,0.36326975166406483,4.566521987375254,3.7849357122598706,0.3385387015054582,4.64167944029326,3.865870468491294
fluid_intelligence,R0,Same-solver no prior,8,0.1860069423727907,5.025302403625017,4.151243457609679,0.35144853024421724,4.686512143145173,3.872732756020117,0.3461928625559406,4.639234164766112,3.850415611470855,0.3486074929534333,4.628403095199635,3.865912319193163
fluid_intelligence,R0,Same-solver no prior,9,0.22715988333254913,4.974922144734719,4.107130080539007,0.40172957265307047,4.55476751260316,3.7428414226453435,0.4177628279611506,4.493810552319114,3.7451683007558287,0.4130414144191142,4.506488903903548,3.767760181547388
fluid_intelligence,R1,Anisotropy only,0,0.21633335229255968,5.01571464766919,4.163996616479066,0.3620121335899672,4.62154437281057,3.7770702322919605,0.3730560673763994,4.54122887300002,3.756039010510449,0.3625840615955096,4.575771767840402,3.8228713544320847
fluid_intelligence,R1,Anisotropy only,1,0.2686202840229071,4.918114007236064,4.189441671159711,0.33607779628559686,4.695048806141758,3.852693233049821,0.3438589668677797,4.6590886460423375,3.8682691203223016,0.3760526497561135,4.584463349621188,3.8647450980434
fluid_intelligence,R1,Anisotropy only,2,0.2359553683589027,4.9659564119177935,4.166610795841229,0.3784823211357158,4.5928199499156435,3.7646894666522974,0.39673846825464076,4.519216404534086,3.736399188879207,0.3887309489018703,4.540484293697565,3.824772686518802
fluid_intelligence,R1,Anisotropy only,3,0.22890411488857937,4.797723568924275,4.043601217298778,0.32760127202350914,4.708466792905002,3.834383491416591,0.34500733836239117,4.626846649306606,3.7802464753245375,0.3578153844431748,4.574618325180918,3.8355052738854085
fluid_intelligence,R1,Anisotropy only,4,0.23934315383646787,4.992353247997829,4.135413032993431,0.35088912639939845,4.643919353523344,3.826758546751492,0.34646569844865704,4.618592966565419,3.8156464265564325,0.3620263642187708,4.577982048409352,3.8429458535449257
