task,control_prior,control_display,seed,fp_r_matched,fp_r_control,fp_delta_r,fused_r_matched,fused_r_control,fused_delta_r,fused_rmse_matched,fused_rmse_control,fused_mae_matched,fused_mae_control
working_memory,cross_task,Cross-task,0,0.2451484614108555,0.21325865000037733,-0.031889811410478155,0.2500067508703574,0.2217716805833756,-0.028235070286981762,11.553311330377573,11.693126598584607,9.41356684015292,9.548587873441694
working_memory,cross_task,Cross-task,1,0.26732469855210894,0.2374660981396927,-0.029858600412416204,0.24991770128654647,0.2266572837901085,-0.02326041749643794,11.273126100184754,11.386343943777879,9.15361800274377,9.318598121896054
working_memory,cross_task,Cross-task,2,0.32136158708342377,0.29370069536215154,-0.027660891721272157,0.3182067445541613,0.29138234694272164,-0.026824397611439583,11.050381122096855,11.19136908505845,8.96818920842101,9.120352279031996
working_memory,cross_task,Cross-task,3,0.29164510232653995,0.26287958563861885,-0.028765516687921055,0.2890596955402834,0.2652712371487044,-0.02378845839157896,11.132660230484273,11.232959484200663,8.988817184237721,9.088121235173238
working_memory,cross_task,Cross-task,4,0.2512804557134115,0.22737540920044275,-0.0239050465129688,0.2654620756538201,0.24274511803196566,-0.02271695762185436,11.127503279739534,11.245454576348132,9.012953025501533,9.16779045829349
working_memory,cross_task,Cross-task,5,0.23829141573864,0.21666280084716819,-0.0216286148914717,0.17610370082996796,0.1577530454479327,-0.01835065538203516,11.830505610936175,11.951702429783504,9.52490139305189,9.680979493411439
working_memory,cross_task,Cross-task,6,0.27507159254356317,0.24001698405575275,-0.035054608487810335,0.24975130925268813,0.22160301571986807,-0.02814829353282002,11.215377954783818,11.367781908368741,9.099429823370617,9.284815264434693
working_memory,cross_task,Cross-task,7,0.2816868049617416,0.2698318890705668,-0.011854915891174758,0.26527121939725357,0.25775074004809145,-0.0075204793491620795,11.105972112814836,11.130258105857143,9.054952612951631,9.101194527119105
working_memory,cross_task,Cross-task,8,0.3234484376508557,0.2996633838621355,-0.0237850537887202,0.3044649709489436,0.28815053676428104,-0.01631443418466254,11.143343086489947,11.201412195868619,9.024141609565143,9.17551254169157
working_memory,cross_task,Cross-task,9,0.2865541112459148,0.2820281920704565,-0.0045259191754582805,0.2567533528795474,0.25105056191811415,-0.0057027909614333,11.318852104087188,11.330732124659487,9.205503130509168,9.210529033622974
working_memory,random,Random,0,0.2451484614108555,0.2417324312900456,-0.003416030120809881,0.2500067508703574,0.24481991662911815,-0.005186834241239241,11.553311330377573,11.478194359878422,9.41356684015292,9.352848177880345
working_memory,random,Random,1,0.26732469855210894,0.25349362374045536,-0.013831074811653559,0.24991770128654647,0.2442199309577741,-0.0056977703287723605,11.273126100184754,11.257028512922158,9.15361800274377,9.228981784234568
working_memory,random,Random,2,0.32136158708342377,0.2968346925515035,-0.024526894531920203,0.3182067445541613,0.29941426397670884,-0.018792480577452458,11.050381122096855,11.127376794890443,8.96818920842101,9.050031111800584
working_memory,random,Random,3,0.29164510232653995,0.2819734749675965,-0.00967162735894338,0.2890596955402834,0.2818875367314799,-0.00717215880880346,11.132660230484273,11.141898055716581,8.988817184237721,9.071052293114352
working_memory,random,Random,4,0.2512804557134115,0.23088297094776172,-0.02039748476564976,0.2654620756538201,0.24840448133933296,-0.017057594314487078,11.127503279739534,11.21821413221112,9.012953025501533,9.180411578878937
working_memory,random,Random,5,0.23829141573864,0.2160824097573832,-0.022209005981256802,0.17610370082996796,0.15474867000908915,-0.021355030820878744,11.830505610936175,11.979480662194273,9.52490139305189,9.701843805442293
working_memory,random,Random,6,0.27507159254356317,0.2496443581099678,-0.025427234433595302,0.24975130925268813,0.2256676514604608,-0.024083657792227323,11.215377954783818,11.370313551643688,9.099429823370617,9.280432895229833
working_memory,random,Random,7,0.2816868049617416,0.27859018091608573,-0.0030966240456558407,0.26527121939725357,0.262874874194467,-0.0023963452027865604,11.105972112814836,11.12270140557872,9.054952612951631,9.115808180137456
working_memory,random,Random,8,0.3234484376508557,0.2926620179944751,-0.03078641965638056,0.3044649709489436,0.28234205269582524,-0.022122918253118316,11.143343086489947,11.212899989738299,9.024141609565143,9.177945506192426
working_memory,random,Random,9,0.2865541112459148,0.29591862542111114,0.009364514175196318,0.2567533528795474,0.2628830397209397,0.00612968684139222,11.318852104087188,11.280234669877423,9.205503130509168,9.242053442509963
working_memory,shuffled,Shuffled,0,0.2451484614108555,0.22012149667617636,-0.025026964734679098,0.2500067508703574,0.23217532584919892,-0.0178314250211584,11.553311330377573,11.607163158320638,9.41356684015292,9.404220730243921
working_memory,shuffled,Shuffled,1,0.26732469855210894,0.2734245843358045,0.00609988578369552,0.24991770128654647,0.2577426541031723,0.00782495281662578,11.273126100184754,11.182929727273052,9.15361800274377,9.158048234611636
working_memory,shuffled,Shuffled,2,0.32136158708342377,0.30768760475656404,-0.013673982326859721,0.3182067445541613,0.30412713062494146,-0.01407961392921982,11.050381122096855,11.061631838230497,8.96818920842101,8.982753884820088
working_memory,shuffled,Shuffled,3,0.29164510232653995,0.2725138673393335,-0.01913123498720632,0.2890596955402834,0.27623210533423465,-0.012827590206048678,11.132660230484273,11.151044197599887,8.988817184237721,9.070147946008436
working_memory,shuffled,Shuffled,4,0.2512804557134115,0.22049247583910794,-0.030787979874303595,0.2654620756538201,0.24333162447713358,-0.02213045117668644,11.127503279739534,11.188670909677235,9.012953025501533,9.1558815275769
working_memory,shuffled,Shuffled,5,0.23829141573864,0.22005605099746545,-0.01823536474117448,0.17610370082996796,0.15696970890010822,-0.019133991929859658,11.830505610936175,11.881060892169721,9.52490139305189,9.608977976768978
working_memory,shuffled,Shuffled,6,0.27507159254356317,0.2403487230831432,-0.03472286946041992,0.24975130925268813,0.2189147251635155,-0.03083658408917256,11.215377954783818,11.360279030787883,9.099429823370617,9.234187342913572
working_memory,shuffled,Shuffled,7,0.2816868049617416,0.2477601787917599,-0.033926626169981655,0.26527121939725357,0.23854419032535956,-0.026727029071893983,11.105972112814836,11.188476321478884,9.054952612951631,9.189588210437206
working_memory,shuffled,Shuffled,8,0.3234484376508557,0.27931077250045616,-0.044137665150399456,0.3044649709489436,0.2700700017829617,-0.03439496916598184,11.143343086489947,11.279692122523256,9.024141609565143,9.233027616119287
working_memory,shuffled,Shuffled,9,0.2865541112459148,0.2660929321288516,-0.02046117911706306,0.2567533528795474,0.2449161672977175,-0.01183718558182988,11.318852104087188,11.37517079247217,9.205503130509168,9.294491291419408
