kernel,mult,lam,w,pearson,rmse,mae,delta_r,selected
P1_rbf,2.0,3.0,0.4,0.1337467743137161,11.472959501381121,9.386394307660035,-0.0035734015208331305,False
P1_rbf,2.0,3.0,0.5,0.13146941792104697,11.415272312135606,9.343903003527675,-0.005850757913502258,False
P1_rbf,2.0,3.0,0.6,0.12767256307800545,11.379005550404578,9.308876723263488,-0.009647612756543772,False
P1_rbf,2.0,3.0,0.7,0.12086690286022793,11.364364293180527,9.287896532074424,-0.016453272974321295,False
P1_rbf,2.0,3.0,0.8,0.10765462859632167,11.371432072353285,9.28567696932475,-0.02966554723822755,False
P1_rbf,2.0,3.0,0.9,0.08061248771230145,11.400168511045056,9.312301409508585,-0.056707688122247774,False
P1_rbf,2.0,3.0,1.0,0.030089365865213547,11.450410468640483,9.352621537908515,-0.10723080996933568,False
P1_rbf,2.0,10.0,0.0,0.13732017583454922,11.909956419790854,9.699775719919904,0.0,False
P1_rbf,2.0,10.0,0.1,0.13600860989313873,11.768182683826755,9.604773818681416,-0.0013115659414104919,False
P1_rbf,2.0,10.0,0.2,0.1343318129224248,11.647560625458913,9.516977657804208,-0.002988362912124426,False
P1_rbf,2.0,10.0,0.3,0.13212014694412003,11.548753025880341,9.44515958467341,-0.005200028890429198,False
P1_rbf,2.0,10.0,0.4,0.1290855082401593,11.472323542641147,9.391705444519824,-0.008234667594389927,False
P1_rbf,2.0,10.0,0.5,0.12470308777304802,11.418721538180831,9.348350401793658,-0.012617088061501205,False
P1_rbf,2.0,10.0,0.6,0.1179296063257144,11.388269348378174,9.31743273783142,-0.019390569508834818,False
P1_rbf,2.0,10.0,0.7,0.10645657924493948,11.381152798426148,9.299202243510274,-0.030863596589609743,False
P1_rbf,2.0,10.0,0.8,0.08455260944718565,11.397415600751573,9.307052381120986,-0.052767566387363574,False
P1_rbf,2.0,10.0,0.9,0.037698478212962815,11.436958022857558,9.34250978200177,-0.0996216976215864,False
P1_rbf,2.0,10.0,1.0,-0.05000859349799636,11.499539918717396,9.390976150978213,-0.18732876933254558,False
P1_rbf,0.5,0.3,0.0,0.2794373046742561,4.767776962944518,4.077919438848646,0.0,False
P1_rbf,0.5,0.3,0.1,0.2785936456739203,4.76708072453631,4.082056152253897,-0.0008436590003357836,False
P1_rbf,0.5,0.3,0.2,0.27705256820320145,4.768456907587037,4.089354627526782,-0.002384736471054638,False
P1_rbf,0.5,0.3,0.3,0.2746116277449795,4.771903719082262,4.097664596988836,-0.004825676929276601,False
P1_rbf,0.5,0.3,0.4,0.27102592997614494,4.777416677271874,4.106219151222448,-0.008411374698111151,False
P1_rbf,0.5,0.3,0.5,0.2660090562283014,4.784988640714569,4.115189291052266,-0.013428248445954694,False
P1_rbf,0.5,0.3,0.6,0.25924205800917505,4.794609854270436,4.124391483154968,-0.020195246665081046,False
P1_rbf,0.5,0.3,0.7,0.25039501551465687,4.806268011355027,4.13513882476163,-0.02904228915959922,False
P1_rbf,0.5,0.3,0.8,0.23916504393848292,4.819948331537358,4.146201190465184,-0.04027226073577317,False
P1_rbf,0.5,0.3,0.9,0.2253311054649459,4.8356336523575285,4.157263556168735,-0.0541061992093102,False
P1_rbf,0.5,0.3,1.0,0.20881859361541863,4.85330453406163,4.168325921872287,-0.07061871105883746,False
P1_rbf,0.5,1.0,0.0,0.2794373046742561,4.767776962944518,4.077919438848646,0.0,False
P1_rbf,0.5,1.0,0.1,0.278287173495197,4.7671516870308395,4.082572562708516,-0.0011501311790590996,False
P1_rbf,0.5,1.0,0.2,0.2764868228603603,4.769174507002223,4.091061471203333,-0.002950481813895789,False
P1_rbf,0.5,1.0,0.3,0.27378598043598984,4.773842056627054,4.100548630276627,-0.005651324238266253,False
P1_rbf,0.5,1.0,0.4,0.2698397833719791,4.781146590233868,4.110436772172199,-0.009597521302276979,False
P1_rbf,0.5,1.0,0.5,0.2641788342469921,4.7910760467029805,4.120532094146434,-0.01525847042726397,False
P1_rbf,0.5,1.0,0.6,0.25617980145114,4.803614148282477,4.131869861978972,-0.023257503223116094,False
P1_rbf,0.5,1.0,0.7,0.24505166004626022,4.818740532355991,4.1437915635367535,-0.03438564462799587,False
P1_rbf,0.5,1.0,0.8,0.22986937792724077,4.83643091370732,4.1560777178126465,-0.04956792674701532,False
P1_rbf,0.5,1.0,0.9,0.20970576503857188,4.856657274325577,4.168474424128278,-0.06973153963568421,False
P1_rbf,0.5,1.0,1.0,0.18390933020244118,4.879388077388152,4.18090172227765,-0.09552797447181491,False
P1_rbf,0.5,3.0,0.0,0.2794373046742561,4.767776962944518,4.077919438848646,0.0,False
P1_rbf,0.5,3.0,0.1,0.2775212935307031,4.767987060586142,4.083833501847983,-0.001916011143552998,False
P1_rbf,0.5,3.0,0.2,0.2748907914979831,4.7717040085780695,4.094583929514433,-0.0045465131762729705,False
P1_rbf,0.5,3.0,0.3,0.2712282095923153,4.778919624253361,4.105880132914401,-0.008209095081940787,False
P1_rbf,0.5,3.0,0.4,0.2660461586051134,4.789618095286771,4.117959355321399,-0.013391146069142712,False
P1_rbf,0.5,3.0,0.5,0.258586010408445,4.803776151774122,4.130901466087241,-0.020851294265811116,False
P1_rbf,0.5,3.0,0.6,0.24766105673723948,4.821363316328674,4.145473061460261,-0.03177624793701661,False
P1_rbf,0.5,3.0,0.7,0.23144328932920258,4.842342226005571,4.160125811280925,-0.047994015345053515,False
P1_rbf,0.5,3.0,0.8,0.2072804620062318,4.866669018281813,4.175232904269447,-0.0721568426680243,False
P1_rbf,0.5,3.0,0.9,0.17190509712634602,4.89429377206582,4.191321374457188,-0.10753220754791007,False
P1_rbf,0.5,3.0,1.0,0.12285876118669031,4.925160993824589,4.20996582365009,-0.15657854348756578,False
P1_rbf,0.5,10.0,0.0,0.2794373046742561,4.767776962944518,4.077919438848646,0.0,False
P1_rbf,0.5,10.0,0.1,0.2766933616159523,4.769032449895382,4.085325909132099,-0.002743943058303777,False
P1_rbf,0.5,10.0,0.2,0.27310125038692024,4.774618259496558,4.098321640790648,-0.006336054287335857,False
P1_rbf,0.5,10.0,0.3,0.26826563117490093,4.784519225133576,4.111846744084919,-0.011171673499355161,False
P1_rbf,0.5,10.0,0.4,0.26153827604331364,4.798708637062656,4.126408257889385,-0.01789902863094245,False
P1_rbf,0.5,10.0,0.5,0.2518109552016632,4.817148599239883,4.143065909539345,-0.027626349472592904,False
P1_rbf,0.5,10.0,0.6,0.23711054683703842,4.839790527170558,4.160436364234702,-0.04232675783721768,False
P1_rbf,0.5,10.0,0.7,0.21382734513623575,4.86657577179407,4.17794211171798,-0.06560995953802035,False
P1_rbf,0.5,10.0,0.8,0.1755027537731666,4.897436351227887,4.197375270574827,-0.1039345509010895,False
P1_rbf,0.5,10.0,0.9,0.11254666592855582,4.932295769926582,4.219535960187516,-0.16689063874570026,False
P1_rbf,0.5,10.0,1.0,0.019724805065808766,4.971069903525304,4.24874325939986,-0.25971249960844733,False
P1_rbf,1.0,0.3,0.0,0.2794373046742561,4.767776962944518,4.077919438848646,0.0,False
P1_rbf,1.0,0.3,0.1,0.2816738451557894,4.763315593815508,4.078523852308341,0.0022365404815333223,False
P1_rbf,1.0,0.3,0.2,0.28339303530470805,4.7600407434456695,4.080620530468091,0.003955730630451959,False
P1_rbf,1.0,0.3,0.3,0.2845231680223096,4.757954861840843,4.0833861944033165,0.005085863348053499,False
P1_rbf,1.0,0.3,0.4,0.2849975259224234,4.757059513022968,4.086204874424868,0.005560221248167296,False
P1_rbf,1.0,0.3,0.5,0.2847580359375333,4.757355369177817,4.089502686642881,0.005320731263277201,False
P1_rbf,1.0,0.3,0.6,0.2837589514646373,4.758842208134556,4.092913233874527,0.004321646790381217,False
P1_rbf,1.0,0.3,0.7,0.2819701968493346,4.76151891419915,4.096420445901476,0.002532892175078516,False
P1_rbf,1.0,0.3,0.8,0.27937998508899065,4.765383482334324,4.099927657928424,-5.731958526544734e-05,False
P1_rbf,1.0,0.3,0.9,0.2759963611632956,4.770433025649628,4.103815345417848,-0.0034409435109604702,False
P1_rbf,1.0,0.3,1.0,0.2718474333288004,4.776663786136492,4.107787843327488,-0.00758987134545569,False
P1_rbf,1.0,1.0,0.0,0.2794373046742561,4.767776962944518,4.077919438848646,0.0,False
P1_rbf,1.0,1.0,0.1,0.28071031133109875,4.76382457057411,4.079755793308636,0.0012730066568426568,False
P1_rbf,1.0,1.0,0.2,0.2815682529923303,4.761852337840778,4.084560597278623,0.0021309483180741995,False
P1_rbf,1.0,1.0,0.3,0.2818452474437629,4.761862725128338,4.090724834558133,0.002407942769506788,False
P1_rbf,1.0,1.0,0.4,0.2813303507680859,4.7638557194678555,4.096957232194316,0.0018930460938297866,False
P1_rbf,1.0,1.0,0.5,0.2797623432788799,4.7678288346184825,4.103704223866265,0.0003250386046237952,False
P1_rbf,1.0,1.0,0.6,0.27682938372094335,4.773777126543006,4.110474794632718,-0.002607920953312748,False
P1_rbf,1.0,1.0,0.7,0.272178014473392,4.781693224053995,4.118146125530182,-0.007259290200864077,False
P1_rbf,1.0,1.0,0.8,0.2654369835347097,4.791567374189316,4.1266241517566415,-0.014000321139546412,False
P1_rbf,1.0,1.0,0.9,0.2562604325481666,4.803387501670048,4.1352804890243675,-0.023176872126089487,False
P1_rbf,1.0,1.0,1.0,0.244390331835141,4.817139281604537,4.144076994841321,-0.03504697283911509,False
P1_rbf,1.0,3.0,0.0,0.2794373046742561,4.767776962944518,4.077919438848646,0.0,False
P1_rbf,1.0,3.0,0.1,0.2789153054170515,4.766021049954714,4.082286521766578,-0.0005219992572045862,False
P1_rbf,1.0,3.0,0.2,0.2778231933789947,4.7674694146951655,4.091139630630472,-0.0016141112952614,False
P1_rbf,1.0,3.0,0.3,0.2758790946626248,4.772119139618344,4.1007233749471075,-0.003558210011631313,False
P1_rbf,1.0,3.0,0.4,0.27266088976304825,4.779960882327913,4.110988688540874,-0.00677641491120784,False
