task,seed,outer_fold,model,pearson,rmse,mae,selected_lambda,selected_r_A,selected_r_S,n_semantic_edges,n_generic_edges,fused_pearson,fused_rmse,fused_mae
working_memory,606,2,palf_mpr,0.12251271106986734,12.508398807567543,10.209930574528657,10.0,1.0,4.0,1105,5565,,,
working_memory,606,2,late_fusion_reference,0.1672864508952449,11.684691763498854,9.717300833908524,,,,1105,5565,0.11715685972366034,11.419217083155228,9.51855970449824
working_memory,606,3,joint_baseline,0.3502195943159425,11.19588676667253,9.135660733027512,100.0,1.0,10.0,1105,5565,,,
working_memory,606,3,palf_mpr,0.3502195943159425,11.19588676667253,9.135660733027512,100.0,1.0,10.0,1105,5565,,,
working_memory,606,3,late_fusion_reference,0.3671903766687154,10.60320988500341,8.658020005525666,,,,1105,5565,0.38991005790296873,10.217883506399632,8.411605294840763
working_memory,606,4,joint_baseline,0.3189645859483573,11.840934678470573,9.310715472568116,100.0,1.0,10.0,1105,5565,,,
working_memory,606,4,palf_mpr,0.25024240036308726,12.54439988278875,9.94624868622316,100.0,0.25,4.0,1105,5565,,,
working_memory,606,4,late_fusion_reference,0.3585512814256089,11.0549890590916,8.953007223289639,,,,1105,5565,0.3854478433659916,11.04406845540323,8.91280978044184
working_memory,707,0,joint_baseline,0.2652048567057002,12.09660833219047,10.171248346125052,100.0,1.0,4.0,1105,5565,,,
working_memory,707,0,palf_mpr,0.2652048567057002,12.09660833219047,10.171248346125052,100.0,1.0,4.0,1105,5565,,,
working_memory,707,0,late_fusion_reference,0.2520760769411648,12.011029662325283,10.050717462155538,,,,1105,5565,0.29176284784419176,11.61176555469646,9.818995550931106
working_memory,707,1,joint_baseline,0.3663407883071195,11.111496443802897,9.164725409807264,100.0,1.0,10.0,1105,5565,,,
working_memory,707,1,palf_mpr,0.33489700153244695,11.486381669079849,9.40200136737699,100.0,0.25,10.0,1105,5565,,,
working_memory,707,1,late_fusion_reference,0.3680865379174925,10.78234479750508,8.99901619491312,,,,1105,5565,0.36070136206348036,10.567653495889411,8.50518846090232
working_memory,707,2,joint_baseline,0.12132506591607278,12.712540140857632,9.81785097792147,100.0,1.0,10.0,1105,5565,,,
working_memory,707,2,palf_mpr,0.09771445560482983,12.945514026304219,9.96715216685994,100.0,0.25,4.0,1105,5565,,,
working_memory,707,2,late_fusion_reference,0.08675274625556022,12.424819439565828,9.784914414009904,,,,1105,5565,0.12557447748416461,11.43115419566479,9.07949984081678
