seed,fold,task,prior_type,mask_family,mask_size,lambda_r,laplacian_ratio,expert_w_fc,expert_w_sc,alpha,ncr_final_r,ridge_final_r,baseline_r
1515,0,FI,random,roi_incident,5,0.1,1.0,0.35,0.65,0.2,0.34665670641523805,0.34732535177870083,0.3417983307217711
1515,1,WM,matched,roi_incident,15,1000.0,0.0,0.95,0.050000000000000044,0.5,0.34092775443364887,0.36682354351445984,0.2622783727655097
1515,1,WM,cross_task,roi_incident,15,1000.0,0.0,0.85,0.15000000000000002,0.45,0.3199031868193388,0.33367665197097046,0.2622783727655097
1515,1,WM,shuffled,direct_topk,600,100.0,0.0,1.0,0.0,0.1,0.2529185562889312,0.2578773736598412,0.2622783727655097
1515,1,WM,random,direct_topk,300,1000.0,0.0,0.85,0.15000000000000002,0.35,0.2803747232685363,0.27746141766569576,0.2622783727655097
1515,1,FI,matched,roi_incident,10,0.1,0.1,0.4,0.6,0.1,0.19112267008798053,0.1954779606102261,0.18756993998112328
1515,1,FI,cross_task,direct_topk,300,1000.0,0.0,0.0,1.0,0.0,0.18756993998112328,0.18756993998112328,0.18756993998112328
1515,1,FI,shuffled,roi_incident,15,100.0,0.0,0.5,0.5,0.2,0.1869232434686879,0.1859766594134556,0.18756993998112328
1515,1,FI,random,direct_topk,300,100.0,0.0,0.1,0.9,0.0,0.18756993998112328,0.18756993998112328,0.18756993998112328
1515,2,WM,matched,roi_incident,15,1000.0,0.0,0.6,0.4,0.15,0.2216211063284246,0.22010442440947853,0.20544369526416764
1515,2,WM,cross_task,roi_incident,10,1.0,1.0,0.45,0.55,0.2,0.20987411356765928,0.21216933467583338,0.20544369526416764
1515,2,WM,shuffled,direct_topk,1200,0.1,1.0,0.6,0.4,0.35,0.19351401892791062,0.20293722777148043,0.20544369526416764
1515,2,WM,random,roi_incident,15,100.0,0.0,0.4,0.6,0.0,0.20544369526416764,0.20544369526416764,0.20544369526416764
1515,2,FI,matched,roi_incident,5,0.1,1.0,0.35,0.65,0.45,0.42507396267266667,0.4223811010246654,0.4744774715182187
1515,2,FI,cross_task,roi_incident,5,1000.0,0.0,0.1,0.9,0.05,0.4753008095691329,0.4754675382614644,0.4744774715182187
1515,2,FI,shuffled,roi_incident,10,100.0,0.0,0.15,0.85,0.0,0.4744774715182187,0.4744774715182187,0.4744774715182187
