seed,fold,task,prior_type,expert_type,baseline_pearson,baseline_rmse,baseline_mae,fc_expert_pearson,sc_expert_pearson,expert_fused_pearson,final_pearson,final_rmse,final_mae,delta_final_vs_baseline,selected_mask_family_fc,selected_mask_size_fc,selected_lambda_fc_expert,selected_laplacian_ratio_fc,selected_mask_family_sc,selected_mask_size_sc,selected_lambda_sc_expert,selected_laplacian_ratio_sc,expert_w_FC,expert_w_SC,alpha_base_vs_expert,base_expert_prediction_corr,base_expert_error_corr,ridge_final_pearson,ridge_delta_vs_baseline,ridge_lambda_r,ridge_laplacian_ratio,max_recon_error
1313,1,WM,random,ncr,0.2138630430943273,113.1649976552853,112.47013656406315,0.2978715746025876,0.06543935393531612,0.30164402733818824,0.2877792277848198,31.66322748898359,29.626915585361733,0.07391618469049249,direct_topk,1200,100.0,0.0,direct_topk,1200,100.0,0.0,0.6,0.4,0.75,0.7497696939200482,0.8926235324145897,0.22724612021036783,0.013383077116040532,100.0,0.0,30.888753382568012
1313,1,FI,matched,ncr,0.3759394237948884,16.938851525801702,16.198843540386807,0.07963958616896022,0.09176849729421721,0.11564475924946213,0.3759394237948884,16.938851525801702,16.198843540386807,0.0,roi_incident,5,1000.0,0.0,roi_incident,5,1000.0,0.0,0.45,0.55,0.0,0.49733447662396973,0.9239056295111702,0.3759394237948884,0.0,1000.0,0.0,21.06748011621806
1313,1,FI,cross_task,ncr,0.3759394237948884,16.938851525801702,16.198843540386807,0.08509391774199565,0.08444186932635414,0.11356809289446446,0.3759394237948884,16.938851525801702,16.198843540386807,0.0,roi_incident,5,1000.0,0.0,roi_incident,5,1000.0,0.0,0.55,0.44999999999999996,0.0,0.37533281839635235,0.8957859263277895,0.3759394237948884,0.0,1000.0,0.0,20.62241665483042
1313,1,FI,shuffled,ncr,0.3759394237948884,16.938851525801702,16.198843540386807,0.16000675514179047,0.2779242459747022,0.31088835893698696,0.39762120699065695,12.245513813114757,11.217535442846295,0.021681783195768523,direct_topk,100,100.0,0.0,direct_topk,100,100.0,0.0,0.3,0.7,0.3,0.6020229527422465,0.9205353591257717,0.40219503511213217,0.026255611317243743,100.0,0.0,16.873090584603656
1313,1,FI,random,ncr,0.3759394237948884,16.938851525801702,16.198843540386807,0.059929074971706714,0.24348282212497727,0.24670918166337757,0.3759394237948884,16.938851525801702,16.198843540386807,0.0,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.1,0.9,0.0,0.6635100179654436,0.9406746426352659,0.3759394237948884,0.0,1000.0,0.0,20.72421172312378
1313,2,WM,matched,ncr,0.2529093345076897,111.82087468688577,111.2650140165868,0.047109921167718095,0.07432948098867746,0.08784872895055061,0.2565032780655044,106.26907984180637,105.68612030092181,0.0035939435578146717,direct_topk,100,1000.0,0.0,direct_topk,100,1000.0,0.0,0.3,0.7,0.05,0.40334937779925495,0.9027900664504772,0.2598533983381215,0.006944063830431779,1000.0,0.0,118.2785546518389
1313,2,WM,cross_task,ncr,0.2529093345076897,111.82087468688577,111.2650140165868,0.16390028521109296,0.10672255377380903,0.1829625521055801,0.2704415511190295,67.52095556466656,66.617347847816,0.0175322166113398,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.65,0.35,0.4,0.691363761990189,0.9465679387571103,0.262633182109233,0.009723847601543267,1000.0,0.0,74.52372650434708
1313,2,WM,shuffled,ncr,0.2529093345076897,111.82087468688577,111.2650140165868,0.09716854196888143,0.0800626629651229,0.12357672645319787,0.2666667070322121,100.68018860030688,100.07087772360877,0.013757372524522415,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.4,0.6,0.1,0.5071391437566215,0.9041787743534964,0.27331795582838686,0.02040862132069715,1000.0,0.0,109.23497319268695
1313,2,WM,random,ncr,0.2529093345076897,111.82087468688577,111.2650140165868,0.13934528191255155,0.16455225856329492,0.2028449949778437,0.21844729176839928,45.76346626876462,44.376875465399806,-0.03446204273929043,roi_incident,10,1000.0,0.0,roi_incident,10,1000.0,0.0,0.2,0.8,0.6,0.6615927759027261,0.9464890435851461,0.19964638490741266,-0.053262949600277054,1000.0,0.0,49.248968886103505
1313,2,FI,matched,ncr,0.23435571679380846,17.295446424262703,16.619443127442533,0.2395274616317006,0.28610898541804963,0.33299199000651,0.24388684464418192,13.259319032842521,12.385253872099224,0.009531127850373466,roi_incident,15,1000.0,0.0,roi_incident,15,1000.0,0.0,0.25,0.75,0.25,0.7285710159549599,0.9469285601705044,0.2467092962053133,0.012353579411504834,1000.0,0.0,16.6611428141912
