seed,fold,model,r_WM,rmse_WM,mae_WM,r_FI,rmse_FI,mae_FI,alpha_WM,alpha_FI
4444,0,A0,0.23879191559932275,10.93804144237897,8.82640675423305,0.4276693214857611,4.033711715735614,3.19167198066049,0.0,0.0
4444,0,B0,0.23879191559932275,10.93804144237897,8.82640675423305,0.40786864096237097,4.11326088675159,3.181928686395103,0.0,0.25
4444,0,B1,0.23879708726967616,10.953767927271176,8.847295926133947,0.3637613977800542,4.328321461721293,3.258651051999198,1.0,0.25
4444,0,C0,0.23879191559932275,10.93804144237897,8.82640675423305,0.35131282905666883,4.29529260759541,3.3404598139073034,0.0,0.25
4444,0,C1,0.23879191559932275,10.93804144237897,8.82640675423305,0.40924078604398545,4.102777348463954,3.2205361561476744,0.0,0.25
4444,0,C2,0.23879191559932275,10.93804144237897,8.82640675423305,0.4276693214857611,4.033711715735614,3.19167198066049,0.0,0.0
4444,0,C3,0.23879191559932275,10.93804144237897,8.82640675423305,0.44204403861987895,4.013976187005474,3.1470835059979496,0.0,0.25
4444,0,C4,0.23879191559932275,10.93804144237897,8.82640675423305,0.4274930706224128,4.029233494872423,3.206633910086718,0.0,1.0
4444,1,A0,0.38389166098465627,11.426201534889183,9.601295099297525,0.3014292650918337,4.628390377551379,3.7013002994616615,0.0,0.0
4444,1,B0,0.3582977142528929,11.655745021437497,9.880817083982473,0.2949577330143542,4.713574636432871,3.7528956884410607,0.25,0.25
4444,1,B1,0.3826497551638198,11.441549508983355,9.60077863399867,0.2834945979206901,4.756040955228471,3.759826322520462,1.0,0.25
4444,1,C0,0.38389166098465627,11.426201534889183,9.601295099297525,0.30344354905147414,4.664473960468315,3.688176881530242,0.0,0.25
4444,1,C1,0.36557003218134704,11.664011497150192,9.768134113181311,0.3014292650918337,4.628390377551379,3.7013002994616615,0.25,0.0
4444,1,C2,0.31400489897480766,11.957915516950292,10.103077774318546,0.3014292650918337,4.628390377551379,3.7013002994616615,0.25,0.0
4444,1,C3,0.38911751585677723,11.525763774211777,9.766344198815304,0.3014292650918337,4.628390377551379,3.7013002994616615,0.25,0.0
4444,1,C4,0.38441295349646015,11.609909257248765,9.94362906019997,0.2885052579375984,4.727521878996208,3.813373869601434,0.25,0.25
4444,2,A0,0.32421845402445204,10.75438172618423,8.246192646328755,0.4549302876571932,4.884394621089942,4.193605686144089,0.0,0.0
4444,2,B0,0.32421845402445204,10.75438172618423,8.246192646328755,0.4591255533899613,4.876855761306524,4.198489855670322,0.0,0.25
4444,2,B1,0.28316670969804253,11.424491797055913,8.835299258528105,0.4473475086038182,4.919264257818286,4.213280600997534,0.25,0.25
4444,2,C0,0.32421845402445204,10.75438172618423,8.246192646328755,0.3826828178859252,5.12111685440806,4.350906387158652,0.0,0.25
4444,2,C1,0.3298292569651077,10.787694840828822,8.325500068878688,0.4721253711780224,4.848260781746386,4.1355867483377455,0.5,0.5
4444,2,C2,0.33346366875399475,10.780991855413577,8.340536092107632,0.4651247359559142,4.871989513539906,4.141526621515822,0.5,0.75
4444,2,C3,0.34763323028780635,10.73134377485283,8.355184104375226,0.47521138277037894,4.840519626581634,4.136027695555811,0.75,0.5
4444,2,C4,0.3426128373439283,10.783894428914298,8.395295769459295,0.4661870492167684,4.867277483460073,4.173022693608826,1.0,1.0
4444,3,A0,0.19385748255760366,11.05293502636231,8.807588235284706,0.2574658762324125,4.773086355396894,4.183633458375971,0.0,0.0
4444,3,B0,0.19385748255760366,11.05293502636231,8.807588235284706,0.2574658762324125,4.773086355396894,4.183633458375971,0.0,0.0
4444,3,B1,0.19909752991577367,11.550077441035253,9.163204999736408,0.14512520293097717,4.989398686037489,4.3337258067790145,0.25,0.25
4444,3,C0,0.19385748255760366,11.05293502636231,8.807588235284706,0.2574658762324125,4.773086355396894,4.183633458375971,0.0,0.0
4444,3,C1,0.19317854701764853,11.13010505797213,8.832006513585343,0.2574658762324125,4.773086355396894,4.183633458375971,1.0,0.0
4444,3,C2,0.19405787975836183,11.213031811903285,8.770218167068585,0.2574658762324125,4.773086355396894,4.183633458375971,0.25,0.0
4444,3,C3,0.19346028040089192,11.12881791323277,8.831065926759976,0.2574658762324125,4.773086355396894,4.183633458375971,1.0,0.0
4444,3,C4,0.19385748255760366,11.05293502636231,8.807588235284706,0.2598595386957567,4.786770704339904,4.1870674806051875,0.0,0.25
4444,4,A0,0.38333977339855463,10.835560304635003,8.988566733775247,0.4767191691134089,4.292128542614373,3.611382668942004,0.0,0.0
4444,4,B0,0.38333977339855463,10.835560304635003,8.988566733775247,0.40701398137705586,4.502004046954986,3.7215406225203354,0.0,0.25
4444,4,B1,0.38333977339855463,10.835560304635003,8.988566733775247,0.4685620111838347,4.348511893251261,3.644228579012865,0.0,0.25
4444,4,C0,0.38333977339855463,10.835560304635003,8.988566733775247,0.4989980209409472,4.232432171376708,3.5648953873855094,0.0,0.25
4444,4,C1,0.38333977339855463,10.835560304635003,8.988566733775247,0.4979587267617073,4.235066279655107,3.5691254352454505,0.0,0.5
4444,4,C2,0.38333977339855463,10.835560304635003,8.988566733775247,0.48589963019229504,4.265735243156567,3.5867677126701194,0.0,0.25
4444,4,C3,0.38333977339855463,10.835560304635003,8.988566733775247,0.487767261426223,4.261305242814698,3.5994428629522393,0.0,0.25
4444,4,C4,0.33904758222590026,11.191804831145708,9.251874260821493,0.5047822679670059,4.217068229087962,3.576884165401814,0.25,0.25
4545,0,A0,0.30415506909948425,11.602815876828453,9.767850849803986,0.4400029425269477,4.464870960313742,3.803129017275833,0.0,0.0
4545,0,B0,0.16728560651561172,13.750661740512736,11.17452826855344,0.4400029425269477,4.464870960313742,3.803129017275833,0.75,0.0
4545,0,B1,0.17931859842167788,13.062232660470803,10.845073814823527,0.4418617059710254,4.454944840863479,3.79466519982581,1.0,1.0
4545,0,C0,0.27202752029616944,13.135017138554788,10.344955869627706,0.4400029425269477,4.464870960313742,3.803129017275833,0.5,0.0
4545,0,C1,0.11387146898268048,14.839167149994879,12.044508291828992,0.4400029425269477,4.464870960313742,3.803129017275833,1.0,0.0
4545,0,C2,0.2831065547528616,12.056381538052715,10.073304417103783,0.4400029425269477,4.464870960313742,3.803129017275833,1.0,0.0
4545,0,C3,0.15234444160220184,12.915601888493487,10.811993580627936,0.45126482784302724,4.4504117357863135,3.767321322468629,1.0,0.25
4545,0,C4,0.2454208878054632,12.315534606734111,10.379236941629626,0.44254297256206815,4.486017912154962,3.8215910681068697,1.0,0.25
4545,1,A0,0.2634878565588616,12.541951835543,10.078436568851696,0.2388483727601559,4.8654220372872015,4.018288604149387,0.0,0.0
4545,1,B0,0.2634878565588616,12.541951835543,10.078436568851696,0.2388483727601559,4.8654220372872015,4.018288604149387,0.0,0.0
4545,1,B1,0.2735336939912457,12.644612291168912,10.031461435777814,0.2296224161704618,4.938755945364912,4.066487706698389,0.75,0.5
4545,1,C0,0.2634878565588616,12.541951835543,10.078436568851696,0.2388483727601559,4.8654220372872015,4.018288604149387,0.0,0.0
4545,1,C1,0.2634878565588616,12.541951835543,10.078436568851696,0.22190744791758057,4.972902728979439,4.072439411934865,0.0,0.5
4545,1,C2,0.22676213263085,12.784602823612028,10.242407662037948,0.23142984601462852,4.908537775042715,4.043508789012009,0.5,0.25
4545,1,C3,0.2634878565588616,12.541951835543,10.078436568851696,0.24094518171461438,4.879389990656733,4.030995007542046,0.0,1.0
4545,1,C4,0.2229976481414526,12.860202741410909,10.223505638307135,0.2414414404931153,4.9453716169906805,4.07876578500571,1.0,0.75
4545,2,A0,0.3324857776470655,10.382909172877905,8.46742859012444,0.4776033937108305,4.262216422866321,3.646401194671461,0.0,0.0
4545,2,B0,0.3324857776470655,10.382909172877905,8.46742859012444,0.4179514398770468,4.443706818226624,3.697062061267455,0.0,0.5
4545,2,B1,0.34501205845454996,10.954107961497835,8.995077191685573,0.441312771008877,4.3736945654568995,3.6627150444339938,0.25,0.75
4545,2,C0,0.339523567677453,11.156972415993858,9.101097045057307,0.39135724248590076,4.4946638099064815,3.6789507827132275,0.25,0.25
4545,2,C1,0.34343160569747827,11.109741981542063,8.951110489147828,0.3597932113574435,4.895174686128884,3.9481281203448115,0.75,1.0
4545,2,C2,0.33373387306590346,10.58552638054488,8.567461241314943,0.3769154796099704,4.665261374823987,3.7958626606392096,0.25,0.75
4545,2,C3,0.3324857776470655,10.382909172877905,8.46742859012444,0.4277347105383843,4.401870340693905,3.6791933000378987,0.0,0.5
4545,2,C4,0.3324857776470655,10.382909172877905,8.46742859012444,0.325292060600834,4.921798408945236,3.928197906330166,0.0,0.5
4545,3,A0,0.20559582295633702,10.080153406122427,8.087280134816424,0.448358032944996,4.7092265135285745,3.97644456130255,0.0,0.0
4545,3,B0,0.20559582295633702,10.080153406122427,8.087280134816424,0.36308103252646656,4.9126329138610645,3.974162959707407,0.0,0.5
4545,3,B1,0.1955736566792646,10.191732932326547,8.210339410558777,0.341063452782119,4.931554593434696,4.180346488423758,0.25,0.25
4545,3,C0,0.20090069588461587,10.372665693895547,8.43375691542311,0.3378881280883156,4.991623772287529,4.138675450448876,0.25,0.5
4545,3,C1,0.20559582295633702,10.080153406122427,8.087280134816424,0.4036997602818888,4.769323046816704,3.9723361801767645,0.0,0.25
4545,3,C2,0.20559582295633702,10.080153406122427,8.087280134816424,0.38861329158987845,4.7988073998692,4.040727575140037,0.0,0.25
4545,3,C3,0.20559582295633702,10.080153406122427,8.087280134816424,0.3331337816525645,4.942985213754044,4.077956999283725,0.0,1.0
4545,3,C4,0.20559582295633702,10.080153406122427,8.087280134816424,0.37472065561379364,4.824199312218341,4.003360728404274,0.0,1.0
4545,4,A0,0.2772282449156808,11.495111097173378,8.962848703311867,0.42825950558318315,4.187125033695034,3.3260888023386923,0.0,0.0
4545,4,B0,0.2772282449156808,11.495111097173378,8.962848703311867,0.36243713179305653,4.40680532812796,3.307814191601398,0.0,0.25
4545,4,B1,0.2515902084021845,11.80026595864195,9.122405716404172,0.43610792247009517,4.171219395968246,3.3390806307427567,0.25,1.0
4545,4,C0,0.2772282449156808,11.495111097173378,8.962848703311867,0.4450030394179785,4.141355122495974,3.222915778700543,0.0,0.25
4545,4,C1,0.25542121107909266,11.788248072632864,9.080234187823878,0.4292769898722285,4.176868347507909,3.2713450573047247,0.25,0.25
4545,4,C2,0.2466353636987456,12.358913880941259,9.43173199956449,0.42825950558318315,4.187125033695034,3.3260888023386923,0.75,0.0
4545,4,C3,0.16165125772066313,12.40986031602053,9.798661019220692,0.42825950558318315,4.187125033695034,3.3260888023386923,0.25,0.0
