seed,fold,model,rW,rF,rmW,rmF,maW,maF,n_tr,n_te
3737,1,C3,0.1521890870038353,0.2819187954227185,12.397361275474937,4.951401632595423,10.116141380000029,4.173773646400774,329,83
3737,1,C4,0.14881577325820902,0.2819187954227185,12.380367858594022,4.951401632595423,10.135969900435713,4.173773646400774,329,83
3737,2,A0,0.062059905532520235,0.28366122899045715,13.471509828523716,4.565130003524775,10.69754353746198,3.611348232725833,330,82
3737,2,B0,0.062059905532520235,0.2721870458826342,13.471509828523716,4.609119574219112,10.69754353746198,3.6510446467173736,330,82
3737,2,B1,0.062059905532520235,0.28366122899045715,13.471509828523716,4.565130003524775,10.69754353746198,3.611348232725833,330,82
3737,2,C0,0.04747279964258018,0.2846769311177509,13.877689388243791,4.569370220392221,10.869136701888884,3.6188798559995545,330,82
3737,2,C1,0.062059905532520235,0.23465747963032138,13.471509828523716,4.77474254659761,10.69754353746198,3.7900596044571913,330,82
3737,2,C2,0.062059905532520235,0.28012435786566847,13.471509828523716,4.5884119306881335,10.69754353746198,3.6408561169939535,330,82
3737,2,C3,0.08568208889693442,0.28366122899045715,13.581744684045942,4.565130003524775,10.745008979418381,3.611348232725833,330,82
3737,2,C4,0.04691217102329869,0.28366122899045715,14.171478086451767,4.565130003524775,11.22690961316827,3.611348232725833,330,82
3737,3,A0,0.23157371394294418,0.3049334764160759,11.790892674824217,4.69765357500783,9.346978209139426,4.028421252947674,330,82
3737,3,B0,0.23157371394294418,0.3049334764160759,11.790892674824217,4.69765357500783,9.346978209139426,4.028421252947674,330,82
3737,3,B1,0.23157371394294418,0.3049334764160759,11.790892674824217,4.69765357500783,9.346978209139426,4.028421252947674,330,82
3737,3,C0,0.23157371394294418,0.30744121564513816,11.790892674824217,4.854395793595614,9.346978209139426,4.116855224969535,330,82
3737,3,C1,0.23157371394294418,0.33407243433025535,11.790892674824217,4.695190068538324,9.346978209139426,3.992383804268484,330,82
3737,3,C2,0.23157371394294418,0.3423939485944093,11.790892674824217,4.662103703252325,9.346978209139426,3.9579715241730766,330,82
3737,3,C3,0.23157371394294418,0.31416382200919335,11.790892674824217,4.7772728178325305,9.346978209139426,4.0693471930985385,330,82
3737,3,C4,0.23157371394294418,0.33782823693313957,11.790892674824217,4.7361793618729715,9.346978209139426,4.034993287683066,330,82
3737,4,A0,0.43078307828639656,0.44301587993513575,10.2746151399629,4.720095209613237,8.16542028499431,3.8090195676454863,330,82
3737,4,B0,0.43078307828639656,0.44301587993513575,10.2746151399629,4.720095209613237,8.16542028499431,3.8090195676454863,330,82
3737,4,B1,0.43078307828639656,0.44301587993513575,10.2746151399629,4.720095209613237,8.16542028499431,3.8090195676454863,330,82
3737,4,C0,0.43078307828639656,0.44301587993513575,10.2746151399629,4.720095209613237,8.16542028499431,3.8090195676454863,330,82
3737,4,C1,0.43078307828639656,0.44301587993513575,10.2746151399629,4.720095209613237,8.16542028499431,3.8090195676454863,330,82
3737,4,C2,0.43078307828639656,0.44301587993513575,10.2746151399629,4.720095209613237,8.16542028499431,3.8090195676454863,330,82
3737,4,C3,0.42773055162269463,0.44301587993513575,10.28441637498034,4.720095209613237,8.150854371064165,3.8090195676454863,330,82
3737,4,C4,0.43078307828639656,0.44301587993513575,10.2746151399629,4.720095209613237,8.16542028499431,3.8090195676454863,330,82
3838,0,A0,0.20910869616247887,0.34573051039169206,12.528064686558404,4.849045231647784,10.343854440544815,3.9581444443705047,329,83
3838,0,B0,0.20910869616247887,0.34573051039169206,12.528064686558404,4.849045231647784,10.343854440544815,3.9581444443705047,329,83
3838,0,B1,0.20910869616247887,0.34573051039169206,12.528064686558404,4.849045231647784,10.343854440544815,3.9581444443705047,329,83
3838,0,C0,0.18582516823390186,0.3517908238360219,12.886872945835028,4.8590416704547135,10.4616164709808,3.9950990606009515,329,83
3838,0,C1,0.20910869616247887,0.3100380344908606,12.528064686558404,5.033025836508618,10.343854440544815,4.163891838321516,329,83
3838,0,C2,0.20910869616247887,0.3455529363522011,12.528064686558404,4.924254902921628,10.343854440544815,4.057634650687567,329,83
