task,condition,seed,model,mean_pearson,mean_rmse,mean_mae,n_folds
working_memory,R2,6,sc,0.14471254944053175,11.986849428565568,9.685772726422934,5
working_memory,R2,6,fp,0.24444870536799862,11.641955000314988,9.517295333353765,5
working_memory,R2,6,fused,0.2341837084896054,11.507721836872996,9.359555331210291,5
working_memory,R2,6,equal_weight,0.25335352875948036,11.207998043758314,9.140111692049484,5
working_memory,R2,7,fc,0.24231435407936788,12.630577697249684,10.217190891387657,5
working_memory,R2,7,sc,0.08728795967208323,12.385968857526839,9.996111927014642,5
working_memory,R2,7,fp,0.2765063193808697,11.522539979461754,9.386697578985217,5
working_memory,R2,7,fused,0.2585982837718486,11.319514418242516,9.190583952606715,5
working_memory,R2,7,equal_weight,0.24978533748621498,11.264719104044854,9.170157415704168,5
working_memory,R2,8,fc,0.30575178735498004,12.04206133875238,9.724318918939463,5
working_memory,R2,8,sc,0.18245715244138277,11.732377737477398,9.534447066774382,5
working_memory,R2,8,fp,0.2998234669308858,11.421923535627196,9.200385995849496,5
working_memory,R2,8,fused,0.2976018935384075,11.266897660075198,9.136987474590896,5
working_memory,R2,8,equal_weight,0.3129920518774264,10.86886290816797,8.874901053353295,5
working_memory,R2,9,fc,0.297866020077338,12.113634797460001,9.599500090777923,5
working_memory,R2,9,sc,0.16708868690793033,11.923376616807912,9.638328762013668,5
working_memory,R2,9,fp,0.29745369745956385,11.38326843862164,9.035316259725736,5
working_memory,R2,9,fused,0.27547515241437465,11.143244058213929,9.039405522233704,5
working_memory,R2,9,equal_weight,0.305891827973816,11.014585165063115,8.908945496034274,5
working_memory,R3,0,fc,0.24105008043972115,12.565748090018314,10.283234432132065,5
working_memory,R3,0,sc,0.1545590367290333,11.989127433718954,9.672281473511477,5
working_memory,R3,0,fp,0.2451484614108555,12.062395914494694,9.800792879271434,5
working_memory,R3,0,fused,0.25000675087035745,11.553311330377571,9.41356684015292,5
working_memory,R3,0,equal_weight,0.25381591277845894,11.384674346410215,9.28241214097245,5
