task,seed,outer_fold,condition,model,pearson,rmse,mae,n_train,n_test
working_memory,4,2,R0,equal_weight,0.2128464348137576,11.071481823562205,9.362552171238695,330,82
working_memory,4,3,R0,FC,0.17682921462162637,13.241110276168705,10.74512490760744,330,82
working_memory,4,3,R0,SC,0.15607906424959012,12.696101793570184,10.089735773794311,330,82
working_memory,4,3,R0,FP,0.2292561031674132,12.193295412166963,9.97365304070045,330,82
working_memory,4,3,R0,fused,0.21058871160672896,12.31646553810005,9.957850224116976,330,82
working_memory,4,3,R0,equal_weight,0.21973756813117207,12.154301602197545,9.73853299613147,330,82
working_memory,4,4,R0,FC,0.36816521268257374,11.385884428616848,9.281915392588974,330,82
working_memory,4,4,R0,SC,0.11436543989085651,12.35789757283086,10.127954306739062,330,82
working_memory,4,4,R0,FP,0.42077512525019145,10.704899151628203,8.825316625862836,330,82
working_memory,4,4,R0,fused,0.36816521268257374,11.385884428616848,9.281915392588974,330,82
working_memory,4,4,R0,equal_weight,0.3642133919496844,10.883890489896494,8.788841828041633,330,82
working_memory,5,0,R0,FC,0.2275645719385427,12.8680164152553,9.58151541790263,329,83
working_memory,5,0,R0,SC,-0.14917927631050604,14.128116025100887,11.296471306456501,329,83
working_memory,5,0,R0,FP,0.265578228598013,11.853777843669004,9.068890642683648,329,83
working_memory,5,0,R0,fused,0.0875779104861454,12.71704895772808,10.01417418808315,329,83
working_memory,5,0,R0,equal_weight,0.0875779104861454,12.71704895772808,10.01417418808315,329,83
working_memory,5,1,R0,FC,0.25978687513640664,12.6013194059408,10.412730486817845,329,83
working_memory,5,1,R0,SC,0.03171382666493764,12.99924580390622,10.794201744518215,329,83
working_memory,5,1,R0,FP,0.3144892199577005,11.598697105125552,9.486239353729657,329,83
working_memory,5,1,R0,fused,0.24297635693313846,12.045306894251489,9.895944474969758,329,83
working_memory,5,1,R0,equal_weight,0.21826034946832112,12.037837570989836,9.976038010748645,329,83
working_memory,5,2,R0,FC,0.08523015635513881,13.926937024991219,10.987684324370829,330,82
working_memory,5,2,R0,SC,0.12305426550718643,11.162286627407068,8.817015979388744,330,82
working_memory,5,2,R0,FP,0.08663039411497594,13.802531172134177,10.875315894699071,330,82
working_memory,5,2,R0,fused,0.12155530142486634,11.573595361102807,9.272795260827312,330,82
working_memory,5,2,R0,equal_weight,0.12600570705033692,11.410042621004335,9.15408403840924,330,82
working_memory,5,3,R0,FC,0.38226567496803676,11.810345591704372,9.856142449547553,330,82
working_memory,5,3,R0,SC,0.04861221583860488,13.030209025479596,10.671688155503338,330,82
working_memory,5,3,R0,FP,0.3866521301290528,10.871015273896447,8.950859935006608,330,82
working_memory,5,3,R0,fused,0.25891554564309904,11.50276132233811,9.32344095230619,330,82
working_memory,5,3,R0,equal_weight,0.3245337296609305,11.185303738128026,8.998278605823446,330,82
working_memory,5,4,R0,FC,0.1658775144567571,12.5939183374014,10.51598770804133,330,82
working_memory,5,4,R0,SC,0.2290078258362625,11.633606189663553,9.33402415831521,330,82
