edge_index,roi_i_0based,roi_j_0based,roi_i_1based,roi_j_1based,mean_signed_coef,mean_abs_coef,median_abs_coef,rank_mean_abs,roi_i_name,roi_j_name,top10_frequency,top20_frequency,top50_frequency,sign_consistency
4474,49,65,50,66,0.0008710314049277225,0.0008710314049277225,0.0008710314049277225,5556,Occipital_Sup_R,Angular_R,0.0,0.0,0.0,1.0
1569,14,65,15,66,0.0008706908229768486,0.0008706908229768486,0.0008706908229768486,5557,Frontal_Inf_Orb_L,Angular_R,0.0,0.0,0.0,1.0
4341,47,65,48,66,0.000870331288886753,0.000870331288886753,0.000870331288886753,5558,Lingual_R,Angular_R,0.0,0.0,0.0,1.0
4908,56,65,57,66,0.0008703184852257757,0.0008703184852257757,0.0008703184852257757,5559,Postcentral_L,Angular_R,0.0,0.0,0.0,1.0
4408,48,65,49,66,0.000870223158257045,0.000870223158257045,0.000870223158257045,5560,Occipital_Sup_L,Angular_R,0.0,0.0,0.0,1.0
5403,65,74,66,75,0.0008700212377872117,0.0008700212377872117,0.0008700212377872117,5561,Angular_R,Pallidum_L,0.0,0.0,0.0,1.0
5432,65,103,66,104,0.0008696900296445472,0.0008696900296445472,0.0008696900296445472,5562,Angular_R,Cerebelum_8_R,0.0,0.0,0.0,1.0
5344,64,65,65,66,0.0008693550040249935,0.0008693550040249935,0.0008693550040249935,5563,Angular_L,Angular_R,0.0,0.0,0.0,1.0
5441,65,112,66,113,0.0008691681659678592,0.0008691681659678592,0.0008691681659678592,5564,Angular_R,Vermis_7,0.0,0.0,0.0,1.0
5399,65,70,66,71,0.0008690812248335166,0.0008690812248335166,0.0008690812248335166,5565,Angular_R,Caudate_L,0.0,0.0,0.0,1.0
5412,65,83,66,84,0.0008688912486930514,0.0008688912486930514,0.0008688912486930514,5566,Angular_R,Temporal_Pole_Sup_R,0.0,0.0,0.0,1.0
4204,45,65,46,66,0.0008685427484023125,0.0008685427484023125,0.0008685427484023125,5567,Cuneus_R,Angular_R,0.0,0.0,0.0,1.0
5427,65,98,66,99,0.0008684715878991414,0.0008684715878991414,0.0008684715878991414,5568,Angular_R,Cerebelum_6_L,0.0,0.0,0.0,1.0
