task,seed,outer_fold,condition,model,pearson,rmse,mae,n_train,n_test
fluid_intelligence,6,2,R2,FP,0.17605642264454519,5.037934890400013,4.199812976508313,330,82
fluid_intelligence,6,2,R2,fused,0.290271001906372,4.643146695350759,3.894851061787047,330,82
fluid_intelligence,6,2,R2,equal_weight,0.2982861530098265,4.625299818352867,3.874860231748063,330,82
fluid_intelligence,6,3,R2,FC,0.10925256371061506,5.321887913035542,4.5763252223854405,330,82
fluid_intelligence,6,3,R2,SC,0.4378996700954014,4.249794991362807,3.5318404336906113,330,82
fluid_intelligence,6,3,R2,FP,0.16788212368973934,4.800215110268847,4.166089908479015,330,82
fluid_intelligence,6,3,R2,fused,0.44539837984436703,4.179936720997554,3.5251728549909203,330,82
fluid_intelligence,6,3,R2,equal_weight,0.4085571426596611,4.2510372281802775,3.6731537075037357,330,82
fluid_intelligence,6,4,R2,FC,0.17081344871675108,6.353566003174308,5.048863038630693,330,82
fluid_intelligence,6,4,R2,SC,0.3727092700561349,5.356626224909798,4.369025252660523,330,82
fluid_intelligence,6,4,R2,FP,0.20689423115005126,5.754666566579316,4.705268032460489,330,82
fluid_intelligence,6,4,R2,fused,0.39972409188601954,5.279226689933785,4.312393838599479,330,82
fluid_intelligence,6,4,R2,equal_weight,0.3758332879819235,5.31969308679593,4.364706253852898,330,82
fluid_intelligence,7,0,R2,FC,0.06632703445005546,5.721507646292202,4.779224487963923,329,83
fluid_intelligence,7,0,R2,SC,0.3309977627226645,4.4486072344170475,3.6772451435644107,329,83
fluid_intelligence,7,0,R2,FP,0.13291133519988602,4.954502174182231,4.21062945992914,329,83
fluid_intelligence,7,0,R2,fused,0.3293818377428098,4.41745396988314,3.712440470722959,329,83
fluid_intelligence,7,0,R2,equal_weight,0.28629107466975134,4.496071793316618,3.815872310033117,329,83
fluid_intelligence,7,1,R2,FC,0.21389745922490414,6.104601846062406,4.785309482906328,329,83
fluid_intelligence,7,1,R2,SC,0.47357519998085207,4.494339526840414,3.6717674369494695,329,83
