task,condition,seed,model,mean_pearson,mean_rmse,mean_mae,n_folds
fluid_intelligence,R2,4,fc,0.21451928485675645,5.437577566197366,4.393983049424633,5
fluid_intelligence,R2,4,sc,0.35088912639939845,4.643919353523344,3.826758546751492,5
fluid_intelligence,R2,4,fp,0.22467872683321652,4.9394609459672925,4.089973912380515,5
fluid_intelligence,R2,4,fused,0.36054687368524163,4.58844883114035,3.8059203251646685,5
fluid_intelligence,R2,4,equal_weight,0.3693255959268378,4.5500702977355845,3.8155467508050216,5
fluid_intelligence,R2,5,fc,0.17693886451938945,5.662172137462852,4.4930628745827,5
fluid_intelligence,R2,5,sc,0.34703719162647617,4.662324024688283,3.8109217376321993,5
fluid_intelligence,R2,5,fp,0.22023112486234614,4.936379681561323,4.032493875749838,5
fluid_intelligence,R2,5,fused,0.36992659053777566,4.566253288033307,3.7904452362591834,5
fluid_intelligence,R2,5,equal_weight,0.3675133725464984,4.569193239417032,3.8114610738797388,5
fluid_intelligence,R2,6,fc,0.18775084009644413,5.526917206271246,4.494079137156605,5
fluid_intelligence,R2,6,sc,0.3621919414565111,4.612943940034265,3.7957606329021303,5
fluid_intelligence,R2,6,fp,0.2011359469933888,4.9144610520184315,4.129535780102326,5
fluid_intelligence,R2,6,fused,0.37662984825893736,4.534330570913437,3.767621795915862,5
fluid_intelligence,R2,6,equal_weight,0.3713726895347438,4.5411026923173,3.8087039297149827,5
fluid_intelligence,R2,7,fc,0.1627997023767222,5.780547352336337,4.6909620849707565,5
fluid_intelligence,R2,7,sc,0.35389476869857084,4.6514411123257275,3.824191022591151,5
fluid_intelligence,R2,7,fp,0.2070104173650968,4.99542266657731,4.170464744891032,5
fluid_intelligence,R2,7,fused,0.37005631159976726,4.552217133147704,3.77756895186373,5
fluid_intelligence,R2,7,equal_weight,0.35135578441150184,4.593510620582234,3.841553562423596,5
fluid_intelligence,R2,8,fc,0.1704895378791295,5.62250601112107,4.508414120087862,5
fluid_intelligence,R2,8,sc,0.35144853024421724,4.686512143145173,3.872732756020117,5
fluid_intelligence,R2,8,fp,0.18099476003367315,5.032028333287194,4.1570157875252,5
fluid_intelligence,R2,8,fused,0.3431534314645789,4.642636173939161,3.8537144373899914,5
fluid_intelligence,R2,8,equal_weight,0.34642637115830227,4.631200675508214,3.8684633301435283,5
fluid_intelligence,R2,9,fc,0.21290679012398703,5.584906240455033,4.431311480145266,5
fluid_intelligence,R2,9,sc,0.40172957265307047,4.55476751260316,3.7428414226453435,5
fluid_intelligence,R2,9,fp,0.22296095562175103,4.980231881200282,4.122361995290606,5
fluid_intelligence,R2,9,fused,0.4182007531995667,4.491306689114594,3.7460923090533926,5
fluid_intelligence,R2,9,equal_weight,0.41138977881841965,4.510137795806813,3.7752708681552556,5
