seed,fold,task,model,pearson_r,rmse,mae,alpha_fc,alpha_sc,lambda2_wm,lambda2_fi,eta_wm,eta_fi
1010,1,WM,mt_residual_no_prior,0.30274916572776667,10.89958084817493,9.20628429373855,100,100,10.0,10.0,0.0,1.0
1010,1,FI,mt_residual_no_prior,0.31251908562051844,4.524764099692318,3.7499986672198915,100,100,10.0,10.0,0.0,1.0
1010,1,WM,mt_residual_prior,0.30604189371656776,10.844556995812859,9.152594618144407,100,100,10.0,10.0,0.0,1.0
1010,1,FI,mt_residual_prior,0.3087380677992438,4.522070504757359,3.738291613669512,100,100,10.0,10.0,0.0,1.0
1010,2,WM,base_late_fusion,0.153087721260117,12.858083359600673,10.622647434993038,100,100,10.0,10.0,0.0,0.0
1010,2,FI,base_late_fusion,0.42477564868922246,4.147533950475171,3.311923796494042,100,100,10.0,10.0,0.0,0.0
1010,2,WM,ind_residual_no_prior,0.13800023500325515,13.096926791574338,10.777005886850272,100,100,10.0,10.0,1.0,1.0
1010,2,FI,ind_residual_no_prior,0.4134392701334916,4.254473634509043,3.298467333516995,100,100,10.0,10.0,1.0,1.0
1010,2,WM,ind_residual_prior,0.15297866217690953,12.859390730113786,10.623651621002459,100,100,10.0,10.0,1.0,1.0
1010,2,FI,ind_residual_prior,0.4247818549593517,4.1477777818060835,3.3118155270115968,100,100,10.0,10.0,1.0,1.0
1010,2,WM,mt_residual_no_prior,0.14921488983517586,12.91498774073193,10.657655943729038,100,100,10.0,10.0,1.0,1.0
1010,2,FI,mt_residual_no_prior,0.4239890481504967,4.160816245097691,3.296870725399123,100,100,10.0,10.0,1.0,1.0
1010,2,WM,mt_residual_prior,0.1529780512335401,12.859413483898692,10.623669103064433,100,100,10.0,10.0,1.0,1.0
1010,2,FI,mt_residual_prior,0.4247838904267246,4.147778149133747,3.311805076554789,100,100,10.0,10.0,1.0,1.0
1010,3,WM,base_late_fusion,0.3581906168947172,11.217960764900077,8.692605845116162,100,50,10.0,10.0,0.0,0.0
1010,3,FI,base_late_fusion,0.25844231294998726,4.9098632829887485,4.162802701098736,100,50,10.0,10.0,0.0,0.0
1010,3,WM,ind_residual_no_prior,0.365182149286987,11.2254099000502,8.620608195777807,100,50,10.0,10.0,1.0,1.0
1010,3,FI,ind_residual_no_prior,0.25916068829723043,4.968200974568397,4.16049182077961,100,50,10.0,10.0,1.0,1.0
1010,3,WM,ind_residual_prior,0.3581882798229944,11.218062805510295,8.692666097676064,100,50,10.0,10.0,1.0,1.0
1010,3,FI,ind_residual_prior,0.25783462131592616,4.912079197925309,4.166423803348703,100,50,10.0,10.0,1.0,1.0
1010,3,WM,mt_residual_no_prior,0.36023640435264215,11.216965066451571,8.671341878242037,100,50,10.0,10.0,1.0,1.0
1010,3,FI,mt_residual_no_prior,0.2600493966453501,4.917188209118054,4.160508525976971,100,50,10.0,10.0,1.0,1.0
1010,3,WM,mt_residual_prior,0.35818777881370467,11.21806814675492,8.692669946563633,100,50,10.0,10.0,1.0,1.0
1010,3,FI,mt_residual_prior,0.25782682070522245,4.9120997373593935,4.166459025961264,100,50,10.0,10.0,1.0,1.0
1010,4,WM,base_late_fusion,0.09992537750068298,11.84265724943988,9.454005316115511,100,50,10.0,10.0,0.0,0.0
1010,4,FI,base_late_fusion,0.3998973177023627,4.4884120592010355,3.6660043479393547,100,50,10.0,10.0,0.0,0.0
1010,4,WM,ind_residual_no_prior,0.09992537750068298,11.84265724943988,9.454005316115511,100,50,10.0,10.0,0.0,1.0
1010,4,FI,ind_residual_no_prior,0.37370646398958385,4.598667156110624,3.6645676941696923,100,50,10.0,10.0,0.0,1.0
1010,4,WM,ind_residual_prior,0.09992537750068298,11.84265724943988,9.454005316115511,100,50,10.0,10.0,0.0,1.0
1010,4,FI,ind_residual_prior,0.40013738770238827,4.487686664935331,3.665608425347808,100,50,10.0,10.0,0.0,1.0
1010,4,WM,mt_residual_no_prior,0.09677628096766794,11.947887088033305,9.506167008821956,100,50,10.0,10.0,0.0,1.0
1010,4,FI,mt_residual_no_prior,0.3960933041364344,4.504029051686877,3.665619659375833,100,50,10.0,10.0,0.0,1.0
1010,4,WM,mt_residual_prior,0.09992537750068298,11.84265724943988,9.454005316115511,100,50,10.0,10.0,0.0,1.0
1010,4,FI,mt_residual_prior,0.400139548463631,4.48768118511163,3.6656042143153686,100,50,10.0,10.0,0.0,1.0
1111,0,WM,base_late_fusion,0.2863696850859947,11.381478408409903,9.668699227037406,100,1,10.0,10.0,0.0,0.0
1111,0,FI,base_late_fusion,0.3310378968892441,4.953975531227369,4.181617165705195,100,1,10.0,10.0,0.0,0.0
1111,0,WM,ind_residual_no_prior,0.2777503652093796,11.516487058920093,9.740384042863258,100,1,10.0,10.0,1.0,1.0
1111,0,FI,ind_residual_no_prior,0.3050070185155967,5.074025350145091,4.257547635397305,100,1,10.0,10.0,1.0,1.0
1111,0,WM,ind_residual_prior,0.28637173234535906,11.381583807373044,9.668795068162074,100,1,10.0,10.0,1.0,1.0
1111,0,FI,ind_residual_prior,0.3310245047745265,4.954064837083329,4.181700183051113,100,1,10.0,10.0,1.0,1.0
1111,0,WM,mt_residual_no_prior,0.28430806116793916,11.411513569919654,9.686620430993871,100,1,10.0,10.0,1.0,1.0
1111,0,FI,mt_residual_no_prior,0.3193541611805404,5.0034675717434824,4.212378883310604,100,1,10.0,10.0,1.0,1.0
1111,0,WM,mt_residual_prior,0.28637196620923444,11.38158575661806,9.668798505941629,100,1,10.0,10.0,1.0,1.0
1111,0,FI,mt_residual_prior,0.3310229794949649,4.9540704348990054,4.1817046573056755,100,1,10.0,10.0,1.0,1.0
1111,1,WM,base_late_fusion,0.3765872278453253,11.875135508959325,9.1796502978792,100,100,10.0,10.0,0.0,0.0
1111,1,FI,base_late_fusion,0.3878627378149644,4.520812245421241,3.8010888446515527,100,100,10.0,10.0,0.0,0.0
1111,1,WM,ind_residual_no_prior,0.37574830664383774,11.900442061551464,9.159098187255616,100,100,10.0,10.0,1.0,1.0
1111,1,FI,ind_residual_no_prior,0.36942831075440485,4.663908553728059,3.8410030537883335,100,100,10.0,10.0,1.0,1.0
1111,1,WM,ind_residual_prior,0.3766439158940359,11.874868405351137,9.179390043916337,100,100,10.0,10.0,1.0,1.0
1111,1,FI,ind_residual_prior,0.38674116316416784,4.525015230667215,3.805421207746004,100,100,10.0,10.0,1.0,1.0
