rank,roi_index_0based,roi_index_1based,roi_name,importance
42,76,77,Thalamus_L,0.02935525720061371
43,23,24,Frontal_Sup_Medial_R,0.029016341383239493
44,53,54,Occipital_Inf_R,0.028739808378320776
45,84,85,Temporal_Mid_L,0.028393172492608407
46,50,51,Occipital_Mid_L,0.02826993717529666
47,17,18,Rolandic_Oper_R,0.02820622439525028
48,112,113,Vermis_7,0.027994529931799232
49,18,19,Supp_Motor_Area_L,0.027748691441711333
50,20,21,Olfactory_L,0.027700549643190568
51,66,67,Precuneus_L,0.027580818809043926
52,74,75,Pallidum_L,0.027546557594274757
53,22,23,Frontal_Sup_Medial_L,0.026589852935154507
54,26,27,Rectus_L,0.026159383376304725
55,43,44,Calcarine_R,0.02594079246472034
56,81,82,Temporal_Sup_R,0.025914716658143395
57,30,31,Cingulum_Ant_L,0.025696218104821252
58,75,76,Pallidum_R,0.025594954485690505
59,29,30,Insula_R,0.025322714747716038
60,110,111,Vermis_4_5,0.025298557062124992
61,4,5,Frontal_Sup_Orb_L,0.02519311092777226
62,19,20,Supp_Motor_Area_R,0.02475156245868292
63,41,42,Amygdala_R,0.02463006407463386
64,44,45,Cuneus_L,0.024616850933698566
65,102,103,Cerebelum_8_L,0.024495947225115895
66,40,41,Amygdala_L,0.0244862789548732
67,0,1,Precentral_L,0.02433733972271606
68,33,34,Cingulum_Mid_R,0.02407908529683856
69,111,112,Vermis_6,0.02401253305175044
70,72,73,Putamen_L,0.023852933905330626
71,54,55,Fusiform_L,0.023674424662157884
72,95,96,Cerebelum_3_R,0.023562695348970646
73,107,108,Cerebelum_10_R,0.02338366288950164
74,55,56,Fusiform_R,0.02316097670797384
75,34,35,Cingulum_Post_L,0.023131313111756254
76,1,2,Precentral_R,0.022895834668463413
77,73,74,Putamen_R,0.022481111653423192
78,114,115,Vermis_9,0.022378072463441256
79,42,43,Calcarine_L,0.02220181453040877
80,88,89,Temporal_Inf_L,0.02200905297259441
81,51,52,Occipital_Mid_R,0.02171944760339736
82,27,28,Rectus_R,0.02163783889760694
83,106,107,Cerebelum_10_L,0.021467631785284224
84,108,109,Vermis_1_2,0.021451923876534155
85,77,78,Thalamus_R,0.02137845000012818
86,104,105,Cerebelum_9_L,0.021074099770491257
87,86,87,Temporal_Pole_Mid_L,0.021031246643337977
88,91,92,Cerebelum_Crus1_R,0.021020130285979627
89,101,102,Cerebelum_7b_R,0.021018727191337724
90,52,53,Occipital_Inf_L,0.020732517486905272
91,99,100,Cerebelum_6_R,0.02066414567537283
92,92,93,Cerebelum_Crus2_L,0.020620401457455972
93,100,101,Cerebelum_7b_L,0.020330950809640563
94,32,33,Cingulum_Mid_L,0.02022859981889484
95,14,15,Frontal_Inf_Orb_L,0.0196983277500606
96,94,95,Cerebelum_3_L,0.019660533220025096
97,31,32,Cingulum_Ant_R,0.019463408504177285
98,96,97,Cerebelum_4_5_L,0.019307454936355477
99,16,17,Rolandic_Oper_L,0.019059470450426514
100,71,72,Caudate_R,0.01897222160076866
101,36,37,Hippocampus_L,0.01879987184702047
102,98,99,Cerebelum_6_L,0.018775830156691514
103,45,46,Cuneus_R,0.018341716612545987
104,48,49,Occipital_Sup_L,0.018308643518224664
105,70,71,Caudate_L,0.018144874835598387
106,90,91,Cerebelum_Crus1_L,0.017983912843735513
107,25,26,Frontal_Med_Orb_R,0.01777388733545079
108,93,94,Cerebelum_Crus2_R,0.017565038082994894
109,85,86,Temporal_Mid_R,0.01734078663427905
110,87,88,Temporal_Pole_Mid_R,0.01707394330465731
111,46,47,Lingual_L,0.01672614130053824
112,37,38,Hippocampus_R,0.01667063604055859
113,82,83,Temporal_Pole_Sup_L,0.016408564746745288
114,49,50,Occipital_Sup_R,0.016406144024849644
115,47,48,Lingual_R,0.01605731220773898
116,38,39,ParaHippocampal_L,0.014951282610119573
