roi_index,roi_label,system,winning_network,winning_overlap_fraction,n_voxels,overlap_VIS,overlap_SM,overlap_DATN,overlap_LIMBIC,overlap_FPN,overlap_DMN,overlap_VAS
105,Cerebelum_9_L,CEREBELLAR,CEREBELLAR,1.0,869,0,0,0,0,0,0,0
106,Cerebelum_9_R,CEREBELLAR,CEREBELLAR,1.0,809,0,0,0,0,0,0,0
107,Cerebelum_10_L,CEREBELLAR,CEREBELLAR,1.0,144,0,0,0,0,0,0,0
108,Cerebelum_10_R,CEREBELLAR,CEREBELLAR,1.0,159,0,0,0,0,0,0,0
109,Vermis_1_2,CEREBELLAR,CEREBELLAR,1.0,53,0,0,0,0,0,0,0
110,Vermis_3,CEREBELLAR,CEREBELLAR,1.0,228,0,0,0,0,0,0,0
111,Vermis_4_5,CEREBELLAR,CEREBELLAR,1.0,665,0,0,0,0,0,0,0
112,Vermis_6,CEREBELLAR,CEREBELLAR,1.0,371,0,0,0,0,0,0,0
113,Vermis_7,CEREBELLAR,CEREBELLAR,1.0,194,0,0,0,0,0,0,0
114,Vermis_8,CEREBELLAR,CEREBELLAR,1.0,243,0,0,0,0,0,0,0
115,Vermis_9,CEREBELLAR,CEREBELLAR,1.0,174,0,0,0,0,0,0,0
116,Vermis_10,CEREBELLAR,CEREBELLAR,1.0,112,0,0,0,0,0,0,0
