task,seed,outer_fold,selected_candidate,selected_hyperparam,baseline_r,selected_r,delta_r,baseline_rmse,selected_rmse,baseline_mae,selected_mae,a_oof_r,b_oof_r,c_oof_r,b_best_a,c_best_lambda
working_memory,2,1,B,1.5,0.40030037107749883,0.4004551139860048,0.00015474290850597816,10.182742158248844,10.411493626153533,8.33262719642578,8.344767071753086,0.11987300095853846,0.15623106202316195,0.10815535801809595,1.5,0.0
working_memory,2,2,A,0.0,0.2654596095068341,0.2654596095068341,0.0,11.48766970606978,11.48766970606978,8.890062523351949,8.890062523351949,0.3277131866662295,0.3277131866662295,0.313945206678871,0.0,100.0
working_memory,2,3,B,0.1,0.33748399143184016,0.34453725555636877,0.007053264124528613,10.851302533135263,10.827371214215349,9.346934876075789,9.331158695294254,0.29557531824910127,0.2956379552346773,0.2616020365324131,0.1,100.0
working_memory,2,4,A,0.0,0.18099290807643845,0.18099290807643845,0.0,10.98324821066026,10.98324821066026,8.756256555214625,8.756256555214625,0.2228809560967912,0.2228809560967912,0.2074405551789881,0.0,0.0
working_memory,3,0,B,0.75,0.23732437586117705,0.2147725009438737,-0.022551874917303344,9.727672249700515,9.681099652574803,8.16314230911537,8.024314197788758,0.19210557384193178,0.20853760393058282,0.1547156548447593,0.75,100.0
working_memory,3,1,B,0.5,0.20484288032724457,0.2020785704903876,-0.002764309836856965,12.386177873783259,12.449234905295565,10.677081278832054,10.5385164996202,0.3110666705229492,0.3257339278883723,0.2935721105980206,0.5,100.0
working_memory,3,2,A,0.0,0.12917870985668647,0.12917870985668647,0.0,12.247215468820162,12.247215468820162,9.539058358942867,9.539058358942867,0.27261725561983186,0.27261725561983186,0.23908146615372403,0.0,0.0
working_memory,3,3,B,2.0,0.47564202934589095,0.45441800279886013,-0.021224026547030816,10.856475692788187,10.792528321454418,8.906200239635687,8.726247803514363,0.05567171313088877,0.10435950381844251,0.011962428301048326,2.0,0.0
working_memory,3,4,B,0.25,0.3857389612600435,0.3867483866750647,0.0010094254150212478,10.325573294816813,10.335142343651837,7.955194563287027,7.915346253749617,0.24128110279362613,0.24412885214369195,0.21083480896234946,0.25,100.0
working_memory,4,0,A,0.0,0.1748945075457591,0.1748945075457591,0.0,11.150804063387886,11.150804063387886,8.961442139752616,8.961442139752616,0.24652945228644735,0.24652945228644735,0.2301175235951949,0.0,100.0
working_memory,4,1,B,1.0,0.25750626455415765,0.2184091051626923,-0.03909715939146535,11.459856525451023,11.298047452963562,9.195748822205045,9.233612089167394,0.26911449081731387,0.3047800698909343,0.2843591265779011,1.0,0.0
working_memory,4,2,B,0.75,0.17583322405357804,0.21947593618432334,0.043642712130745304,10.756697111044419,10.671521656834678,8.897436090191787,8.838631117542592,0.20466089106099009,0.2119974327320598,0.14902982552172814,0.75,0.0
working_memory,4,3,B,0.1,0.25569590725184776,0.25459013606069425,-0.001105771191153515,11.888491834359966,11.899189009147705,9.700318922050002,9.684598737778012,0.2949443337533605,0.2951166235153705,0.2643871688833174,0.1,100.0
