arch,seed,fold,matched,control,pearson_matched,pearson_control,delta_r
ncr,7474,3,N-MATCHED,N-RANDOM,0.1615278170078967,0.17367179992338694,-0.012143982915490237
ncr,7474,4,N-MATCHED,N-CROSS,0.2942553757452355,0.29905360307019774,-0.004798227324962212
ncr,7474,4,N-MATCHED,N-SHUFFLED,0.2942553757452355,0.28907629172272564,0.005179084022509883
ncr,7474,4,N-MATCHED,N-RANDOM,0.2942553757452355,0.24946069869102327,0.04479467705421225
ncr,7575,0,N-MATCHED,N-CROSS,0.27287780965109376,0.23395905005172035,0.03891875959937341
ncr,7575,0,N-MATCHED,N-SHUFFLED,0.27287780965109376,0.27287780965109376,0.0
ncr,7575,0,N-MATCHED,N-RANDOM,0.27287780965109376,0.2785849588262934,-0.005707149175199655
ncr,7575,1,N-MATCHED,N-CROSS,0.18513552650803486,0.18745623936417422,-0.0023207128561393564
ncr,7575,1,N-MATCHED,N-SHUFFLED,0.18513552650803486,0.18463944799838822,0.0004960785096466414
ncr,7575,1,N-MATCHED,N-RANDOM,0.18513552650803486,0.07192696516450078,0.11320856134353408
ncr,7575,2,N-MATCHED,N-CROSS,0.2398697420952895,0.2507407952630674,-0.010871053167777922
ncr,7575,2,N-MATCHED,N-SHUFFLED,0.2398697420952895,0.255260050953947,-0.015390308858657498
ncr,7575,2,N-MATCHED,N-RANDOM,0.2398697420952895,0.2398697420952895,0.0
ncr,7575,3,N-MATCHED,N-CROSS,0.2963378872240209,0.29541436420330414,0.0009235230207167433
ncr,7575,3,N-MATCHED,N-SHUFFLED,0.2963378872240209,0.2762562830924057,0.020081604131615194
ncr,7575,3,N-MATCHED,N-RANDOM,0.2963378872240209,0.29541436420330414,0.0009235230207167433
ncr,7575,4,N-MATCHED,N-CROSS,0.19456043345947718,0.17771686142879128,0.0168435720306859
ncr,7575,4,N-MATCHED,N-SHUFFLED,0.19456043345947718,0.19865806005236464,-0.0040976265928874545
ncr,7575,4,N-MATCHED,N-RANDOM,0.19456043345947718,0.19278763248043354,0.0017728009790436428
