model,seed,fold,abstained,base_rmse,top5_delta_rmse,top10_delta_rmse,bottom5_delta_rmse,bottom10_delta_rmse,random5_mean,random5_std,random5_p95,random5_p5,random10_mean,random10_std,random10_p95,random10_p5,top10_minus_random10,top5_minus_random5,top10_random10_percentile
R-MATCHED,7373,2,0,12.177769886212545,0.13126642421758739,0.014111010148072367,-0.024299640280901258,0.03375368027121972,-0.019943055708660874,0.11586483458406505,0.1741720939857532,-0.23138064311182224,-0.03367744370570343,0.17376950969636065,0.24367971209944114,-0.2532694865823563,0.047788453853775795,0.15120947992624825,0.7
R-MATCHED,7373,3,0,11.275928243033224,0.29486394605202193,0.1587560489335491,-0.026203968282851875,0.0492568689097066,0.04504908334911255,0.14725472675182985,0.29707752376982943,-0.1555861746312595,0.09578700248543504,0.1751574487251751,0.3690736987547703,-0.14095783711044074,0.06296904644811407,0.24981486270290937,0.67
R-MATCHED,7373,4,0,10.491209739098979,0.08349468679374894,0.26268972660641765,-0.03762302682543783,0.09055194226904817,0.017441089324301783,0.19168014179613357,0.36663499392446713,-0.26737825511557184,0.09598942453251295,0.29462736572593323,0.5722448949035457,-0.35393687366739107,0.16670030207390468,0.06605359746944715,0.73
R-MATCHED,7474,0,0,11.789177543366348,0.03047932495440797,0.1525865979016423,-0.017265632488753013,0.07279002988533456,0.0002756945296722257,0.07887954320452523,0.1589075892203156,-0.11969446899098539,0.03655406745771698,0.12206822090160724,0.263674867765628,-0.12743667266601058,0.11603253044392534,0.030203630424735745,0.82
R-MATCHED,7474,1,0,10.812380289779874,0.36330198039943085,0.0077637646978008235,-0.011430061567942573,-0.08668476732270669,0.05448147917402832,0.25129769168376764,0.5271919755656278,-0.27134910060565554,0.10501435819123404,0.3905432610590599,0.9160111531280529,-0.341129579259312,-0.09725059349343322,0.3088205012254025,0.55
R-MATCHED,7474,2,0,11.486252825369617,-0.1314300749419246,0.034628784113516886,0.15808946436430915,0.053284795555693876,0.0538172647223425,0.16252565390182663,0.3120413838864464,-0.17518047899372843,0.11993940567072975,0.28921498854848365,0.7288922053078936,-0.21128981455704618,-0.08531062155721286,-0.1852473396642671,0.43
R-MATCHED,7474,3,0,10.247379974899625,0.0014128595647662223,-0.1439488595408278,-0.14259696739027738,-0.04503440216390864,-0.0813458084482897,0.09825408553481117,0.04850496859606421,-0.2272393426172105,-0.16035017866195747,0.1193443466427824,0.021658816231617573,-0.3437180496534835,0.01640131912112966,0.08275866801305592,0.58
R-MATCHED,7474,4,0,12.109155216264906,-0.08870090310512779,-0.027863603864027198,-0.01979947567543583,0.016413559439389047,0.0038449535235418253,0.11804704924450055,0.2077684431615293,-0.1556413777993768,0.031418129595166475,0.15673430850337125,0.2754175852447241,-0.21342844082156026,-0.05928173345919367,-0.09254585662866961,0.34
R-MATCHED,7575,0,0,10.871942333278833,0.021064587537177104,-0.019580622712599194,0.14507866035538086,0.3135655186582138,0.0491368302227635,0.13209481855264352,0.2970604031597699,-0.12017277484241422,0.09871725382563006,0.17335822496443828,0.4065613502786324,-0.1089988989763783,-0.11829787653822925,-0.028072242685586397,0.24
R-MATCHED,7575,1,1,,,,,,,,,,,,,,,,
R-MATCHED,7575,2,1,,,,,,,,,,,,,,,,
R-MATCHED,7575,3,1,,,,,,,,,,,,,,,,
R-MATCHED,7575,4,0,10.897346651777221,0.1270698472509615,-0.028039456225062764,-0.08761013951752261,-0.2698053922302428,-0.00809388635059392,0.3450805428661592,0.4819118430274549,-0.3846864053406457,-0.020753648748957066,0.4183722845105399,0.8214220175000478,-0.5016343643108783,-0.007285807476105698,0.1351637336015554,0.57
R-CROSS,7171,0,0,11.155059334374432,0.33537533527160335,0.6631598767664997,-0.011342102050194924,-0.02999270988413727,0.05631078407781974,0.18619379138403191,0.418210592340213,-0.18634772108773986,0.06628661948591792,0.2589257651778527,0.5290403053620544,-0.24178553903786967,0.5968732572805817,0.2790645511937836,0.97
R-CROSS,7171,1,0,10.732617230086099,0.1813985747206921,0.11471948167348067,0.13148965070145735,0.003124304389631405,-0.00170227183586821,0.15915210126617538,0.2938870867912285,-0.24210135576307293,0.05688110273897942,0.19723452337956718,0.3945364014152366,-0.22068470066903023,0.05783837893450125,0.1831008465565603,0.66
R-CROSS,7171,2,0,11.703930382527705,0.03627270793726112,0.1206901933890574,0.02978477542907143,0.0974286645848288,0.05639243835641418,0.1692416057405413,0.3791515394995437,-0.17207115449617305,0.06404951835533204,0.25094443509329084,0.4461103604450302,-0.3060417680705189,0.05664067503372536,-0.020119730419153062,0.65
R-CROSS,7171,3,0,10.530624996637133,0.2043124161349894,-0.32647572253863544,-0.2713739413066101,-0.20323420543071968,0.015743209918770498,0.1865818018610804,0.4092140268950309,-0.22225204176020455,0.05139907296565314,0.26208063473120863,0.5635743231268097,-0.2731779971051294,-0.3778747955042886,0.18856920621621892,0.02
