seed,fold,model,modality,family,size,inner_r,inner_rmse,inner_mae,inner_lambda,selected,n_edges
7171,4,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.14995980027848682,18.78102511700994,14.682331615314315,0.001,0,565
7171,4,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.15204546725762602,11.523813598091882,9.40087924628869,1000.0,0,1105
7171,4,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.15724277031820522,12.410646271317322,9.821864451637564,100.0,1,1620
7272,0,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.20350433490076747,11.070659707037887,8.947584466560555,100.0,0,100
7272,0,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.20386261167456265,10.980318340406363,8.915919137716704,1000.0,0,300
7272,0,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.21560741197868913,10.98977852264376,8.95615072580413,1000.0,0,600
7272,0,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.24118140357385945,10.972983261112411,8.965929824711441,1000.0,0,1200
7272,0,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.25597836112753847,11.354491105651208,9.232069652445247,100.0,0,565
7272,0,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.29541772705793856,10.728569678074791,8.778258300233947,1000.0,1,1105
7272,0,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.289498614420578,10.79378844474038,8.855461406989837,1000.0,0,1620
7272,0,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.02150357491845823,11.333227430612999,9.30623475402818,1000.0,0,100
7272,0,R-MATCHED/N-MATCHED,sc,direct_topk,300,0.09311723557821314,11.266477139348195,9.319445884808928,1000.0,0,300
7272,0,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.029051151109702182,11.60166481674406,9.538217285141778,1000.0,0,600
7272,0,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.09001810638517618,11.5447074527763,9.486708764945975,1000.0,0,1200
7272,0,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.1919371714336847,11.056354031263478,9.132670386135448,1000.0,1,565
7272,0,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.12984244032416273,11.368222625884625,9.294723492482841,1000.0,0,1105
7272,0,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.11719425581697268,11.47033349008457,9.354218411080124,1000.0,0,1620
7272,1,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.12069505028447851,14.04143380020306,11.340525013436753,0.001,0,100
7272,1,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.08466627538266852,13.847374737435034,11.000896666803502,10.0,0,300
7272,1,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.09081575402471466,11.711916983098327,9.419941508918967,1000.0,0,600
7272,1,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.1404260355972462,11.717640941635187,9.42655172984359,1000.0,1,1200
7272,1,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.11277726797085078,12.652829959594092,10.253074005709934,100.0,0,565
7272,1,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.12564488641176672,11.753873693378583,9.524020250280394,1000.0,0,1105
7272,1,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.13104230044267187,11.858515690818914,9.618921995150343,1000.0,0,1620
