model,seed,fold,n,pearson,rmse,mae
N-SHUFFLED,7575,3,102,0.2762562830924057,12.682637934121692,10.200196662848862
N-RANDOM,7575,3,102,0.29541436420330414,12.611289887123517,10.103073016176388
R0,7575,4,102,0.19865806005236464,11.052351814752907,9.202330262833625
R-MATCHED,7575,4,102,0.2012626408324636,10.897346651777221,9.087389029200951
R-CROSS,7575,4,102,0.1667590844304338,11.057886591258404,9.276729857769856
R-SHUFFLED,7575,4,102,0.19865806005236464,11.052351814752907,9.202330262833625
R-RANDOM,7575,4,102,0.1983454621992683,10.894434493935625,9.097535208627617
N-MATCHED,7575,4,102,0.19456043345947718,10.928272072506205,9.078884286166355
N-CROSS,7575,4,102,0.17771686142879128,10.941982621760843,9.17253784207203
N-SHUFFLED,7575,4,102,0.19865806005236464,11.052351814752907,9.202330262833625
N-RANDOM,7575,4,102,0.19278763248043354,11.036464490514538,9.168520327461543
