model,seed,fold,n,pearson,rmse,mae
N-SHUFFLED,7474,1,102,0.289259153962545,11.04529652533808,8.76554675703587
N-RANDOM,7474,1,102,0.29299722103253734,10.936356666988788,8.608958002726492
R0,7474,2,102,0.23699444185464785,11.926218738132546,9.908269972942346
R-MATCHED,7474,2,102,0.2656224577286511,11.486252825369617,9.486251906869468
R-CROSS,7474,2,102,0.30195338915025055,11.295647100135367,9.354937300567535
R-SHUFFLED,7474,2,102,0.2336252704269919,11.69534948667811,9.657277993445247
R-RANDOM,7474,2,102,0.280492222531498,11.401919920921449,9.405800681749692
N-MATCHED,7474,2,102,0.2745946477009271,11.397395332117265,9.352855784885861
N-CROSS,7474,2,102,0.2805956239970983,11.386651248970907,9.404177252035067
N-SHUFFLED,7474,2,102,0.2505791739624985,11.516597133649134,9.409699297311942
N-RANDOM,7474,2,102,0.26904622559517266,11.449592751135995,9.4141988333031
R0,7474,3,102,0.1380505420462348,10.566293399382875,8.778131426450912
R-MATCHED,7474,3,102,0.16996133376819444,10.247379974899625,8.504986136412976
R-CROSS,7474,3,102,0.15939146670856041,10.211480888957214,8.513805939950922
R-SHUFFLED,7474,3,102,0.15609342550487765,10.296762624690007,8.554840091017846
R-RANDOM,7474,3,102,0.1745288347380055,10.187533276221783,8.496474591970761
N-MATCHED,7474,3,102,0.1615278170078967,10.369008032468427,8.5774829348939
N-CROSS,7474,3,102,0.1555863348898807,10.200429928987056,8.523232577451182
N-SHUFFLED,7474,3,102,0.1553104123543345,10.27693920143903,8.55356679680207
N-RANDOM,7474,3,102,0.17367179992338694,10.036382925314491,8.4373612543066
R0,7474,4,102,0.2942787776932776,12.12050717337474,9.649699487608858
R-MATCHED,7474,4,102,0.2942553757452355,12.109155216264906,9.646159194867277
R-CROSS,7474,4,102,0.298457422259345,12.06504256207613,9.643220188006007
R-SHUFFLED,7474,4,102,0.2979090225667196,12.035722299583462,9.596574663971023
R-RANDOM,7474,4,102,0.250178466541227,12.24008468569649,9.773089760253999
N-MATCHED,7474,4,102,0.2942553757452355,12.109155216264906,9.646159194867277
N-CROSS,7474,4,102,0.29905360307019774,12.044229834906755,9.633640560692305
N-SHUFFLED,7474,4,102,0.28907629172272564,12.08334716900614,9.60756508389263
N-RANDOM,7474,4,102,0.24946069869102327,12.220489078084242,9.754010270598222
R0,7575,0,102,0.27287780965109376,10.893342945939501,8.779210450226927
R-MATCHED,7575,0,102,0.2759815077625749,10.871942333278833,8.760946557623448
R-CROSS,7575,0,102,0.2160971748954046,11.079029895897987,8.94460818527467
R-SHUFFLED,7575,0,102,0.27287780965109376,10.893342945939501,8.779210450226927
R-RANDOM,7575,0,102,0.27618225127754314,10.86618505688103,8.758322870760727
N-MATCHED,7575,0,102,0.27287780965109376,10.893342945939501,8.779210450226927
N-CROSS,7575,0,102,0.23395905005172035,10.981038058227885,8.86888170458838
N-SHUFFLED,7575,0,102,0.27287780965109376,10.893342945939501,8.779210450226927
N-RANDOM,7575,0,102,0.2785849588262934,10.80849967017252,8.79993920548872
R0,7575,1,102,0.18513552650803486,10.348282185979997,8.723513551198531
R-MATCHED,7575,1,102,0.18513552650803486,10.348282185979997,8.723513551198531
R-CROSS,7575,1,102,0.18863558498638797,10.297907179862698,8.678194849115298
R-SHUFFLED,7575,1,102,0.17539358082810924,10.306420139916206,8.674804731438684
R-RANDOM,7575,1,102,0.07431166166848296,12.394695454629968,10.047776673599758
N-MATCHED,7575,1,102,0.18513552650803486,10.348282185979997,8.723513551198531
N-CROSS,7575,1,102,0.18745623936417422,10.290673874051514,8.665444910222261
N-SHUFFLED,7575,1,102,0.18463944799838822,10.300708545534079,8.674509215029495
N-RANDOM,7575,1,102,0.07192696516450078,12.656335039245093,10.202429457535274
R0,7575,2,102,0.2398697420952895,11.803286454657666,9.263269965021486
R-MATCHED,7575,2,102,0.2398697420952895,11.803286454657666,9.263269965021486
R-CROSS,7575,2,102,0.2419623846923044,11.7858358841304,9.259694210804309
R-SHUFFLED,7575,2,102,0.25224992361575327,11.704127628276868,9.276297388340195
R-RANDOM,7575,2,102,0.2398697420952895,11.803286454657666,9.263269965021486
N-MATCHED,7575,2,102,0.2398697420952895,11.803286454657666,9.263269965021486
N-CROSS,7575,2,102,0.2507407952630674,11.727937049675695,9.255703676323378
N-SHUFFLED,7575,2,102,0.255260050953947,11.68582989818907,9.286427327170504
N-RANDOM,7575,2,102,0.2398697420952895,11.803286454657666,9.263269965021486
R0,7575,3,102,0.29541436420330414,12.611289887123517,10.103073016176388
R-MATCHED,7575,3,102,0.29541436420330414,12.611289887123517,10.103073016176388
R-CROSS,7575,3,102,0.29541436420330414,12.611289887123517,10.103073016176388
R-SHUFFLED,7575,3,102,0.22276884366219232,12.86128753816209,10.325508537638845
R-RANDOM,7575,3,102,0.29541436420330414,12.611289887123517,10.103073016176388
N-MATCHED,7575,3,102,0.2963378872240209,12.602650270873909,10.098791202677864
N-CROSS,7575,3,102,0.29541436420330414,12.611289887123517,10.103073016176388
