model,rank,roi_index,roi_label,mean_importance
N-MATCHED,33,102,Cerebelum_7b_R,7.726010498054159
N-MATCHED,34,84,Temporal_Pole_Sup_R,7.484287119073601
N-MATCHED,35,32,Cingulum_Ant_R,7.3592059712614954
N-MATCHED,36,91,Cerebelum_Crus1_L,7.041019396434234
N-MATCHED,37,77,Thalamus_L,6.523229027780096
N-MATCHED,38,25,Frontal_Med_Orb_L,6.5034422129493885
N-MATCHED,39,78,Thalamus_R,6.496113052306949
N-MATCHED,40,115,Vermis_9,6.037525001847532
N-MATCHED,41,13,Frontal_Inf_Tri_L,5.8805245590071165
N-MATCHED,42,106,Cerebelum_9_R,5.800010775624474
N-MATCHED,43,5,Frontal_Sup_Orb_L,5.54857395532029
N-MATCHED,44,94,Cerebelum_Crus2_R,5.131475821695539
N-MATCHED,45,29,Insula_L,5.131078896812258
N-MATCHED,46,6,Frontal_Sup_Orb_R,4.86787729961225
N-MATCHED,47,111,Vermis_4_5,4.833269958814857
N-MATCHED,48,46,Cuneus_R,4.783553493361978
N-MATCHED,49,30,Insula_R,4.687497171805237
N-MATCHED,50,98,Cerebelum_4_5_R,4.615627169060552
N-MATCHED,51,22,Olfactory_R,4.572437508104609
N-MATCHED,52,86,Temporal_Mid_R,4.568558002007059
N-MATCHED,53,76,Pallidum_R,4.310514799155079
N-MATCHED,54,75,Pallidum_L,4.276122629845449
N-MATCHED,55,10,Frontal_Mid_Orb_R,4.124859723762877
N-MATCHED,56,45,Cuneus_L,4.069918690826899
N-MATCHED,57,96,Cerebelum_3_R,4.064448786409919
N-MATCHED,58,95,Cerebelum_3_L,3.9988963588228437
N-MATCHED,59,73,Putamen_L,3.8903019115785566
N-MATCHED,60,88,Temporal_Pole_Mid_R,3.8607250805225246
N-MATCHED,61,27,Rectus_L,3.8376579520611678
N-MATCHED,62,71,Caudate_L,3.8120855002494465
N-MATCHED,63,21,Olfactory_L,3.7745104947175356
N-MATCHED,64,74,Putamen_R,3.7447416161881244
N-MATCHED,65,90,Temporal_Inf_R,3.6544752163019334
N-MATCHED,66,16,Frontal_Inf_Orb_R,3.6331336602451896
N-MATCHED,67,19,Supp_Motor_Area_L,3.471455541741346
N-MATCHED,68,44,Calcarine_R,3.360317083192161
N-MATCHED,69,105,Cerebelum_9_L,3.359874477167066
N-MATCHED,70,20,Supp_Motor_Area_R,3.348024326351711
N-MATCHED,71,41,Amygdala_L,3.3263504700779456
N-MATCHED,72,89,Temporal_Inf_L,3.3082852362800623
N-MATCHED,73,72,Caudate_R,3.240937254720938
N-MATCHED,74,87,Temporal_Pole_Mid_L,3.134841394417709
N-MATCHED,75,26,Frontal_Med_Orb_R,3.1347457473062947
N-MATCHED,76,109,Vermis_1_2,3.1293113322996255
N-MATCHED,77,9,Frontal_Mid_Orb_L,3.1071826232138515
N-MATCHED,78,116,Vermis_10,3.096359863650816
N-MATCHED,79,42,Amygdala_R,3.0420923656799483
N-MATCHED,80,28,Rectus_R,2.968967487058842
N-MATCHED,81,51,Occipital_Mid_L,2.9096178524070115
N-MATCHED,82,79,Heschl_L,2.847120704652724
N-MATCHED,83,83,Temporal_Pole_Sup_L,2.804352380481862
N-MATCHED,84,24,Frontal_Sup_Medial_R,2.6989945675975537
N-MATCHED,85,23,Frontal_Sup_Medial_L,2.675208598683691
N-MATCHED,86,33,Cingulum_Mid_L,2.6440372587740066
N-MATCHED,87,40,ParaHippocampal_R,2.5739686816122114
N-MATCHED,88,43,Calcarine_L,2.570272189118822
N-MATCHED,89,36,Cingulum_Post_R,2.5589793540905603
N-MATCHED,90,34,Cingulum_Mid_R,2.488107854572001
N-MATCHED,91,48,Lingual_R,2.4777016531138054
N-MATCHED,92,58,Postcentral_R,2.386653025158321
N-MATCHED,93,54,Occipital_Inf_R,2.3678456736647644
N-MATCHED,94,38,Hippocampus_R,2.233565266441998
N-MATCHED,95,97,Cerebelum_4_5_L,2.196126200769073
N-MATCHED,96,110,Vermis_3,2.1904601448521235
N-MATCHED,97,37,Hippocampus_L,2.1524771203977133
N-MATCHED,98,1,Precentral_L,2.146647901650664
N-MATCHED,99,68,Precuneus_R,1.9002691565537568
N-MATCHED,100,15,Frontal_Inf_Orb_L,1.6933046006683719
N-MATCHED,101,2,Precentral_R,1.520882386144936
N-MATCHED,102,69,Paracentral_Lobule_L,1.4874975252972902
N-MATCHED,103,39,ParaHippocampal_L,1.4544641575499402
N-MATCHED,104,17,Rolandic_Oper_L,1.4440549371365432
N-MATCHED,105,57,Postcentral_L,1.4185032017114907
N-MATCHED,106,35,Cingulum_Post_L,1.4181567007526277
N-MATCHED,107,67,Precuneus_L,1.4107004467131032
N-MATCHED,108,18,Rolandic_Oper_R,1.393907290644314
N-MATCHED,109,70,Paracentral_Lobule_R,1.3643710436866858
N-MATCHED,110,47,Lingual_L,1.3179813970992083
N-MATCHED,111,55,Fusiform_L,1.2966534278524002
N-MATCHED,112,53,Occipital_Inf_L,1.2197508195564377
N-MATCHED,113,49,Occipital_Sup_L,1.1488160396045515
N-MATCHED,114,52,Occipital_Mid_R,1.1422779831287118
N-MATCHED,115,56,Fusiform_R,1.0847135167946957
N-MATCHED,116,50,Occipital_Sup_R,0.9885382665764525
