arch,seed,fold,matched,control,pearson_matched,pearson_control,delta_r
ridge,7373,2,R-MATCHED,R-RANDOM,0.19427715288762404,0.21928335913214847,-0.02500620624452443
ridge,7373,3,R-MATCHED,R-CROSS,0.24549024580977394,0.24029650352005133,0.005193742289722608
ridge,7373,3,R-MATCHED,R-SHUFFLED,0.24549024580977394,0.23623312203672542,0.00925712377304852
ridge,7373,3,R-MATCHED,R-RANDOM,0.24549024580977394,0.24419937440556777,0.0012908714042061675
ridge,7373,4,R-MATCHED,R-CROSS,0.3400913561540165,0.3298858631192425,0.010205493034773971
ridge,7373,4,R-MATCHED,R-SHUFFLED,0.3400913561540165,0.33522331767333546,0.004868038480681014
ridge,7373,4,R-MATCHED,R-RANDOM,0.3400913561540165,0.3370316171188842,0.0030597390351322917
ridge,7474,0,R-MATCHED,R-CROSS,0.2109279543118908,0.23166458988458719,-0.020736635572696394
ridge,7474,0,R-MATCHED,R-SHUFFLED,0.2109279543118908,0.15051842951021166,0.06040952480167913
ridge,7474,0,R-MATCHED,R-RANDOM,0.2109279543118908,0.17697083369042912,0.03395712062146167
ridge,7474,1,R-MATCHED,R-CROSS,0.29662182535983617,0.289259153962545,0.007362671397291187
ridge,7474,1,R-MATCHED,R-SHUFFLED,0.29662182535983617,0.289259153962545,0.007362671397291187
ridge,7474,1,R-MATCHED,R-RANDOM,0.29662182535983617,0.2921686565927736,0.0044531687670625875
ridge,7474,2,R-MATCHED,R-CROSS,0.2656224577286511,0.30195338915025055,-0.03633093142159943
ridge,7474,2,R-MATCHED,R-SHUFFLED,0.2656224577286511,0.2336252704269919,0.03199718730165921
ridge,7474,2,R-MATCHED,R-RANDOM,0.2656224577286511,0.280492222531498,-0.014869764802846908
ridge,7474,3,R-MATCHED,R-CROSS,0.16996133376819444,0.15939146670856041,0.01056986705963403
ridge,7474,3,R-MATCHED,R-SHUFFLED,0.16996133376819444,0.15609342550487765,0.013867908263316797
ridge,7474,3,R-MATCHED,R-RANDOM,0.16996133376819444,0.1745288347380055,-0.004567500969811067
ridge,7474,4,R-MATCHED,R-CROSS,0.2942553757452355,0.298457422259345,-0.004202046514109492
ridge,7474,4,R-MATCHED,R-SHUFFLED,0.2942553757452355,0.2979090225667196,-0.003653646821484058
ridge,7474,4,R-MATCHED,R-RANDOM,0.2942553757452355,0.250178466541227,0.04407690920400853
ridge,7575,0,R-MATCHED,R-CROSS,0.2759815077625749,0.2160971748954046,0.05988433286717032
ridge,7575,0,R-MATCHED,R-SHUFFLED,0.2759815077625749,0.27287780965109376,0.0031036981114811457
ridge,7575,0,R-MATCHED,R-RANDOM,0.2759815077625749,0.27618225127754314,-0.00020074351496823795
ridge,7575,1,R-MATCHED,R-CROSS,0.18513552650803486,0.18863558498638797,-0.0035000584783531075
ridge,7575,1,R-MATCHED,R-SHUFFLED,0.18513552650803486,0.17539358082810924,0.009741945679925618
ridge,7575,1,R-MATCHED,R-RANDOM,0.18513552650803486,0.07431166166848296,0.1108238648395519
ridge,7575,2,R-MATCHED,R-CROSS,0.2398697420952895,0.2419623846923044,-0.0020926425970149154
ridge,7575,2,R-MATCHED,R-SHUFFLED,0.2398697420952895,0.25224992361575327,-0.012380181520463773
ridge,7575,2,R-MATCHED,R-RANDOM,0.2398697420952895,0.2398697420952895,0.0
ridge,7575,3,R-MATCHED,R-CROSS,0.29541436420330414,0.29541436420330414,0.0
ridge,7575,3,R-MATCHED,R-SHUFFLED,0.29541436420330414,0.22276884366219232,0.07264552054111181
ridge,7575,3,R-MATCHED,R-RANDOM,0.29541436420330414,0.29541436420330414,0.0
ridge,7575,4,R-MATCHED,R-CROSS,0.2012626408324636,0.1667590844304338,0.03450355640202979
ridge,7575,4,R-MATCHED,R-SHUFFLED,0.2012626408324636,0.19865806005236464,0.002604580780098953
ridge,7575,4,R-MATCHED,R-RANDOM,0.2012626408324636,0.1983454621992683,0.0029171786331952942
