seed,fold,model,arch,prior,fc_family,fc_size,sc_family,sc_size,n_fc_edges,n_sc_edges,lambda_r_fc,lambda_r_sc,ratio_fc,ratio_sc,v_fc,alpha,abstained,runtime_s
7373,4,R-SHUFFLED,ridge,shuffled,direct_topk,100,direct_topk,100,100,100,10.0,100.0,0.0,0.0,0.3,0.15,0,6.5415520668029785
7373,4,R-RANDOM,ridge,random,direct_topk,600,roi_incident,5,600,565,100.0,1000.0,0.0,0.0,0.5,0.45,0,6.040096759796143
7373,4,N-MATCHED,ncr,matched,roi_incident,15,roi_incident,5,1620,565,0.1,0.1,1.0,0.1,0.5,0.05,0,29.13023042678833
7373,4,N-CROSS,ncr,cross,direct_topk,600,direct_topk,100,600,100,0.1,0.001,1.0,0.0,0.75,0.2,0,20.735613107681274
7373,4,N-SHUFFLED,ncr,shuffled,direct_topk,100,direct_topk,100,100,100,0.01,1.0,1.0,0.1,0.1,0.5,0,31.993745803833008
7373,4,N-RANDOM,ncr,random,direct_topk,600,roi_incident,5,600,565,0.1,1.0,1.0,0.3,0.5,0.45,0,25.287807941436768
7474,0,R-MATCHED,ridge,matched,roi_incident,15,direct_topk,1200,1620,1200,1000.0,1000.0,0.0,0.0,0.75,0.55,0,3.628459930419922
7474,0,R-CROSS,ridge,cross,roi_incident,10,direct_topk,100,1105,100,1000.0,100.0,0.0,0.0,0.6,0.5,0,6.43532657623291
7474,0,R-SHUFFLED,ridge,shuffled,direct_topk,100,roi_incident,5,100,565,1.0,1000.0,0.0,0.0,0.65,0.35,0,4.468837022781372
7474,0,R-RANDOM,ridge,random,roi_incident,15,roi_incident,5,1620,565,100.0,0.001,0.0,0.0,1.0,0.05,0,4.511103868484497
7474,0,N-MATCHED,ncr,matched,roi_incident,15,direct_topk,1200,1620,1200,1000.0,1.0,0.0,1.0,0.75,0.55,0,37.7609338760376
7474,0,N-CROSS,ncr,cross,roi_incident,10,direct_topk,100,1105,100,1000.0,100.0,0.0,0.0,0.6,0.55,0,36.09886717796326
7474,0,N-SHUFFLED,ncr,shuffled,direct_topk,100,roi_incident,5,100,565,0.01,10.0,1.0,0.1,0.7,0.4,0,32.37701606750488
7474,0,N-RANDOM,ncr,random,roi_incident,15,roi_incident,5,1620,565,0.1,0.001,1.0,0.0,1.0,0.0,1,24.24851942062378
7474,1,R-MATCHED,ridge,matched,roi_incident,15,direct_topk,1200,1620,1200,1000.0,1000.0,0.0,0.0,1.0,0.6,0,3.5715157985687256
7474,1,R-CROSS,ridge,cross,roi_incident,5,direct_topk,600,565,600,100.0,1000.0,0.0,0.0,0.95,0.0,1,5.271731853485107
7474,1,R-SHUFFLED,ridge,shuffled,roi_incident,15,roi_incident,10,1620,1105,100.0,1000.0,0.0,0.0,1.0,0.0,1,5.235236644744873
7474,1,R-RANDOM,ridge,random,roi_incident,10,direct_topk,1200,1105,1200,1000.0,0.001,0.0,0.0,1.0,0.45,0,5.0089826583862305
7474,1,N-MATCHED,ncr,matched,roi_incident,15,direct_topk,1200,1620,1200,0.1,1.0,1.0,1.0,0.95,0.6,0,34.02588939666748
7474,1,N-CROSS,ncr,cross,roi_incident,5,direct_topk,600,565,600,0.1,1.0,1.0,1.0,0.9,0.1,0,24.097172498703003
7474,1,N-SHUFFLED,ncr,shuffled,roi_incident,15,roi_incident,10,1620,1105,0.1,1.0,0.1,1.0,1.0,0.0,1,27.50520133972168
7474,1,N-RANDOM,ncr,random,roi_incident,10,direct_topk,1200,1105,1200,0.1,0.001,1.0,1.0,1.0,0.45,0,26.01059579849243
7474,2,R-MATCHED,ridge,matched,direct_topk,1200,direct_topk,100,1200,100,1000.0,1000.0,0.0,0.0,0.75,0.45,0,3.438612937927246
7474,2,R-CROSS,ridge,cross,roi_incident,15,direct_topk,100,1620,100,1000.0,1000.0,0.0,0.0,0.8,0.7,0,4.266111135482788
