task,seed,fold,model,pearson,rmse,mae,oof_r,eta
WM,3030,0,A4,0.1881284608307208,10.768363643884808,8.431703603916548,0.3498259827420366,0.0
WM,3030,0,A5,0.1881284608307208,10.768363643884808,8.431703603916548,0.3498259827420366,0.0
WM,3030,0,A6,0.1881284608307208,10.768363643884808,8.431703603916548,0.3498259827420366,0.0
WM,3030,1,A0,0.43136735124004555,10.915403482300965,9.193405742281135,0.1825796152216808,
WM,3030,1,A1,0.26218061338363674,11.753548656020612,9.832321381272719,0.22073576261064487,0.45
WM,3030,1,A2,0.26218061338363674,11.753548656020612,9.832321381272719,0.22073576261064487,0.45
WM,3030,1,A3,0.4288702830538037,10.922084806831728,9.204266261695151,0.18279120234718338,0.2
WM,3030,1,A4,0.43136735124004555,10.915403482300965,9.193405742281135,0.1825796152216808,0.0
WM,3030,1,A5,0.42966383478888387,10.933420845408772,9.223312723532699,0.1831749133511148,0.25
WM,3030,1,A6,0.4287519564229048,11.088935855251878,9.312166415661643,0.1849096680406313,0.45
WM,3030,2,A0,0.1942496823180604,12.440166834549975,10.074172205715238,0.3228991436488955,
WM,3030,2,A1,0.1971664692164079,12.368430560638407,10.002332425166701,0.32343862496692694,0.05
WM,3030,2,A2,0.1971664692164079,12.368430560638407,10.002332425166701,0.32343862496692694,0.05
WM,3030,2,A3,0.1942496823180604,12.440166834549975,10.074172205715238,0.3228991436488955,0.0
WM,3030,2,A4,0.1942496823180604,12.440166834549975,10.074172205715238,0.3228991436488955,0.0
WM,3030,2,A5,0.19421740414524774,12.200187882425718,9.837615105482987,0.325097658074395,0.25
WM,3030,2,A6,0.1942496823180604,12.440166834549975,10.074172205715238,0.3228991436488955,0.0
WM,3030,3,A0,0.21391361984141197,11.32423863430081,8.910147851689967,0.23650221172413893,
WM,3030,3,A1,0.21391361984141197,11.32423863430081,8.910147851689967,0.23650221172413893,0.0
WM,3030,3,A2,0.21391361984141197,11.32423863430081,8.910147851689967,0.23650221172413893,0.0
WM,3030,3,A3,0.21391361984141197,11.32423863430081,8.910147851689967,0.23650221172413893,0.0
WM,3030,3,A4,0.21391361984141197,11.32423863430081,8.910147851689967,0.23650221172413893,0.0
WM,3030,3,A5,0.21391361984141197,11.32423863430081,8.910147851689967,0.23650221172413893,0.0
WM,3030,3,A6,0.21391361984141197,11.32423863430081,8.910147851689967,0.23650221172413893,0.0
WM,3030,4,A0,0.3465303173604788,10.672280024636056,8.817482128958789,0.21908587647281297,
WM,3030,4,A1,0.35851735236530774,10.607417427973711,8.814016484567777,0.2220172078204514,0.15000000000000002
WM,3030,4,A2,0.35851735236530774,10.607417427973711,8.814016484567777,0.2220172078204514,0.15000000000000002
WM,3030,4,A3,0.3465303173604788,10.672280024636056,8.817482128958789,0.21908587647281297,0.0
WM,3030,4,A4,0.3465303173604788,10.672280024636056,8.817482128958789,0.21908587647281297,0.0
WM,3030,4,A5,0.3465303173604788,10.672280024636056,8.817482128958789,0.21908587647281297,0.0
WM,3030,4,A6,0.3465303173604788,10.672280024636056,8.817482128958789,0.21908587647281297,0.0
FI,2727,0,A0,0.521045542166269,4.472748048325734,3.7788783841865703,0.2677933077049569,
FI,2727,0,A1,0.521045542166269,4.472748048325734,3.7788783841865703,0.2677933077049569,0.0
FI,2727,0,A2,0.521045542166269,4.472748048325734,3.7788783841865703,0.2677933077049569,0.0
FI,2727,0,A3,0.521045542166269,4.472748048325734,3.7788783841865703,0.2677933077049569,0.0
FI,2727,0,A4,0.521045542166269,4.472748048325734,3.7788783841865703,0.2677933077049569,0.0
FI,2727,0,A5,0.5231241965513547,4.6062645311969845,3.8955140012285545,0.2692534023070804,0.30000000000000004
FI,2727,0,A6,0.521045542166269,4.472748048325734,3.7788783841865703,0.2677933077049569,0.0
FI,2727,1,A0,0.32035839987996984,4.760631914668948,4.062908054957602,0.3810188036296113,
FI,2727,1,A1,0.3278909865248861,4.729623387783891,4.048981738946585,0.38140468461016697,0.05
FI,2727,1,A2,0.3278909865248861,4.729623387783891,4.048981738946585,0.38140468461016697,0.05
FI,2727,1,A3,0.32035839987996984,4.760631914668948,4.062908054957602,0.3810188036296113,0.0
FI,2727,1,A4,0.32035839987996984,4.760631914668948,4.062908054957602,0.3810188036296113,0.0
FI,2727,1,A5,0.32340540199779944,4.737866114323112,4.055644805165357,0.38118889886340407,0.05
FI,2727,1,A6,0.32035839987996984,4.760631914668948,4.062908054957602,0.3810188036296113,0.0
FI,2727,2,A0,0.31627190207726763,4.465094054477431,3.70311729674636,0.31850531093716056,
FI,2727,2,A1,0.2877091124399216,4.495201832494869,3.758513237350035,0.32301298055137184,0.1
FI,2727,2,A2,0.2877091124399216,4.495201832494869,3.758513237350035,0.32301298055137184,0.1
FI,2727,2,A3,0.31627190207726763,4.465094054477431,3.70311729674636,0.31850531093716056,0.0
FI,2727,2,A4,0.31627190207726763,4.465094054477431,3.70311729674636,0.31850531093716056,0.0
FI,2727,2,A5,0.31841321697138736,4.407227852645753,3.7075337043180947,0.32495793225084485,0.25
FI,2727,2,A6,0.3169085639545709,4.424509556283771,3.7015426607790394,0.31903839831488906,0.15000000000000002
FI,2727,3,A0,0.37472550202701044,4.665781238366813,3.973767501856482,0.2830547353766698,
FI,2727,3,A1,0.34864373282569977,4.709336365024496,4.001798903969815,0.30204526933923503,0.2
FI,2727,3,A2,0.34864373282569977,4.709336365024496,4.001798903969815,0.30204526933923503,0.2
FI,2727,3,A3,0.37472550202701044,4.665781238366813,3.973767501856482,0.2830547353766698,0.0
FI,2727,3,A4,0.37472550202701044,4.665781238366813,3.973767501856482,0.2830547353766698,0.0
FI,2727,3,A5,0.360247208397961,4.683007603297349,3.967390873551091,0.28570835589123034,0.15000000000000002
FI,2727,3,A6,0.3700451664856922,4.675726107599276,3.9720864532384104,0.2834115138210279,0.05
FI,2727,4,A0,0.2088389033046174,4.895189927490017,3.900369023418268,0.3570720049796216,
FI,2727,4,A1,0.2088389033046174,4.895189927490017,3.900369023418268,0.3570720049796216,0.0
FI,2727,4,A2,0.2088389033046174,4.895189927490017,3.900369023418268,0.3570720049796216,0.0
FI,2727,4,A3,0.2088389033046174,4.895189927490017,3.900369023418268,0.3570720049796216,0.0
FI,2727,4,A4,0.2088389033046174,4.895189927490017,3.900369023418268,0.3570720049796216,0.0
FI,2727,4,A5,0.2088389033046174,4.895189927490017,3.900369023418268,0.3570720049796216,0.0
FI,2727,4,A6,0.2088389033046174,4.895189927490017,3.900369023418268,0.3570720049796216,0.0
FI,2828,0,A0,0.4015524586947833,4.381914388607988,3.7016260706123476,0.3189518007494393,
FI,2828,0,A1,0.4015524586947833,4.381914388607988,3.7016260706123476,0.3189518007494393,0.0
FI,2828,0,A2,0.4015524586947833,4.381914388607988,3.7016260706123476,0.3189518007494393,0.0
FI,2828,0,A3,0.4015524586947833,4.381914388607988,3.7016260706123476,0.3189518007494393,0.0
FI,2828,0,A4,0.4015524586947833,4.381914388607988,3.7016260706123476,0.3189518007494393,0.0
FI,2828,0,A5,0.4031774826968728,4.386764148659608,3.7205385081741986,0.31950646820594486,0.1
FI,2828,0,A6,0.4045453603896277,4.379241700290306,3.708404463549132,0.3190740785844234,0.05
FI,2828,1,A0,0.3691915831996053,4.313026674133941,3.681622591842975,0.331905996168381,
FI,2828,1,A1,0.37015372750284514,4.297591488585307,3.682823493809606,0.33561285195771656,0.1
FI,2828,1,A2,0.37015372750284514,4.297591488585307,3.682823493809606,0.33561285195771656,0.1
FI,2828,1,A3,0.3691915831996053,4.313026674133941,3.681622591842975,0.331905996168381,0.0
FI,2828,1,A4,0.3691915831996053,4.313026674133941,3.681622591842975,0.331905996168381,0.0
FI,2828,1,A5,0.37632989337844247,4.287108577056114,3.6743181010704937,0.332152375882246,0.1
FI,2828,1,A6,0.3745151222528553,4.291029996750198,3.6774380655875336,0.3325668331488459,0.1
FI,2828,2,A0,0.22892950598255107,5.114261299829577,4.181494276040017,0.39136812913613195,
FI,2828,2,A1,0.22892950598255107,5.114261299829577,4.181494276040017,0.39136812913613195,0.0
FI,2828,2,A2,0.22892950598255107,5.114261299829577,4.181494276040017,0.39136812913613195,0.0
FI,2828,2,A3,0.22892950598255107,5.114261299829577,4.181494276040017,0.39136812913613195,0.0
FI,2828,2,A4,0.22892950598255107,5.114261299829577,4.181494276040017,0.39136812913613195,0.0
FI,2828,2,A5,0.22943067323020272,5.0830868528400845,4.158795113383682,0.3920189558559835,0.1
FI,2828,2,A6,0.22892950598255107,5.114261299829577,4.181494276040017,0.39136812913613195,0.0
FI,2828,3,A0,0.3023481361796737,4.557924768851798,3.639350282234786,0.3646630925387063,
FI,2828,3,A1,0.3021539075162659,4.496552539374416,3.630650232463843,0.37064264359526633,0.15000000000000002
FI,2828,3,A2,0.3021539075162659,4.496552539374416,3.630650232463843,0.37064264359526633,0.15000000000000002
FI,2828,3,A3,0.30137809329188614,4.505771740894557,3.6250121875065084,0.3649576447699133,0.1
FI,2828,3,A4,0.3023481361796737,4.557924768851798,3.639350282234786,0.3646630925387063,0.0
FI,2828,3,A5,0.3023481361796737,4.557924768851798,3.639350282234786,0.3646630925387063,0.0
FI,2828,3,A6,0.3023481361796737,4.557924768851798,3.639350282234786,0.3646630925387063,0.0
FI,2828,4,A0,0.4217431381806751,4.8050624829979816,4.094667017658071,0.34128628881044293,
FI,2828,4,A1,0.4201912242647758,4.821948161328803,4.128061861992964,0.3418818114965607,0.1
FI,2828,4,A2,0.4201912242647758,4.821948161328803,4.128061861992964,0.3418818114965607,0.1
FI,2828,4,A3,0.4217431381806751,4.8050624829979816,4.094667017658071,0.34128628881044293,0.0
FI,2828,4,A4,0.4217431381806751,4.8050624829979816,4.094667017658071,0.34128628881044293,0.0
FI,2828,4,A5,0.42315584772170356,4.878233644475084,4.19915542744576,0.34795535123927285,0.35000000000000003
FI,2828,4,A6,0.4022021351165503,4.910298265079061,4.228475566850522,0.35047914696281224,0.35000000000000003
FI,2929,0,A0,0.44164259745330364,4.402278854425782,3.615046731975639,0.3605844141796293,
FI,2929,0,A1,0.44853181303150735,4.394192570961667,3.6192984867582316,0.36460966141345086,0.1
FI,2929,0,A2,0.44853181303150735,4.394192570961667,3.6192984867582316,0.36460966141345086,0.1
FI,2929,0,A3,0.44164259745330364,4.402278854425782,3.615046731975639,0.3605844141796293,0.0
FI,2929,0,A4,0.44164259745330364,4.402278854425782,3.615046731975639,0.3605844141796293,0.0
