task,seed,fold,model,pearson,rmse,mae,oof_r,eta
FI,3030,0,A6,0.4246954062040961,4.601338792724664,3.819192291572647,0.2435845090010121,0.1
FI,3030,1,A0,0.43326150499095595,4.436422266269517,3.7124559993767217,0.35068066194491554,
FI,3030,1,A1,0.4324446589086617,4.441888520805095,3.738956580494022,0.35197296706805004,0.05
FI,3030,1,A2,0.4324446589086617,4.441888520805095,3.738956580494022,0.35197296706805004,0.05
FI,3030,1,A3,0.43326150499095595,4.436422266269517,3.7124559993767217,0.35068066194491554,0.0
FI,3030,1,A4,0.43326150499095595,4.436422266269517,3.7124559993767217,0.35068066194491554,0.0
FI,3030,1,A5,0.4108006134353074,4.546217662653041,3.91272040628579,0.3752364933944945,0.35000000000000003
FI,3030,1,A6,0.42595986737439884,4.470641667807167,3.791477222630076,0.35344437364501774,0.15000000000000002
FI,3030,2,A0,0.2895187584423556,3.8714588101100493,3.034448667086582,0.3357320689404383,
FI,3030,2,A1,0.292198221346724,3.864453335791908,3.038478862457234,0.33919223588899605,0.05
FI,3030,2,A2,0.292198221346724,3.864453335791908,3.038478862457234,0.33919223588899605,0.05
FI,3030,2,A3,0.2895187584423556,3.8714588101100493,3.034448667086582,0.3357320689404383,0.0
FI,3030,2,A4,0.2895187584423556,3.8714588101100493,3.034448667086582,0.3357320689404383,0.0
FI,3030,2,A5,0.2895187584423556,3.8714588101100493,3.034448667086582,0.3357320689404383,0.0
FI,3030,2,A6,0.2895187584423556,3.8714588101100493,3.034448667086582,0.3357320689404383,0.0
FI,3030,3,A0,0.26501287208542434,4.770703811313436,4.160528864463004,0.37843575730944723,
FI,3030,3,A1,0.26501287208542434,4.770703811313436,4.160528864463004,0.37843575730944723,0.0
FI,3030,3,A2,0.26501287208542434,4.770703811313436,4.160528864463004,0.37843575730944723,0.0
FI,3030,3,A3,0.264436454777275,4.7499164772407125,4.151387908953962,0.37878819658097074,0.1
FI,3030,3,A4,0.26501287208542434,4.770703811313436,4.160528864463004,0.37843575730944723,0.0
FI,3030,3,A5,0.26501287208542434,4.770703811313436,4.160528864463004,0.37843575730944723,0.0
FI,3030,3,A6,0.26687229130802437,4.74485364390034,4.14295661504397,0.3789839308034654,0.1
FI,3030,4,A0,0.41597529320005056,4.9252234170652525,4.108628412863888,0.26093381105742774,
FI,3030,4,A1,0.4158117382917459,4.975901799915592,4.214128719438601,0.2616668423084703,0.30000000000000004
FI,3030,4,A2,0.4158117382917459,4.975901799915592,4.214128719438601,0.2616668423084703,0.30000000000000004
FI,3030,4,A3,0.4128233491193871,4.999524309516447,4.230208959284863,0.26145060320076974,0.35000000000000003
FI,3030,4,A4,0.41585644409121975,4.927601390666612,4.124434680757706,0.2609391048873395,0.05
FI,3030,4,A5,0.4208165827707445,4.985627279262758,4.233387357809201,0.26393636666958176,0.35000000000000003
FI,3030,4,A6,0.4137370023583496,5.181449583522907,4.410098027001669,0.2683414513288155,0.7000000000000001
