task,control_prior,control_display,seed,fp_r_matched,fp_r_control,fp_delta_r,fused_r_matched,fused_r_control,fused_delta_r,fused_rmse_matched,fused_rmse_control,fused_mae_matched,fused_mae_control
fluid_intelligence,random,Random,0,0.21692381117798248,0.1948696459523748,-0.022054165225607686,0.3723431448993256,0.3696783266869407,-0.0026648182123848786,4.54174907823141,4.547173802131483,3.769603864018346,3.7781317948379702
fluid_intelligence,random,Random,1,0.24434022958064866,0.23094631789571657,-0.013393911684932074,0.3438194451306792,0.33841416144784986,-0.005405283682829387,4.645030622670528,4.6571476236460825,3.849290010725935,3.8669364775851696
fluid_intelligence,random,Random,2,0.24447127652042872,0.23320249856962785,-0.01126877795080088,0.3964566940372961,0.39841635499085537,0.0019596609535592726,4.5158433336066635,4.513568510745399,3.7301554072724734,3.7287611040787056
fluid_intelligence,random,Random,3,0.20957890839287185,0.2031034367484546,-0.006475471644417255,0.34393099340023653,0.3450973129944302,0.0011663195941935933,4.629744166256099,4.626080336150077,3.7912634211175087,3.7850172750247544
fluid_intelligence,random,Random,4,0.23770049404420387,0.2258728956615657,-0.01182759838263816,0.35869657363698826,0.35563793635480295,-0.003058637282185317,4.5819904762981,4.587471986643043,3.8044520137347524,3.8126232973854615
fluid_intelligence,random,Random,5,0.22938938251564517,0.20817777061586673,-0.02121161189977843,0.3605802366582141,0.35738807866635575,-0.0031921579918583465,4.580055606409138,4.585956643522104,3.7959931399212294,3.798199700811528
fluid_intelligence,random,Random,6,0.2131530680197724,0.18776479236791604,-0.025388275651856397,0.3789107695634521,0.36738913906208653,-0.011521630501365654,4.532700202424433,4.559587029505981,3.759108993181697,3.783692585170427
fluid_intelligence,random,Random,7,0.20557415088228223,0.2085557494927824,0.002981598610500172,0.37535963206509604,0.37534816594996323,-1.1466115132807708e-05,4.544622998134827,4.5453488947477485,3.774394353936146,3.7713744339333646
fluid_intelligence,random,Random,8,0.1960446453226305,0.18087054562595398,-0.015174099696676538,0.3441559758794248,0.3434029383290202,-0.0007530375504045839,4.646597514711924,4.647327588347819,3.849254104858099,3.8518078001513323
fluid_intelligence,random,Random,9,0.24139234733908355,0.21486202482599853,-0.026530322513084993,0.4260603793225286,0.4223997430528691,-0.0036606362696596007,4.4609989263849785,4.4704190746364905,3.705810132726871,3.7150446804606694
