task,seed,outer_fold,control_prior,control_display,lambda_fc,lambda_l,fp_r_matched,fp_r_control,fp_delta_r,fp_rmse_matched,fp_rmse_control,fp_mae_matched,fp_mae_control,fused_r_matched,fused_r_control,fused_delta_r,fused_rmse_matched,fused_rmse_control,fused_mae_matched,fused_mae_control,w_fp,w_sc
working_memory,5,1,cross_task,Cross-task,0.001,5.0,0.2936326690026423,0.22471784305960318,-0.0689148259430391,12.796207729862349,13.160026089197997,10.34666543537699,10.840991088389977,0.2746246616571612,0.20980615677098835,-0.06481850488617286,11.932456792040673,12.268323288144412,9.64622485205893,10.032324019951282,0.6,0.4
working_memory,5,2,cross_task,Cross-task,0.1,0.5,0.10166614695371652,0.09720259012796349,-0.004463556825753029,12.246506738994956,12.63152946324825,9.498303055683715,9.815666352989641,0.12406477745024741,0.11936045332914809,-0.004704324121099321,11.376870153468499,11.60929301753079,8.979381102497708,9.27289503917679,0.75,0.25
working_memory,5,3,cross_task,Cross-task,1.0,0.03,0.3579507883241102,0.337212738457873,-0.02073804986623723,10.752939817339259,10.83744883191794,8.983820811578104,8.996491317482029,0.1875032429170714,0.17941613740243542,-0.008087105514635984,11.580887884601268,11.615519554215677,9.480523336670482,9.496326905417305,0.45,0.55
working_memory,5,4,cross_task,Cross-task,0.1,0.5,0.18056813808938518,0.17103805421640308,-0.009530083872982098,11.8023932799249,11.787515745384542,9.71110469585203,9.72716139503792,0.18056813808938518,0.17103805421640308,-0.009530083872982098,11.8023932799249,11.787515745384542,9.71110469585203,9.72716139503792,1.0,0.0
working_memory,6,0,cross_task,Cross-task,0.1,5.0,0.27504899250259457,0.20490264539237799,-0.07014634711021658,11.682543308145332,12.168356991951166,9.520862411548872,10.09722245929488,0.28265691146151856,0.21336037359968524,-0.06929653786183332,11.510909211860989,11.954704865060348,9.372086010307848,9.903843867788439,0.9,0.1
working_memory,6,1,cross_task,Cross-task,0.1,1.0,0.22404911402418864,0.18682262548145126,-0.037226488542737385,11.130827278027944,11.339961717956422,8.985771628449557,9.14051317978617,0.26878995719263116,0.23547313778673942,-0.033316819405891734,10.353139599257336,10.527387349354836,8.349787469810929,8.519583514633489,0.7,0.3
working_memory,6,2,cross_task,Cross-task,1.0,0.5,0.05202186871928727,0.04029354599007813,-0.011728322729209137,12.099340330756387,12.155356319492462,10.315761537245233,10.358214575787457,0.049166850901329134,0.038165750286598445,-0.01100110061473069,12.067960598875366,12.116682721036414,10.287462659548288,10.334965253661913,0.9,0.1
working_memory,6,3,cross_task,Cross-task,0.1,2.0,0.35264776293180855,0.3343460965171128,-0.018301666414695772,10.41992012721781,10.477672867766422,7.932686806661072,8.16608218039395,0.3607118627179159,0.3432901499190609,-0.01742171279885496,10.19578263682978,10.252735811910426,7.735539042249778,7.873678779056488,0.85,0.15
working_memory,6,4,cross_task,Cross-task,1.0,2.0,0.47159022453993704,0.4337200068977439,-0.037870217642193116,11.452483165351689,11.559867276736222,9.523603452066974,9.629329137251547,0.2874309639900461,0.2777256670072564,-0.009705296982789657,11.949097727095621,11.987398794481686,9.75227393493625,9.792004907033137,0.35,0.65
working_memory,7,0,cross_task,Cross-task,1.0,0.1,0.24603007409985894,0.26170004140366554,0.015669967303806598,11.621458476272425,11.56583960157345,8.907703391561562,8.931214356960961,0.24603007409985894,0.26170004140366554,0.015669967303806598,11.621458476272425,11.56583960157345,8.907703391561562,8.931214356960961,1.0,0.0
working_memory,7,1,cross_task,Cross-task,1.0,0.03,0.329880986687533,0.2984994115094067,-0.03138157517812634,9.895683378312526,10.057672712793513,8.202919484163392,8.391270412781676,0.275503911688174,0.2513650856931975,-0.02413882599497652,10.100479512101948,10.205421907690411,8.44148082114078,8.541229756606478,0.75,0.25
working_memory,7,2,cross_task,Cross-task,1.0,1.0,0.18463604819094556,0.1662224161490982,-0.018413632041847372,11.600432371632282,11.66505111049374,9.343775070461874,9.420867047816007,0.21132297277701084,0.20144042279772417,-0.00988254997928667,11.48414441591198,11.510937027837773,9.259862687171598,9.29233756976511,0.65,0.35
working_memory,7,3,cross_task,Cross-task,0.1,5.0,0.3637858285469233,0.33084872676817423,-0.03293710177874909,11.134368239196766,11.382966155101922,9.52656269971566,9.566641401795886,0.30007489872892557,0.27369885692805385,-0.02637604180087172,11.26043542166212,11.399051409357789,9.501884822988119,9.569737461742587,0.55,0.45
working_memory,7,4,cross_task,Cross-task,0.1,0.5,0.2841010872834473,0.2918888495224896,0.007787762239042317,11.597851807619909,11.401780749784086,9.508270501938837,9.407550687188252,0.2934242396922986,0.30054929341781655,0.007125053725517971,11.063342738125709,10.970040582826295,9.163831341896092,9.171453490520394,0.7,0.3
working_memory,8,0,cross_task,Cross-task,1.0,2.0,0.23629623665947636,0.2384769522754361,0.002180715615959755,11.238639212400306,11.260376425899265,9.102338976137,9.164844997561788,0.22443885640007416,0.23152748583319574,0.007088629433121579,11.27365271049669,11.265481608714808,9.279448128211646,9.271483317058868,0.6,0.4
working_memory,8,1,cross_task,Cross-task,1.0,0.03,0.29698168935924724,0.2902278920625686,-0.006753797296678632,10.889007772535084,10.920386614529885,8.960874440518484,9.053637826084561,0.3271358465392863,0.320077837318329,-0.007058009220957284,10.757140174039334,10.789668615995351,8.843787009075493,8.920353894148372,0.9,0.1
working_memory,8,2,cross_task,Cross-task,0.1,0.03,0.4598123304419894,0.44150127634019953,-0.018311054101789848,10.076889270477329,10.228874594587603,7.761546240928079,7.921927773824055,0.44100251993442147,0.4265769095993104,-0.014425610335111083,10.050864421051024,10.125032765602066,8.20800001684431,8.33473222958387,0.55,0.45
working_memory,8,3,cross_task,Cross-task,0.01,1.0,0.31449172396073277,0.27297974659109614,-0.04151197736963663,12.254988896772797,12.361246817354534,9.511513699636444,9.990471485517993,0.31449172396073277,0.27297974659109614,-0.04151197736963663,12.254988896772797,12.361246817354534,9.511513699636444,9.990471485517993,1.0,0.0
